wall_time,step,value
1776143258.3115754,0,4919.0
1776143258.7525818,1,7494.0
1776143259.1908658,2,7450.0
1776143259.6432688,3,7215.0
1776143260.0818503,4,7471.0
1776143260.552394,5,7122.0
1776143261.0833685,6,6088.0
1776143261.539518,7,7149.0
1776143261.9794931,8,7425.0
1776143262.418924,9,7436.0
1776143262.8922336,10,6906.0
1776143263.3732953,11,6761.0
1776143263.8380089,12,7019.0
1776143264.2858667,13,7298.0
1776143264.719198,14,7551.0
1776143265.1678493,15,7280.0
1776143265.6191394,16,7241.0
1776143266.0822742,17,7048.0
1776143266.5904644,18,6513.0
1776143267.0934734,19,6511.0
1776143267.6048906,20,6468.0
1776143268.1225924,21,6375.0
1776143268.6504288,22,6279.0
1776143269.2076838,23,5911.0
1776143269.7316453,24,6311.0
1776143270.278216,25,6032.0
1776143270.7699807,26,6608.0
1776143271.2200131,27,7252.0
1776143271.659664,28,7437.0
1776143272.127981,29,6953.0
1776143272.5832644,30,7165.0
1776143273.0294764,31,7329.0
1776143273.4845877,32,7187.0
1776143273.9743516,33,6671.0
1776143274.4559038,34,6765.0
1776143274.921266,35,7032.0
1776143275.413572,36,6598.0
1776143275.8687537,37,7359.0
1776143276.3968565,38,6284.0
1776143276.8660088,39,6955.0
1776143277.3758645,40,6494.0
1776143277.8689456,41,6653.0
1776143278.3318589,42,7040.0
1776143278.782875,43,7239.0
1776143279.2300363,44,7305.0
1776143279.7547286,45,6302.0
1776143280.3002007,46,6041.0
1776143280.7892845,47,6644.0
1776143281.2335992,48,7352.0
1776143281.6788075,49,7337.0
1776143282.151214,50,6904.0
1776143282.610687,51,7126.0
1776143283.1217892,52,6477.0
1776143283.6111586,53,6646.0
1776143284.0502694,54,7444.0
1776143284.4939737,55,7403.0
1776143284.9706793,56,6837.0
1776143285.432102,57,7084.0
1776143285.9677768,58,6071.0
1776143286.4498825,59,6739.0
1776143286.900005,60,7256.0
1776143287.3404858,61,7421.0
1776143287.780642,62,7427.0
1776143288.2249913,63,7360.0
1776143288.6729991,64,7296.0
1776143289.1176808,65,7352.0
1776143289.557869,66,7422.0
1776143290.0271974,67,6953.0
1776143290.4660234,68,7445.0
1776143290.9230518,69,7133.0
1776143291.375111,70,7233.0
1776143291.8339133,71,7134.0
1776143292.2880218,72,7199.0
1776143292.7491899,73,7097.0
1776143293.1956644,74,7317.0
1776143293.6332421,75,7473.0
1776143294.1488628,76,6419.0
1776143294.6737568,77,6340.0
1776143295.1364899,78,7059.0
1776143295.6129675,79,6836.0
1776143296.0648866,80,7224.0
1776143296.502773,81,7482.0
1776143296.952847,82,7301.0
1776143297.4561055,83,6449.0
1776143297.900022,84,7361.0
1776143298.3426611,85,7385.0
1776143298.7893357,86,7344.0
1776143299.2978969,87,6541.0
1776143299.8993826,88,5351.0
1776143300.3828804,89,6921.0
1776143300.952256,90,5668.0
1776143301.4233825,91,6913.0
1776143301.91854,92,6716.0
1776143302.4132278,93,6571.0
1776143302.8754783,94,7062.0
1776143303.3150978,95,7443.0
1776143303.7641191,96,7321.0
1776143304.2416863,97,6806.0
1776143304.7130969,98,6912.0
1776143305.1602166,99,7307.0
1776143305.6168668,100,7155.0
1776143306.0702415,101,7260.0
1776143306.5213304,102,7244.0
1776143307.0057592,103,6731.0
1776143307.4809234,104,6846.0
1776143307.917195,105,7495.0
1776143308.354153,106,7489.0
1776143308.807872,107,7219.0
1776143309.2596142,108,7222.0
1776143309.7121558,109,7219.0
