wall_time,step,value
1776260159.7591646,0,4.974447520567082e-10
1776260161.5086234,1,3.176859469933291e-11
1776260163.0662742,2,4.416420007480326e-10
1776260164.6416998,3,1.1735977467619563e-10
1776260166.0958042,4,7.313641914308278e-10
1776260167.5326748,5,1.951900419072672e-09
1776260169.0585701,6,2.117587705185997e-08
1776260170.5446167,7,8.66027605184172e-08
1776260172.0828888,8,1.4124227121214972e-08
1776260173.7686663,9,5.635108664137078e-07
1776260175.5093303,10,1.1021877810435399e-07
1776260177.2151725,11,1.924709295053617e-06
1776260178.7181573,12,7.022379122645361e-08
1776260180.2731557,13,3.54494261500804e-07
1776260181.9250388,14,1.8688720047066454e-06
1776260183.8084533,15,1.7074806635264395e-07
1776260185.4484265,16,1.5627708762622206e-06
1776260186.9677482,17,1.4835134152235696e-06
1776260188.5265524,18,1.4850834304525051e-06
1776260190.1940422,19,2.3899228835944086e-06
1776260191.767017,20,4.388615195694001e-07
1776260193.3186922,21,7.733826805633726e-07
1776260195.0618901,22,2.0116094674449414e-06
1776260196.5548046,23,4.982784503226867e-06
1776260198.0933218,24,7.039927254481881e-07
1776260199.702945,25,2.3189459170680493e-06
1776260201.292294,26,6.169415769363695e-07
1776260203.0341961,27,6.19535001078475e-07
1776260204.6541202,28,3.293574764029472e-06
1776260206.328425,29,2.7548892376216827e-06
1776260208.0079691,30,2.3088356101652607e-05
1776260209.5490458,31,2.1525715965253767e-06
1776260211.329075,32,2.629360096761957e-06
1776260212.8085659,33,3.492473751975922e-06
1776260214.572562,34,1.9224178231525e-06
1776260216.2473147,35,7.537702799709223e-07
1776260217.9326384,36,6.09458197686763e-07
1776260219.666263,37,1.0413441486889496e-06
1776260221.1144474,38,2.121932993759401e-06
1776260222.7240145,39,4.657215413317317e-06
1776260224.3817034,40,2.4506280169589445e-06
1776260226.0942285,41,7.034112059045583e-06
1776260227.563857,42,2.1805873984703794e-05
1776260229.1454308,43,1.6654489627399016e-06
1776260230.8752515,44,1.2926115005029715e-06
1776260232.378671,45,1.5704551969975e-06
1776260233.954475,46,1.54719873535214e-06
1776260235.6153345,47,1.1466142950666836e-06
