wall_time,step,value
1776260159.690936,0,37.57291793823242
1776260161.4592917,1,135.28668212890625
1776260162.9925454,2,229.45834350585938
1776260164.593567,3,322.54168701171875
1776260166.0465689,4,415.1145935058594
1776260167.4850297,5,513.7291870117188
1776260169.0108275,6,615.0625
1776260170.4962287,7,712.0
1776260172.0344434,8,801.6875
1776260173.6812572,9,891.1891479492188
1776260175.4429317,10,958.5833740234375
1776260177.1664703,11,958.8837890625
1776260178.6678145,12,958.9762573242188
1776260180.2226074,13,958.8829956054688
1776260181.8754017,14,958.9498291015625
1776260183.7556162,15,958.5916748046875
1776260185.397708,16,958.6971435546875
1776260186.9193928,17,952.2728271484375
1776260188.4784513,18,958.9552612304688
1776260190.1440036,19,959.0
1776260191.7186472,20,942.8331909179688
1776260193.2691514,21,958.8234252929688
1776260195.0125778,22,958.4161987304688
1776260196.506654,23,958.7555541992188
1776260198.0448604,24,958.709228515625
1776260199.6542773,25,956.4349365234375
1776260201.2441936,26,947.2542724609375
1776260202.9763923,27,948.6500854492188
1776260204.6048021,28,952.33251953125
1776260206.2796755,29,951.3878784179688
1776260207.9583085,30,955.8146362304688
1776260209.4986856,31,956.622314453125
1776260211.2766244,32,952.3001708984375
1776260212.7506502,33,954.7529296875
1776260214.5240786,34,957.2469482421875
1776260216.1987069,35,958.5729370117188
1776260217.8834174,36,956.9393310546875
1776260219.6175406,37,955.0055541992188
1776260221.066831,38,959.0
1776260222.675241,39,958.9957885742188
1776260224.33342,40,958.8226928710938
1776260226.045089,41,958.9874877929688
1776260227.5143836,42,958.96240234375
1776260229.0969336,43,958.9979858398438
1776260230.8256466,44,958.96533203125
1776260232.3292847,45,959.0
1776260233.9049532,46,958.8434448242188
1776260235.5508194,47,958.9930419921875
1776260237.2503855,48,958.4486083984375
1776260238.7706418,49,958.871826171875
1776260240.460672,50,959.0
1776260242.0847018,51,958.9676513671875
1776260243.6706946,52,959.0
1776260245.325394,53,958.961669921875
1776260246.9955146,54,959.0
1776260248.7385447,55,958.7428588867188
1776260250.5008535,56,958.9227294921875
1776260252.4309423,57,959.0
1776260254.0441139,58,958.9923706054688
1776260255.6811852,59,958.8737182617188
1776260257.2585595,60,958.97216796875
1776260259.050303,61,958.9769287109375
1776260260.8687055,62,958.9430541992188
1776260262.49439,63,959.0
1776260264.0091548,64,958.96142578125
1776260265.5669007,65,959.0
1776260267.6680284,66,959.0
1776260269.2343411,67,959.0
1776260270.9094787,68,959.0
1776260272.539013,69,959.0
1776260274.1286871,70,958.9940185546875
1776260275.8451421,71,959.0
1776260277.5870388,72,959.0
1776260279.302761,73,959.0
1776260280.9646308,74,959.0
1776260282.5291672,75,959.0
1776260284.1991313,76,959.0
1776260285.7269335,77,959.0
1776260287.3259938,78,959.0
1776260288.878393,79,959.0
1776260290.5126026,80,959.0
1776260292.2427475,81,959.0
1776260293.89721,82,959.0
1776260295.50367,83,959.0
1776260296.9734056,84,951.1647338867188
1776260298.6666079,85,957.2330932617188
1776260300.5163214,86,959.0
1776260302.2774415,87,922.7083740234375
1776260303.8000813,88,910.3290405273438
1776260305.2496064,89,913.625
1776260306.727156,90,956.59375
1776260308.2823405,91,959.0
1776260309.9457705,92,946.0
1776260311.518561,93,909.6666870117188
1776260313.1633885,94,959.0
1776260314.7267416,95,959.0
1776260316.1918447,96,958.9674072265625
1776260318.0713964,97,954.8065185546875
1776260319.8964608,98,848.09375
1776260321.4589806,99,949.53125
1776260323.187348,100,859.6041870117188
1776260324.9266002,101,955.5625
1776260326.6047611,102,948.7083740234375
1776260328.41562,103,959.0
1776260330.1528351,104,953.4205322265625
1776260332.0435545,105,945.7694702148438
1776260333.9382374,106,959.0
1776260335.5183487,107,944.6666870117188
1776260337.296429,108,958.9616088867188
1776260338.9327896,109,957.7960815429688
1776260340.8708887,110,924.5625
1776260342.6152225,111,952.9271240234375
1776260344.3009434,112,958.9550170898438
1776260346.3442478,113,959.0
1776260347.9894753,114,898.875
1776260349.607743,115,958.993408203125
1776260351.3368347,116,959.0
1776260352.889756,117,959.0
1776260354.5193737,118,954.28125
1776260356.2926524,119,959.0
1776260357.891623,120,958.8040771484375
