wall_time,step,value
1776414555.084026,0,1.0
1776414556.4685118,1,1.0
1776414557.8651574,2,1.0
1776414559.2593586,3,1.0
1776414560.6586847,4,1.0
1776414562.0432894,5,1.0
1776414563.4395719,6,1.0
1776414564.836244,7,1.0
1776414566.2217793,8,1.0
1776414567.60055,9,1.0
1776414568.9843664,10,1.0
1776414570.3698406,11,1.0
1776414571.7742271,12,1.0
1776414573.1594079,13,1.0
1776414574.6049087,14,1.0
1776414575.9994256,15,1.0
1776414577.4031675,16,1.0
1776414578.8076842,17,1.0
1776414580.1956778,18,1.0
1776414581.5773087,19,1.0
1776414582.9743695,20,1.0
1776414584.3791704,21,1.0
1776414585.806629,22,1.0
1776414587.207021,23,1.0
1776414588.6174958,24,1.0
1776414590.01363,25,1.0
1776414591.4128783,26,1.0
1776414592.8157964,27,1.0
1776414594.2111537,28,1.0
1776414595.581308,29,1.0
1776414596.9839869,30,1.0
1776414598.4046478,31,1.0
1776414599.81987,32,1.0
1776414601.2403836,33,1.0
1776414602.6259964,34,1.0
1776414604.0075858,35,1.0
1776414605.3892138,36,1.0
1776414606.796127,37,1.0
1776414608.1538482,38,1.0
1776414609.5180063,39,1.0
1776414610.8863301,40,1.0
1776414612.2606282,41,1.0
1776414613.64515,42,1.0
1776414615.0244365,43,1.0
1776414616.402825,44,1.0
1776414617.8140943,45,1.0
1776414619.2143312,46,1.0
1776414620.5968165,47,1.0
1776414621.9839573,48,1.0
1776414623.3354404,49,1.0
1776414624.7402694,50,1.0
1776414626.1218455,51,1.0
1776414627.5521004,52,1.0
1776414628.9356463,53,1.0
1776414630.2857342,54,1.0
1776414631.690225,55,1.0
1776414633.0613904,56,1.0
1776414634.4534664,57,1.0
1776414635.8146935,58,1.0
1776414637.1706407,59,1.0
1776414638.5587852,60,1.0
1776414639.9518964,61,1.0
1776414641.3576243,62,1.0
1776414642.736667,63,1.0
1776414644.0873284,64,1.0
1776414645.4513242,65,1.0
1776414646.808191,66,1.0
1776414648.1985064,67,1.0
1776414649.5995374,68,1.0
1776414650.9603012,69,1.0
1776414652.3291526,70,1.0
1776414653.7034302,71,1.0
1776414655.0924692,72,1.0
1776414656.4946845,73,1.0
1776414657.849493,74,1.0
1776414659.2393188,75,1.0
1776414660.6141999,76,1.0
1776414662.0056078,77,1.0
1776414663.3864748,78,1.0
1776414664.7782393,79,1.0
1776414666.1785557,80,1.0
1776414667.5834677,81,1.0
1776414668.9953716,82,1.0
1776414670.3827944,83,1.0
1776414671.7601864,84,1.0
1776414673.148106,85,1.0
1776414674.5297241,86,1.0
1776414675.922813,87,1.0
1776414677.331552,88,1.0
1776414678.7080486,89,1.0
1776414680.1087003,90,1.0
1776414681.499409,91,1.0
1776414682.9038599,92,1.0
1776414684.3143332,93,1.0
1776414685.7076726,94,1.0
1776414687.0960681,95,1.0
1776414688.4889262,96,1.0
1776414689.8848865,97,1.0
1776414691.265914,98,1.0
1776414692.648916,99,1.0
1776414694.030626,100,1.0
1776414695.4435318,101,1.0
1776414696.8474867,102,1.0
1776414698.2300494,103,1.0
1776414699.645429,104,1.0
1776414701.049394,105,1.0
1776414702.4450998,106,1.0
