wall_time,step,value
1776418126.3037467,0,3794.0
1776418127.8843677,1,4086.0
1776418129.458019,2,4086.0
1776418131.025978,3,4109.0
1776418132.583668,4,4139.0
1776418134.1709182,5,4046.0
1776418135.765062,6,4041.0
1776418137.3313918,7,4101.0
1776418138.8946805,8,4122.0
1776418140.4669018,9,4098.0
1776418142.0270917,10,4130.0
1776418143.6080444,11,4061.0
1776418145.1807156,12,4091.0
1776418146.7451658,13,4106.0
1776418148.3051662,14,4119.0
1776418149.8535433,15,4157.0
1776418151.430127,16,4081.0
1776418153.0321245,17,4020.0
1776418154.6249213,18,4043.0
1776418156.2054665,19,4084.0
1776418157.7867527,20,4064.0
1776418159.3408248,21,4145.0
1776418160.9501302,22,3986.0
1776418162.510837,23,4121.0
1776418164.1156995,24,4008.0
1776418165.6953907,25,4069.0
1776418167.2762413,26,4074.0
1776418168.848931,27,4098.0
1776418170.403408,28,4132.0
1776418171.9637046,29,4125.0
1776418173.5355268,30,4085.0
1776418175.079941,31,4163.0
1776418176.6226048,32,4182.0
1776418178.2047353,33,4066.0
1776418179.7414625,34,4182.0
1776418181.2791135,35,4187.0
1776418182.8193574,36,4175.0
1776418184.3766313,37,4129.0
1776418185.9449317,38,4097.0
1776418187.4725482,39,4214.0
1776418189.003201,40,4203.0
1776418190.5442922,41,4180.0
1776418192.0855055,42,4173.0
1776418193.642399,43,4128.0
1776418195.1858456,44,4171.0
1776418196.7195294,45,4205.0
1776418198.258388,46,4185.0
1776418199.8209043,47,4115.0
1776418201.360561,48,4174.0
1776418202.8820288,49,4234.0
1776418204.4257486,50,4175.0
1776418205.9788344,51,4133.0
1776418207.5342388,52,4135.0
1776418209.102845,53,4097.0
1776418210.6428425,54,4185.0
1776418212.1828108,55,4180.0
1776418213.7193837,56,4181.0
1776418215.2641711,57,4168.0
1776418216.842501,58,4072.0
1776418218.3876667,59,4175.0
1776418219.9446046,60,4132.0
1776418221.494216,61,4147.0
1776418223.0372562,62,4166.0
1776418224.6181264,63,4073.0
1776418226.1543515,64,4195.0
1776418227.7093372,65,4132.0
