wall_time,step,value
1776418410.4000528,0,0.024011176079511642
1776418415.4632733,1,0.08444087952375412
1776418420.4688091,2,0.15968120098114014
1776418425.4537208,3,0.2256341427564621
1776418430.4282682,4,0.2884598970413208
1776418435.418889,5,0.32886698842048645
1776418440.4259222,6,0.4243760108947754
1776418445.4442103,7,0.49263811111450195
1776418450.4070892,8,0.5542043447494507
1776418455.3896463,9,0.5850850939750671
1776418460.4485157,10,0.6882963180541992
1776418465.545496,11,0.756927490234375
1776418470.5876465,12,0.8240314722061157
1776418475.6124892,13,0.8781633377075195
1776418480.6520486,14,0.9510655403137207
1776418485.68803,15,0.9997973442077637
1776418490.7843246,16,1.0
1776418495.8909404,17,1.0
1776418501.0198255,18,1.0
1776418506.1232023,19,1.0
1776418511.2434216,20,1.0
1776418516.297589,21,1.0
1776418521.33708,22,1.0
1776418526.3111868,23,1.0
1776418531.3137426,24,1.0
1776418536.3066378,25,1.0
1776418541.3164887,26,1.0
1776418546.3039608,27,1.0
1776418551.290159,28,1.0
1776418556.2875755,29,1.0
1776418561.2780309,30,1.0
1776418566.2823215,31,1.0
1776418571.2838738,32,1.0
1776418576.3309724,33,1.0
1776418581.3484006,34,1.0
1776418586.3635018,35,1.0
1776418591.3477745,36,1.0
1776418596.3699791,37,1.0
1776418601.3426049,38,1.0
1776418606.3100424,39,1.0
1776418611.2854102,40,1.0
1776418616.3570123,41,1.0
1776418621.3669956,42,1.0
1776418626.3752997,43,1.0
1776418631.3971858,44,1.0
1776418636.3907533,45,1.0
1776418641.3853743,46,1.0
1776418646.4210985,47,1.0
1776418651.4594378,48,1.0
1776418656.5088968,49,1.0
1776418661.6258342,50,1.0
1776418666.7387836,51,1.0
1776418671.810437,52,1.0
1776418676.8211765,53,1.0
1776418681.8194327,54,1.0
1776418686.8273351,55,1.0
1776418691.7997026,56,1.0
1776418696.7941256,57,1.0
1776418701.799776,58,1.0
1776418706.8229208,59,1.0
1776418711.824931,60,1.0
1776418716.8463068,61,1.0
1776418721.829064,62,1.0
1776418726.8471317,63,1.0
1776418731.843334,64,1.0
1776418736.8720255,65,1.0
1776418741.915251,66,1.0
1776418746.9712365,67,1.0
1776418751.972903,68,1.0
1776418756.9930298,69,1.0
1776418761.9871027,70,1.0
1776418766.9908638,71,1.0
1776418772.0359085,72,1.0
1776418777.1457608,73,1.0
1776418782.2460723,74,1.0
1776418787.3127203,75,1.0
1776418792.3902414,76,1.0
1776418797.3971124,77,1.0
1776418802.4171917,78,1.0
1776418807.4344444,79,1.0
1776418812.46276,80,1.0
1776418817.4606347,81,1.0
1776418822.4812326,82,1.0
1776418827.4544992,83,1.0
1776418832.4276214,84,1.0
1776418837.4210782,85,1.0
1776418842.4232345,86,1.0
1776418847.4273963,87,1.0
1776418852.449947,88,1.0
1776418857.4434376,89,1.0
1776418862.4177043,90,1.0
1776418867.4080558,91,1.0
1776418872.381611,92,1.0
1776418877.3828206,93,1.0
1776418882.3880577,94,1.0
1776418887.3892229,95,1.0
1776418892.377347,96,1.0
1776418897.3994868,97,1.0
1776418902.3740158,98,1.0
1776418907.336084,99,1.0
1776418912.3117208,100,1.0
1776418917.316855,101,1.0
1776418922.3177125,102,1.0
1776418927.33472,103,1.0
1776418932.3170538,104,1.0
1776418937.3001108,105,1.0
1776418942.3124976,106,1.0
1776418947.2549405,107,1.0
1776418952.252435,108,1.0
1776418957.2479756,109,1.0
1776418962.2562406,110,1.0
1776418967.2223604,111,1.0
1776418972.2501206,112,1.0
1776418977.2055805,113,1.0
1776418982.2119415,114,1.0
1776418987.206002,115,1.0
1776418992.2061832,116,1.0
1776418997.225101,117,1.0
1776419002.2572575,118,1.0
1776419007.24258,119,1.0
1776419012.226959,120,1.0
1776419017.2265604,121,1.0
1776419022.1810977,122,1.0
1776419027.1626565,123,1.0
1776419032.1585908,124,1.0
1776419037.1840672,125,1.0
1776419042.179305,126,1.0
1776419047.22,127,1.0
1776419052.2158165,128,1.0
1776419057.233099,129,1.0
1776419062.2575624,130,1.0
1776419067.2315247,131,1.0
1776419072.2602878,132,1.0
1776419077.400222,133,1.0
1776419082.4746819,134,1.0
1776419087.5467932,135,1.0
1776419092.6758153,136,1.0
1776419097.8308694,137,1.0
1776419102.95088,138,1.0
1776419108.0343783,139,1.0
1776419113.1916995,140,1.0
1776419118.3114994,141,1.0
1776419123.4176385,142,1.0
1776419128.5290534,143,1.0
1776419133.570114,144,1.0
1776419138.5733762,145,1.0
1776419143.5514681,146,1.0
1776419148.5549924,147,1.0
1776419153.5933342,148,1.0
1776419158.5900483,149,1.0
1776419163.5553772,150,1.0
1776419168.5640228,151,1.0
1776419173.5449202,152,1.0
1776419178.5632024,153,1.0
1776419183.5929916,154,1.0
1776419188.5979226,155,1.0
1776419193.5579479,156,1.0
1776419198.5726976,157,1.0
1776419203.5273268,158,1.0
1776419208.493007,159,1.0
1776419213.4612308,160,1.0
1776419218.4421868,161,1.0
