wall_time,step,value
1776422129.488064,0,1.0
1776422133.6336308,1,1.0
1776422137.7736824,2,1.0
1776422141.905701,3,1.0
1776422145.9778655,4,1.0
1776422150.1134896,5,1.0
1776422154.291375,6,1.0
1776422158.431308,7,1.0
1776422162.5285451,8,1.0
1776422166.6211555,9,1.0
1776422170.7345223,10,1.0
1776422174.8845332,11,1.0
1776422179.0533895,12,1.0
1776422183.1520119,13,1.0
1776422187.2482002,14,1.0
1776422191.3666697,15,1.0
1776422195.4551084,16,1.0
1776422199.6078494,17,1.0
1776422203.7437031,18,1.0
1776422207.840037,19,1.0
1776422211.968933,20,1.0
1776422216.0995395,21,1.0
1776422220.2636764,22,1.0
1776422224.3416681,23,1.0
1776422228.4273708,24,1.0
1776422232.516913,25,1.0
1776422236.6677184,26,1.0
1776422240.8076937,27,1.0
1776422244.9593592,28,1.0
1776422249.0561378,29,1.0
1776422253.13093,30,1.0
1776422257.2713642,31,1.0
1776422261.375967,32,1.0
1776422265.509218,33,1.0
1776422269.662995,34,1.0
1776422273.8569722,35,1.0
1776422278.0012496,36,1.0
1776422282.1575952,37,1.0
1776422286.270202,38,1.0
1776422290.3832324,39,1.0
1776422294.534172,40,1.0
1776422298.6930285,41,1.0
1776422302.781797,42,1.0
1776422306.9015684,43,1.0
1776422311.0443761,44,1.0
1776422315.2325468,45,1.0
1776422319.3332126,46,1.0
1776422323.0313473,47,1.0
1776422327.228338,48,1.0
