wall_time,step,value
1776422129.2398791,0,34.552085876464844
1776422133.3789005,1,121.51042175292969
1776422137.5000103,2,229.78125
1776422141.6373143,3,324.6875
1776422145.7317495,4,415.09375
1776422149.850631,5,473.2395935058594
1776422154.0326579,6,610.6771240234375
1776422158.1721997,7,708.90625
1776422162.261269,8,797.5
1776422166.3647785,9,841.9375
1776422170.4829895,10,990.4583740234375
1776422174.639006,11,1089.21875
1776422178.7771127,12,1185.78125
1776422182.9071934,13,1263.6771240234375
1776422186.9973416,14,1368.5833740234375
1776422191.1195877,15,1438.7083740234375
1776422195.2153664,16,1439.0
1776422199.3612328,17,1439.0
1776422203.4950747,18,1439.0
1776422207.5914924,19,1439.0
1776422211.7226274,20,1439.0
1776422215.8543115,21,1439.0
1776422219.9963722,22,1439.0
1776422224.0874717,23,1439.0
1776422228.1779149,24,1439.0
1776422232.2732751,25,1439.0
1776422236.4040937,26,1439.0
1776422240.561857,27,1439.0
1776422244.7148376,28,1439.0
1776422248.8113413,29,1414.8021240234375
1776422252.8776507,30,1439.0
1776422257.0100074,31,1439.0
1776422261.131413,32,1435.75
1776422265.2565494,33,1429.7083740234375
1776422269.39777,34,1434.666748046875
1776422273.586094,35,1369.635498046875
1776422277.7353597,36,1414.328125
1776422281.9079158,37,1439.0
1776422286.0260615,38,1377.604248046875
1776422290.1133637,39,1218.3333740234375
1776422294.2851973,40,1281.979248046875
1776422298.444436,41,1437.5833740234375
1776422302.5382998,42,1396.5
1776422306.6465988,43,1421.9375
1776422310.8005545,44,1215.385498046875
1776422314.9883108,45,1306.4583740234375
1776422319.0847702,46,1272.4739990234375
1776422322.78483,47,1171.6875
1776422326.9603393,48,1318.526123046875
