wall_time,step,value
1776422340.1705055,0,0.96875
1776422344.3231616,1,1.0
1776422348.470009,2,1.0
1776422352.6328902,3,1.0
1776422356.718391,4,1.0
1776422360.8606212,5,1.0
1776422364.9637024,6,1.0
1776422369.110468,7,1.0
1776422373.238581,8,1.0
1776422377.3793583,9,1.0
1776422381.5072627,10,1.0
1776422385.6602173,11,1.0
1776422389.8092484,12,1.0
1776422393.933914,13,1.0
1776422398.0861542,14,1.0
1776422402.1961339,15,1.0
1776422406.2968931,16,1.0
1776422410.4607306,17,1.0
1776422414.678939,18,1.0
1776422418.7678556,19,1.0
1776422422.9049554,20,1.0
1776422427.0546556,21,1.0
1776422431.2317066,22,1.0
1776422435.3709323,23,1.0
1776422439.5315597,24,1.0
1776422443.6589272,25,1.0
1776422447.8663347,26,1.0
1776422452.0132759,27,1.0
1776422456.1363657,28,1.0
1776422460.2679954,29,1.0
1776422464.4188,30,1.0
1776422468.5435529,31,1.0
1776422472.6962655,32,1.0
1776422476.8281558,33,1.0
1776422480.782295,34,1.0
1776422484.5211043,35,1.0
1776422488.7289083,36,1.0
