wall_time,step,value
1776422340.4125428,0,27.75
1776422344.570566,1,84.125
1776422348.712663,2,151.2142791748047
1776422352.897815,3,208.9499969482422
1776422356.9550927,4,241.7916717529297
1776422361.1089504,5,296.17242431640625
1776422365.1998694,6,343.0294189453125
1776422369.3576643,7,413.1666564941406
1776422373.5044408,8,431.43182373046875
1776422377.6386428,9,442.8888854980469
1776422381.7791133,10,478.6041564941406
1776422385.9233057,11,546.870361328125
1776422390.059689,12,590.7930908203125
1776422394.184447,13,626.0
1776422398.3291066,14,662.25
1776422402.459161,15,707.941162109375
1776422406.559197,16,748.5555419921875
1776422410.7409904,17,801.6666870117188
1776422414.923043,18,847.1904907226562
1776422419.0147061,19,874.0908813476562
1776422423.1515594,20,910.14892578125
1776422427.2990801,21,931.7346801757812
1776422431.4945831,22,1024.56005859375
1776422435.6304777,23,1050.27001953125
1776422439.7809966,24,1062.5999755859375
1776422443.9207723,25,1098.7900390625
1776422448.1282,26,1166.489990234375
1776422452.271291,27,1208.780029296875
1776422456.3889234,28,1238.1400146484375
1776422460.5320945,29,1264.6300048828125
1776422464.659775,30,1298.7900390625
1776422468.8192194,31,1329.6199951171875
1776422472.9511545,32,1372.72998046875
1776422477.0910594,33,1402.8699951171875
1776422480.9250216,34,1417.3399658203125
1776422484.7813044,35,1433.8399658203125
1776422488.9765959,36,1438.6600341796875
