wall_time,step,value
1776422340.1705632,0,3.4647183418273926
1776422344.3232303,1,14.798110961914062
1776422348.4700642,2,29.776029586791992
1776422352.6329458,3,44.648372650146484
1776422356.7184463,4,53.65485382080078
1776422360.8606763,5,64.74649047851562
1776422364.9637563,6,85.95186614990234
1776422369.110522,7,71.38050079345703
1776422373.238636,8,62.38031005859375
1776422377.3794134,9,99.87290954589844
1776422381.507316,10,68.38001251220703
1776422385.66027,11,54.3304557800293
1776422389.8093007,12,71.99852752685547
1776422393.9339693,13,32.141624450683594
1776422398.0862103,14,29.708114624023438
1776422402.19619,15,-3.300844669342041
1776422406.2969472,16,-9.525708198547363
1776422410.4607854,17,30.874717712402344
1776422414.678993,18,15.024147033691406
1776422418.7679107,19,-5.7688517570495605
1776422422.905008,20,4.88513708114624
1776422427.054711,21,4.347101211547852
1776422431.2317598,22,-7.886075496673584
1776422435.370987,23,9.568380355834961
1776422439.5316179,24,0.4608800411224365
1776422443.6589808,25,-10.049753189086914
1776422447.8663938,26,6.141845226287842
1776422452.0133321,27,10.222614288330078
1776422456.1364167,28,-12.917941093444824
1776422460.2680507,29,11.936042785644531
1776422464.4188597,30,-23.764652252197266
1776422468.543607,31,-6.441060543060303
1776422472.69633,32,-0.2843368649482727
1776422476.8282087,33,3.212827682495117
1776422480.7823474,34,1.129582166671753
1776422484.5211668,35,4.626086711883545
1776422488.7289765,36,2.520634651184082
