wall_time,step,value
1776422506.0609899,0,5.084087371826172
1776422510.2245545,1,4.12799072265625
1776422514.4109795,2,3.101259231567383
1776422518.6018975,3,2.0436675548553467
1776422522.7491004,4,0.9223432540893555
1776422526.9302611,5,-0.2257997989654541
1776422531.0881681,6,-1.5856021642684937
1776422535.303906,7,3.326184034347534
1776422539.4682317,8,4.791934967041016
1776422543.6023016,9,3.7027640342712402
1776422547.7403693,10,2.6261513233184814
1776422551.9327762,11,1.4664011001586914
1776422556.0733016,12,0.23882260918617249
1776422560.2039354,13,-1.0064313411712646
1776422564.3458886,14,-2.2535486221313477
1776422568.5353012,15,-3.4019525051116943
1776422572.6677103,16,-4.360937118530273
1776422576.809579,17,-5.413459300994873
1776422580.8967493,18,-6.388919353485107
1776422585.0320494,19,-7.203173637390137
1776422589.1503158,20,-7.9026198387146
1776422593.261575,21,-8.54734992980957
1776422597.3904965,22,1.560535192489624
1776422601.455729,23,4.886693954467773
1776422605.5937672,24,4.007726192474365
1776422609.739464,25,3.0550994873046875
1776422613.9633687,26,2.082846164703369
1776422618.1287382,27,1.1114966869354248
1776422622.2660556,28,0.1713148057460785
1776422626.4104967,29,-0.7330825328826904
1776422630.5647652,30,-1.6214370727539062
1776422634.7413185,31,-2.5276076793670654
1776422638.9151576,32,-3.4039676189422607
1776422642.656701,33,-4.140872001647949
1776422646.9143224,34,-4.846800804138184
