wall_time,step,value
1776422506.0609112,0,-6.744035720825195
1776422510.2244768,1,-6.744035720825195
1776422514.4109333,2,-6.744035720825195
1776422518.6018212,3,-6.744035720825195
1776422522.7490218,4,-6.744035720825195
1776422526.9301796,5,-6.744035720825195
1776422531.0881178,6,-6.744035720825195
1776422535.3037877,7,-4.585888862609863
1776422539.4681869,8,-3.697239875793457
1776422543.6022453,9,-3.697239875793457
1776422547.7402923,10,-3.697239875793457
1776422551.932687,11,-3.697239875793457
1776422556.073192,12,-3.697239875793457
1776422560.2038577,13,-3.697239875793457
1776422564.3458428,14,-3.697239875793457
1776422568.5352223,15,-3.697239875793457
1776422572.6676638,16,-3.697239875793457
1776422576.8095193,17,-3.697239875793457
1776422580.896699,18,-3.697239875793457
1776422585.0320385,19,-3.697239875793457
1776422589.1502419,20,-3.697239875793457
1776422593.2615294,21,-3.697239875793457
1776422597.3904498,22,-9.383434295654297
1776422601.4556825,23,-11.608466148376465
1776422605.5937562,24,-11.608466148376465
1776422609.7393837,25,-11.608466148376465
1776422613.9633226,26,-11.608466148376465
1776422618.1286907,27,-11.608466148376465
1776422622.2660027,28,-11.608466148376465
1776422626.4104376,29,-11.608466148376465
1776422630.5647354,30,-11.608466148376465
1776422634.741274,31,-11.608466148376465
1776422638.9150658,32,-11.608466148376465
1776422642.6566331,33,-11.608466148376465
1776422646.9142263,34,-11.608466148376465
