wall_time,step,value
1776422506.0614853,0,0.2890509068965912
1776422510.224999,1,0.2915152907371521
1776422514.411248,2,0.2894832491874695
1776422518.602341,3,0.2906697690486908
1776422522.751839,4,0.28953975439071655
1776422526.9307458,5,0.29300302267074585
1776422531.088423,6,0.2933005392551422
1776422535.304632,7,0.2923014461994171
1776422539.4684908,8,0.29416948556900024
1776422543.6026893,9,0.29322564601898193
1776422547.7408054,10,0.29321742057800293
1776422551.9332259,11,0.2944060266017914
1776422556.074035,12,0.2938120365142822
1776422560.2045248,13,0.29300129413604736
1776422564.3461504,14,0.29393288493156433
1776422568.535744,15,0.293290376663208
1776422572.667966,16,0.29380321502685547
1776422576.8100944,17,0.29338011145591736
1776422580.897263,18,0.2964925765991211
1776422585.032417,19,0.2972034215927124
1776422589.1507185,20,0.29674577713012695
1776422593.2619355,21,0.2968235909938812
1776422597.3907561,22,0.29889699816703796
1776422601.4559917,23,0.3000650107860565
1776422605.5941782,24,0.3007064759731293
1776422609.7399132,25,0.3033635914325714
1776422613.963725,26,0.3007764518260956
1776422618.1292028,27,0.3023451566696167
1776422622.2663603,28,0.30539098381996155
1776422626.4108057,29,0.305860698223114
1776422630.5650303,30,0.3086772561073303
1776422634.74157,31,0.3134427070617676
1776422638.915629,32,0.31794142723083496
1776422642.657351,33,0.32026174664497375
1776422646.9149616,34,0.32622769474983215
