wall_time,step,value
1776422505.8097787,0,0.32402944564819336
1776422509.9778447,1,0.8312495946884155
1776422514.1321697,2,3.493854522705078
1776422518.339485,3,5.95294189453125
1776422522.5025876,4,7.656856060028076
1776422526.663885,5,9.246877670288086
1776422530.8447294,6,11.355745315551758
1776422535.0469365,7,14.00293254852295
1776422539.2176378,8,14.373862266540527
1776422543.346251,9,14.62363052368164
1776422547.4799175,10,16.456825256347656
1776422551.6519995,11,18.395679473876953
1776422555.8004673,12,18.015880584716797
1776422559.946297,13,16.733732223510742
1776422564.0991,14,20.741619110107422
1776422568.2644372,15,17.483938217163086
1776422572.4089541,16,15.871597290039062
1776422576.5471585,17,19.535419464111328
1776422580.6418962,18,18.64210319519043
1776422584.7676764,19,18.758344650268555
1776422588.9145184,20,17.654043197631836
1776422593.0123618,21,20.37593650817871
1776422597.1322653,22,20.555606842041016
1776422601.2111351,23,19.20549774169922
1776422605.3308728,24,19.990310668945312
1776422609.4856462,25,16.605924606323242
1776422613.7142932,26,15.967928886413574
1776422617.8788362,27,17.580856323242188
1776422622.0077498,28,13.429525375366211
1776422626.1485612,29,16.8958740234375
1776422630.3094027,30,13.982199668884277
1776422634.4833398,31,12.347437858581543
1776422638.6521506,32,8.772899627685547
1776422642.3989944,33,11.083694458007812
1776422646.662603,34,7.783536434173584
