wall_time,step,value
1776422505.8100536,0,34.552085876464844
1776422509.9780731,1,121.51042175292969
1776422514.13264,2,229.78125
1776422518.3397596,3,324.6875
1776422522.502887,4,415.09375
1776422526.6641362,5,473.2395935058594
1776422530.844932,6,610.6771240234375
1776422535.0471897,7,708.90625
1776422539.2178044,8,797.5
1776422543.3464842,9,841.9375
1776422547.4802725,10,990.4583740234375
1776422551.652184,11,1089.21875
1776422555.8006668,12,1185.78125
1776422559.946632,13,1263.6771240234375
1776422564.099293,14,1368.5833740234375
1776422568.2647395,15,1438.7083740234375
1776422572.4091187,16,1439.0
1776422576.547332,17,1439.0
1776422580.6423645,18,1439.0
1776422584.767883,19,1439.0
1776422588.9147282,20,1439.0
1776422593.0152946,21,1439.0
1776422597.132417,22,1439.0
1776422601.2113214,23,1439.0
1776422605.3310535,24,1439.0
1776422609.4858973,25,1439.0
1776422613.7145605,26,1439.0
1776422617.8790443,27,1439.0
1776422622.0079339,28,1439.0
1776422626.1487362,29,1439.0
1776422630.3097224,30,1439.0
1776422634.483635,31,1439.0
1776422638.6524332,32,1439.0
1776422642.3991714,33,1438.947998046875
1776422646.662778,34,1438.59375
