wall_time,step,value
1776422657.032185,0,32.53181457519531
1776422661.172768,1,110.75579071044922
1776422665.3425088,2,210.0109100341797
1776422669.539206,3,293.7845153808594
1776422673.722157,4,403.2023620605469
1776422677.8988843,5,468.34869384765625
1776422682.035984,6,589.4927978515625
1776422686.1913736,7,683.0665893554688
1776422690.2950625,8,738.6444702148438
1776422694.402323,9,778.09375
1776422698.5281477,10,875.5062866210938
1776422702.663242,11,911.5224609375
1776422706.7850277,12,951.9398193359375
1776422710.925494,13,953.6325073242188
1776422715.067778,14,952.640625
1776422719.1874747,15,890.998046875
1776422723.346294,16,771.3885498046875
1776422727.4680839,17,711.7951049804688
1776422731.598491,18,696.0470581054688
1776422735.7273457,19,665.3663940429688
1776422739.8806658,20,591.6585693359375
1776422744.0528505,21,554.6482543945312
1776422748.1979296,22,619.08203125
1776422752.3172708,23,575.0848388671875
1776422756.4247868,24,646.4457397460938
1776422760.5568805,25,909.0118408203125
1776422764.709177,26,780.2238159179688
1776422768.8823297,27,745.7718505859375
1776422773.0560896,28,827.8658447265625
1776422777.2237108,29,668.572265625
1776422781.3547912,30,639.6534423828125
1776422785.483348,31,587.4674682617188
1776422789.6627047,32,652.9318237304688
1776422793.8199797,33,689.5507202148438
1776422797.95996,34,632.65380859375
1776422802.0906317,35,586.718994140625
1776422806.243587,36,660.0338745117188
1776422810.4098804,37,793.5514526367188
1776422814.4966974,38,717.5846557617188
