wall_time,step,value
1776422657.0325856,0,0.0
1776422661.17306,1,0.0
1776422665.3427994,2,0.0
1776422669.539496,3,0.0
1776422673.7224362,4,0.0
1776422677.8990731,5,0.0
1776422682.0361688,6,0.0
1776422686.1918187,7,0.0
1776422690.2955453,8,0.0
1776422694.4026885,9,0.0
1776422698.5285249,10,0.0
1776422702.6635804,11,0.0
1776422706.7853768,12,0.0
1776422710.9257228,13,0.0
1776422715.0680187,14,0.0
1776422719.1877003,15,0.0
1776422723.3466847,16,0.0
1776422727.4684677,17,0.0
1776422731.598862,18,0.0
1776422735.7275462,19,0.0
1776422739.8808472,20,0.0
1776422744.0532687,21,0.0
1776422748.1982186,22,0.0
1776422752.3174956,23,0.0
1776422756.425095,24,0.0
1776422760.5570908,25,0.0
1776422764.7095277,26,0.0
1776422768.8825147,27,0.0
1776422773.056496,28,0.0
1776422777.22392,29,0.0
1776422781.354998,30,0.0
1776422785.4837174,31,0.0
1776422789.6631122,32,0.0
1776422793.8202205,33,0.0
1776422797.9630187,34,0.0
1776422802.0908656,35,0.0
1776422806.2438962,36,0.0
1776422810.4100606,37,0.0
1776422814.4968781,38,0.0
