wall_time,step,value
1776428468.7669606,1,2.4196999073028564
1776428470.4764304,3,10.735284805297852
1776428472.1716683,4,21.191211700439453
1776428473.8789344,6,29.35902976989746
1776428475.5608637,8,35.3159065246582
1776428477.2521288,9,44.795738220214844
1776428478.940259,11,53.59663009643555
1776428480.6563392,12,62.8444709777832
1776428482.33367,14,65.30682373046875
1776428484.0217178,16,67.639892578125
1776428485.718004,17,71.92461395263672
1776428487.419443,19,80.87222290039062
1776428489.1152654,20,88.22938537597656
1776428490.804415,22,93.94215393066406
1776428492.5074265,24,100.11019897460938
1776428494.2054188,25,105.57439422607422
1776428495.9084861,27,108.96221160888672
1776428497.6414459,28,117.27633666992188
1776428499.3498583,30,122.1811752319336
1776428501.0354867,32,125.8563461303711
1776428502.7394216,33,131.76583862304688
1776428504.4254346,35,134.1783447265625
1776428506.1240952,36,147.8880615234375
1776428507.816761,38,152.3204345703125
1776428509.5290117,40,153.040771484375
1776428511.2097716,41,162.65020751953125
1776428512.9512758,43,174.03701782226562
1776428514.6790538,45,174.7067108154297
1776428516.3897214,46,176.80755615234375
1776428518.0765986,48,177.5614013671875
1776428519.7779508,49,177.7189483642578
1776428521.4730053,51,177.88705444335938
1776428523.1679552,53,176.86306762695312
1776428524.8806508,54,176.29689025878906
1776428526.5767634,56,174.94773864746094
1776428528.2817569,57,172.55899047851562
1776428529.995428,59,170.97561645507812
1776428531.7300982,61,170.6451416015625
1776428533.512047,62,169.4229278564453
1776428535.3232706,64,167.7716522216797
1776428537.2021012,66,161.76904296875
1776428538.9945066,67,153.5641326904297
1776428540.8925614,69,151.79757690429688
1776428542.7982545,71,148.22821044921875
1776428544.6317163,73,146.39976501464844
1776428546.4887996,75,146.818603515625
1776428548.303843,76,145.7011260986328
1776428550.1753683,78,144.51043701171875
1776428551.9476144,80,144.17848205566406
1776428553.7767324,81,143.6599578857422
1776428555.564391,83,145.4088592529297
1776428557.3083403,85,144.88119506835938
1776428559.0073073,86,147.10276794433594
1776428560.7683458,88,149.03646850585938
1776428562.5704618,90,149.52349853515625
1776428564.3464396,91,152.31060791015625
1776428566.261458,93,160.32644653320312
1776428568.1670868,95,163.61341857910156
1776428569.9659636,97,169.07815551757812
