wall_time,step,value
1776428468.7043548,0,0.024011176079511642
1776428470.414349,1,0.08444087952375412
1776428472.1095557,2,0.15968120098114014
1776428473.814455,3,0.2256341427564621
1776428475.5003111,4,0.2884598970413208
1776428477.1895263,5,0.32886698842048645
1776428478.879208,6,0.4243760108947754
1776428480.5958889,7,0.49263811111450195
1776428482.269637,8,0.5542043447494507
1776428483.957219,9,0.5850850939750671
1776428485.653988,10,0.6882963180541992
1776428487.354965,11,0.756927490234375
1776428489.0537446,12,0.8240314722061157
1776428490.7428987,13,0.8781633377075195
1776428492.4418967,14,0.9510655403137207
1776428494.1426878,15,0.9997973442077637
1776428495.8429854,16,1.0
1776428497.5799677,17,1.0
1776428499.2855947,18,1.0
1776428500.9741673,19,1.0
1776428502.6788027,20,1.0
1776428504.3615153,21,1.0
1776428506.062599,22,1.0
1776428507.7510698,23,1.0
1776428509.462894,24,1.0
1776428511.1461608,25,1.0
1776428512.8884976,26,1.0
1776428514.6179438,27,1.0
1776428516.3263426,28,1.0
1776428518.0146952,29,1.0
1776428519.7145782,30,1.0
1776428521.407864,31,1.0
1776428523.10661,32,1.0
1776428524.8168724,33,1.0
1776428526.5157876,34,1.0
1776428528.2190285,35,1.0
1776428529.9307895,36,1.0
1776428531.6649652,37,1.0
1776428533.4168222,38,1.0
1776428535.2555635,39,1.0
1776428537.1394844,40,1.0
1776428538.926833,41,1.0
1776428540.8184223,42,1.0
1776428542.7298245,43,1.0
1776428544.5710921,44,1.0
1776428546.4085548,45,1.0
1776428548.223663,46,1.0
1776428550.100065,47,1.0
1776428551.8858292,48,1.0
1776428553.6954935,49,1.0
1776428555.4906867,50,1.0
1776428557.246494,51,1.0
1776428558.9468486,52,1.0
1776428560.693531,53,1.0
1776428562.4895709,54,1.0
1776428564.285563,55,1.0
1776428566.1990194,56,1.0
1776428568.0848868,57,1.0
1776428569.9033284,58,1.0
1776428571.6156106,59,1.0
1776428573.313678,60,1.0
1776428575.0041366,61,1.0
1776428576.7303963,62,1.0
1776428578.4547267,63,1.0
1776428580.140383,64,1.0
1776428581.843521,65,1.0
1776428583.5266423,66,1.0
1776428585.2102327,67,1.0
1776428586.9003386,68,1.0
1776428588.6153128,69,1.0
1776428590.3125467,70,1.0
1776428592.0151985,71,1.0
1776428593.7335927,72,1.0
1776428595.4310396,73,1.0
1776428597.152703,74,1.0
1776428598.84833,75,1.0
1776428600.5408244,76,1.0
1776428602.2332327,77,1.0
1776428603.911288,78,1.0
1776428605.5961401,79,1.0
1776428607.2950947,80,1.0
1776428608.989465,81,1.0
1776428610.6883135,82,1.0
1776428612.3916519,83,1.0
1776428614.0857797,84,1.0
1776428615.7792578,85,1.0
1776428617.4997008,86,1.0
1776428619.2007625,87,1.0
1776428620.9173405,88,1.0
1776428622.621709,89,1.0
1776428624.3108187,90,1.0
1776428625.9978397,91,1.0
1776428627.684991,92,1.0
1776428629.3728719,93,1.0
1776428631.0633733,94,1.0
1776428632.7843451,95,1.0
1776428634.4724758,96,1.0
1776428636.1673675,97,1.0
1776428637.8553057,98,1.0
1776428639.555604,99,1.0
1776428641.2458608,100,1.0
1776428642.9548373,101,1.0
1776428644.652083,102,1.0
1776428646.3529758,103,1.0
1776428648.0620146,104,1.0
1776428649.7667427,105,1.0
1776428651.4611292,106,1.0
1776428653.1519036,107,1.0
1776428654.8316317,108,1.0
1776428656.5299673,109,1.0
1776428658.2249124,110,1.0
1776428659.9225135,111,1.0
1776428661.6127083,112,1.0
1776428663.2933066,113,1.0
1776428664.9931064,114,1.0
1776428666.6922739,115,1.0
1776428668.3996494,116,1.0
1776428670.0922434,117,1.0
1776428671.7888258,118,1.0
1776428673.478676,119,1.0
1776428675.179085,120,1.0
1776428676.8759806,121,1.0
1776428678.5570734,122,1.0
1776428680.2428715,123,1.0
1776428681.9220119,124,1.0
1776428683.6244001,125,1.0
1776428685.310893,126,1.0
1776428687.004029,127,1.0
1776428688.7058573,128,1.0
1776428690.3876915,129,1.0
1776428692.0951786,130,1.0
1776428693.8327503,131,1.0
1776428695.5560632,132,1.0
1776428697.2646801,133,1.0
1776428698.966615,134,1.0
1776428700.6490443,135,1.0
1776428702.3708408,136,1.0
1776428704.073502,137,1.0
1776428705.7743053,138,1.0
1776428707.4847636,139,1.0
1776428709.190724,140,1.0
1776428710.8791726,141,1.0
1776428712.565512,142,1.0
1776428714.2511604,143,1.0
1776428715.9270542,144,1.0
1776428717.6291826,145,1.0
1776428719.3347402,146,1.0
1776428721.0409644,147,1.0
1776428722.727597,148,1.0
1776428724.4173155,149,1.0
1776428726.1088817,150,1.0
1776428727.8030102,151,1.0
1776428729.4808707,152,1.0
1776428731.135149,153,1.0
1776428732.835919,154,1.0
1776428734.5318413,155,1.0
1776428736.2141256,156,1.0
1776428737.9108374,157,1.0
1776428739.5943067,158,1.0
1776428741.2969382,159,1.0
1776428743.017445,160,1.0
1776428744.7279167,161,1.0
1776428746.4359639,162,1.0
1776428748.1431355,163,1.0
1776428749.8575969,164,1.0
1776428751.558045,165,1.0
1776428753.2586823,166,1.0
1776428754.9430866,167,1.0
1776428756.631729,168,1.0
1776428758.3192198,169,1.0
1776428760.0014338,170,1.0
1776428761.6991746,171,1.0
1776428763.3910015,172,1.0
1776428765.105616,173,1.0
1776428766.8565197,174,1.0
1776428768.5655608,175,1.0
1776428770.2627156,176,1.0
1776428771.9632456,177,1.0
1776428773.6619163,178,1.0
1776428775.3624344,179,1.0
1776428777.0500588,180,1.0
1776428778.7480326,181,1.0
1776428780.4412403,182,1.0
1776428782.1394475,183,1.0
1776428783.8261034,184,1.0
1776428785.518587,185,1.0
1776428787.2174582,186,1.0
1776428788.928455,187,1.0
1776428790.6339884,188,1.0
1776428792.3500817,189,1.0
1776428794.0560188,190,1.0
1776428795.7560189,191,1.0
1776428797.4550464,192,1.0
1776428799.1532469,193,1.0
1776428800.8417554,194,1.0
1776428802.5337539,195,1.0
1776428804.2232118,196,1.0
1776428805.9169858,197,1.0
1776428807.609829,198,1.0
1776428809.3192027,199,1.0
1776428811.0013857,200,1.0
1776428812.7121694,201,1.0
1776428814.4003692,202,1.0
1776428816.098833,203,1.0
1776428817.7909908,204,1.0
1776428819.4843943,205,1.0
1776428821.1893332,206,1.0
1776428822.9091132,207,1.0
1776428824.6075084,208,1.0
1776428826.3008974,209,1.0
1776428827.99088,210,1.0
1776428829.6848128,211,1.0
1776428831.3849773,212,1.0
1776428833.0746045,213,1.0
1776428834.7823908,214,1.0
1776428836.4881864,215,1.0
1776428838.1848638,216,1.0
1776428839.8997252,217,1.0
1776428841.6107373,218,1.0
1776428843.3099973,219,1.0
1776428845.015147,220,1.0
1776428846.719842,221,1.0
1776428848.4317937,222,1.0
1776428850.1227002,223,1.0
1776428851.8244488,224,1.0
1776428853.5112944,225,1.0
1776428855.2075095,226,0.9998522996902466
1776428856.897706,227,1.0
1776428858.5872357,228,1.0
1776428860.2683039,229,1.0
1776428861.9474015,230,1.0
1776428863.6514826,231,1.0
1776428865.350758,232,1.0
1776428867.059321,233,1.0
1776428868.7678947,234,0.999933123588562
