wall_time,step,value
1776434138.5361543,0,1.0
1776434140.5279326,1,1.0
1776434142.4529617,2,1.0
1776434144.3777447,3,1.0
1776434146.3109145,4,1.0
1776434148.2438684,5,1.0
1776434150.1552825,6,1.0
1776434152.1042566,7,1.0
1776434154.0178208,8,1.0
1776434155.950107,9,1.0
1776434157.863875,10,1.0
1776434159.8093176,11,1.0
1776434161.7437296,12,1.0
1776434163.663929,13,1.0
1776434165.5973577,14,1.0
1776434167.545074,15,1.0
1776434169.4733741,16,1.0
1776434171.4028668,17,1.0
1776434173.3293612,18,1.0
1776434175.2884996,19,1.0
1776434177.186219,20,1.0
1776434179.0863671,21,1.0
1776434180.996814,22,1.0
1776434182.9210472,23,1.0
1776434184.8333075,24,1.0
1776434186.754189,25,1.0
1776434188.6674464,26,1.0
1776434190.6090872,27,1.0
1776434192.5100014,28,1.0
1776434194.4466593,29,1.0
1776434196.3785462,30,1.0
1776434198.3196762,31,1.0
1776434200.2399333,32,1.0
1776434202.1690996,33,1.0
1776434204.0857081,34,1.0
1776434206.007141,35,1.0
1776434207.9329314,36,1.0
1776434209.8640885,37,1.0
1776434211.7923005,38,1.0
1776434213.6874518,39,1.0
1776434215.6144688,40,1.0
1776434217.538744,41,1.0
1776434219.4690099,42,1.0
1776434221.4217834,43,1.0
1776434223.3677568,44,1.0
1776434225.2862954,45,1.0
1776434227.2080338,46,1.0
1776434229.1103234,47,1.0
1776434231.0096757,48,1.0
1776434232.9059196,49,1.0
1776434234.8349283,50,1.0
1776434236.7711701,51,1.0
1776434238.703189,52,1.0
1776434240.5937433,53,1.0
1776434242.476333,54,1.0
1776434244.4098468,55,1.0
1776434246.3198543,56,1.0
1776434248.2296143,57,1.0
1776434250.1410165,58,1.0
1776434252.0252364,59,1.0
1776434253.9564989,60,1.0
1776434255.8807704,61,1.0
1776434257.7966194,62,1.0
1776434259.7270155,63,1.0
1776434261.6079876,64,1.0
1776434263.4801395,65,1.0
1776434265.340776,66,1.0
1776434267.22415,67,1.0
1776434269.097205,68,1.0
1776434270.96935,69,1.0
1776434272.8978038,70,1.0
1776434274.7878175,71,1.0
1776434276.6865,72,1.0
1776434278.591449,73,1.0
1776434280.4607124,74,1.0
1776434282.335217,75,1.0
1776434284.2102664,76,1.0
1776434286.094561,77,1.0
1776434287.9603224,78,1.0
1776434289.8412957,79,1.0
1776434291.7143328,80,1.0
1776434293.5880706,81,1.0
1776434295.465258,82,1.0
1776434297.35214,83,1.0
1776434299.2368226,84,1.0
1776434301.152359,85,1.0
1776434303.043408,86,1.0
1776434304.9230828,87,1.0
1776434306.8003955,88,1.0
1776434308.6658835,89,1.0
1776434310.5445201,90,1.0
1776434312.4325297,91,1.0
1776434314.3259003,92,1.0
1776434316.2229457,93,1.0
1776434318.117647,94,1.0
1776434319.9962373,95,1.0
1776434321.8703053,96,1.0
1776434323.734785,97,1.0
1776434325.6131387,98,1.0
1776434327.4955654,99,1.0
1776434329.370475,100,1.0
1776434331.2597234,101,1.0
1776434333.130979,102,1.0
1776434335.009084,103,1.0
1776434336.8928533,104,1.0
1776434338.763545,105,1.0
1776434340.6398501,106,1.0
1776434342.5140438,107,1.0
1776434344.3874822,108,1.0
1776434346.258039,109,1.0
1776434348.1398377,110,1.0
1776434350.0107925,111,1.0
1776434351.8676193,112,1.0
1776434353.7273102,113,1.0
1776434355.6031601,114,1.0
1776434357.4706812,115,1.0
1776434359.358782,116,1.0
1776434361.2220092,117,1.0
1776434363.0839217,118,1.0
1776434364.9676964,119,1.0
1776434366.838179,120,1.0
1776434368.72828,121,1.0
1776434370.6141877,122,1.0
1776434372.5098825,123,1.0
1776434374.4041336,124,1.0
1776434376.2868102,125,1.0
1776434378.1640046,126,1.0
1776434380.0321126,127,1.0
1776434381.9073522,128,1.0
1776434383.7793648,129,1.0
1776434385.6777108,130,1.0
1776434387.5754907,131,1.0
1776434389.4523335,132,1.0
1776434391.3264503,133,1.0
1776434393.1961286,134,1.0
1776434395.055032,135,1.0
1776434396.947752,136,1.0
1776434398.828841,137,1.0
1776434400.7015944,138,1.0
1776434402.6194656,139,1.0
1776434404.4999435,140,1.0
1776434406.3989608,141,1.0
1776434408.262264,142,1.0
1776434410.1438205,143,1.0
1776434412.0336957,144,1.0
1776434413.907604,145,1.0
1776434415.7942543,146,1.0
1776434417.6719172,147,1.0
1776434419.5540338,148,1.0
1776434421.412671,149,1.0
1776434423.2829063,150,1.0
1776434425.171084,151,1.0
1776434427.0367923,152,1.0
1776434428.9043262,153,1.0
1776434430.7915785,154,1.0
1776434432.6672895,155,1.0
1776434434.5450907,156,1.0
1776434436.431936,157,1.0
1776434438.2978485,158,1.0
1776434440.1723564,159,1.0
1776434442.050713,160,1.0
1776434443.9162126,161,1.0
1776434445.8619683,162,1.0
1776434447.7422464,163,1.0
1776434449.6253994,164,1.0
1776434451.4883213,165,1.0
1776434453.385111,166,1.0
1776434455.2592373,167,1.0
1776434457.1201134,168,1.0
1776434458.9957259,169,1.0
1776434460.8671484,170,1.0
1776434462.7590175,171,1.0
1776434464.635204,172,1.0
1776434466.5279708,173,1.0
1776434468.4056463,174,1.0
1776434470.2706468,175,1.0
1776434472.1632183,176,1.0
1776434474.0568812,177,1.0
1776434475.9154804,178,1.0
1776434477.8126702,179,1.0
1776434479.668104,180,1.0
1776434481.5522826,181,1.0
1776434483.4150777,182,1.0
1776434485.2930777,183,1.0
1776434487.1750474,184,1.0
1776434489.041306,185,1.0
1776434490.9339929,186,1.0
1776434492.7936018,187,1.0
1776434494.664405,188,1.0
1776434496.5480294,189,1.0
1776434498.4358726,190,1.0
1776434500.3030148,191,1.0
1776434502.1717076,192,1.0
1776434504.0501723,193,1.0
1776434505.907202,194,1.0
1776434507.7728739,195,1.0
1776434509.6540973,196,1.0
1776434511.5291884,197,1.0
1776434513.3923435,198,1.0
1776434515.2768998,199,1.0
1776434517.1552663,200,1.0
1776434519.0284119,201,1.0
1776434520.8846939,202,1.0
1776434522.7604985,203,1.0
1776434524.647322,204,1.0
1776434526.5084767,205,1.0
1776434528.3819592,206,1.0
1776434530.2479758,207,1.0
1776434532.1382248,208,1.0
1776434534.006437,209,1.0
1776434535.8805385,210,1.0
1776434537.7590332,211,1.0
1776434539.6258562,212,1.0
1776434541.4999409,213,1.0
1776434543.3774986,214,1.0
1776434545.2552311,215,1.0
1776434547.1470966,216,1.0
1776434549.0178816,217,1.0
1776434550.8896222,218,1.0
1776434552.7611763,219,1.0
1776434554.6303198,220,1.0
1776434556.5182617,221,1.0
1776434558.3914328,222,1.0
1776434560.2608874,223,1.0
1776434562.1149359,224,1.0
1776434564.0074184,225,1.0
1776434565.8913965,226,1.0
1776434567.763682,227,1.0
1776434569.629795,228,1.0
1776434571.5334883,229,1.0
1776434573.4098158,230,1.0
1776434575.308838,231,1.0
1776434577.1822603,232,1.0
1776434579.075839,233,1.0
1776434580.961807,234,1.0
1776434582.8365297,235,1.0
1776434584.7094734,236,1.0
1776434586.6050575,237,1.0
1776434588.4902973,238,1.0
1776434590.3586357,239,1.0
1776434592.2762446,240,1.0
