wall_time,step,value
1778419918.5836337,0,-2.991044044494629
1778419934.312587,1,-2.805917263031006
1778419950.2237973,2,-2.799182176589966
1778419966.1818485,3,-2.82401967048645
1778419982.4169483,4,-2.675786018371582
1778419998.894596,5,-2.899407148361206
1778420015.1480436,6,-2.7924680709838867
1778420031.2498915,7,-2.8466906547546387
1778420047.0433562,8,-2.7778849601745605
1778420062.8499274,9,-2.7636942863464355
1778420078.7387984,10,-2.8663811683654785
1778420094.6165993,11,-2.908092498779297
1778420110.6098855,12,-2.7811264991760254
1778420126.4389994,13,-2.7261061668395996
1778420142.5589426,14,-2.7071564197540283
1778420158.6731343,15,-2.8162100315093994
1778420174.6431332,16,-2.7753448486328125
1778420190.8003383,17,-2.7864887714385986
1778420206.6518247,18,-2.775203227996826
1778420222.8532188,19,-2.8733139038085938
1778420238.873955,20,-2.913940906524658
1778420254.7741446,21,-2.846250057220459
1778420270.5349078,22,-2.819262742996216
1778420286.27288,23,-2.8031554222106934
1778420302.200677,24,-2.881460189819336
1778420317.854931,25,-2.864372491836548
1778420333.5009162,26,-2.7995052337646484
1778420349.1627812,27,-2.805306911468506
1778420364.7412028,28,-2.815382719039917
1778420380.3905525,29,-2.8814849853515625
1778420396.1863842,30,-2.8842620849609375
1778420412.397835,31,-2.878445625305176
1778420428.8434038,32,-2.8357505798339844
1778420445.0607426,33,-2.804717540740967
1778420460.9282067,34,-2.867149829864502
1778420476.8761873,35,-2.849898099899292
1778420492.668236,36,-2.8751399517059326
1778420508.6217823,37,-2.856104850769043
1778420524.3243504,38,-2.8251190185546875
1778420540.3930829,39,-2.8877696990966797
1778420556.2796237,40,-2.875174045562744
1778420572.2403028,41,-2.9144561290740967
1778420588.1214423,42,-2.845459222793579
1778420603.8485646,43,-2.785998821258545
1778420619.6937559,44,-2.863301992416382
1778420635.5754848,45,-2.869004487991333
1778420651.6137087,46,-2.888160228729248
1778420667.537543,47,-2.8754944801330566
1778420683.4946542,48,-2.815674304962158
1778420699.2115884,49,-2.83675479888916
1778420715.1553988,50,-2.89547061920166
1778420731.1645367,51,-2.847005844116211
1778420747.2149692,52,-2.893704891204834
1778420763.5420852,53,-2.817586660385132
1778420779.2359362,54,-2.8531312942504883
1778420795.2463841,55,-2.947925329208374
1778420810.9863572,56,-2.9052305221557617
1778420826.8797348,57,-2.900888442993164
1778420842.5158412,58,-2.852532386779785
1778420858.3454645,59,-2.8375918865203857
1778420874.263157,60,-2.9060659408569336
1778420890.0595026,61,-2.9244556427001953
1778420905.9974062,62,-2.885349750518799
1778420921.72679,63,-2.8774242401123047
1778420937.667228,64,-2.887279987335205
1778420953.4699183,65,-2.887820243835449
1778420969.420566,66,-2.9315810203552246
1778420985.2751017,67,-2.8492462635040283
1778421001.0985727,68,-2.850022077560425
1778421017.0097754,69,-2.859369993209839
1778421032.8448758,70,-2.8342809677124023
1778421048.8484724,71,-2.9373512268066406
1778421064.934374,72,-2.871473789215088
1778421081.4679718,73,-2.9551546573638916
1778421097.5514069,74,-2.8485822677612305
1778421113.3356082,75,-2.795659065246582
1778421129.5823877,76,-2.8827409744262695
1778421145.5440836,77,-2.9187707901000977
1778421161.357785,78,-2.9142208099365234
1778421177.4330359,79,-2.9312987327575684
1778421193.072929,80,-2.8897593021392822
1778421209.100934,81,-2.9338910579681396
1778421225.4293697,82,-2.923316717147827
1778421241.1881046,83,-2.9125728607177734
1778421256.9353049,84,-2.888026714324951
1778421272.956865,85,-2.888704299926758
1778421288.7301087,86,-2.8675851821899414
1778421304.6791282,87,-2.9222824573516846
1778421320.5911222,88,-2.8998425006866455
1778421336.620857,89,-2.958238124847412
1778421352.5626962,90,-2.8839433193206787
1778421368.5300174,91,-2.903986930847168
1778421384.3125854,92,-2.820981502532959
1778421400.3097649,93,-2.9020907878875732
1778421416.154962,94,-2.9610519409179688
1778421432.124491,95,-2.9290571212768555
1778421448.5567386,96,-2.8829216957092285
1778421464.5702584,97,-2.8947315216064453
1778421480.56166,98,-2.911060333251953
1778421496.605177,99,-2.9625091552734375
1778421512.6458206,100,-2.904602527618408
1778421528.8833463,101,-2.9608612060546875
1778421545.4694297,102,-2.957061529159546
1778421561.3869889,103,-2.933069944381714
1778421577.3493934,104,-2.873793601989746
1778421593.1778846,105,-2.943462371826172
1778421609.107265,106,-2.9833598136901855
1778421625.1929817,107,-2.98958158493042
1778421641.0554073,108,-2.9066171646118164
1778421657.1719928,109,-2.8786187171936035
1778421672.90298,110,-2.882770538330078
1778421688.913925,111,-2.9475436210632324
1778421704.7316966,112,-2.960310935974121
1778421720.7874608,113,-2.918691873550415
1778421736.5338945,114,-2.9199647903442383
1778421752.5745168,115,-2.8879549503326416
1778421768.2689397,116,-2.9142913818359375
1778421784.1658163,117,-2.978224754333496
1778421799.9142704,118,-2.935563564300537
1778421815.6233108,119,-2.9243550300598145
1778421831.4286418,120,-2.9109649658203125
1778421847.4767716,121,-2.9381449222564697
1778421863.6466315,122,-2.9247593879699707
1778421879.5510976,123,-2.897493839263916
1778421895.4159276,124,-2.947016716003418
1778421911.5744023,125,-2.9219274520874023
1778421927.3515372,126,-2.923412799835205
1778421943.2187216,127,-2.9607996940612793
1778421958.8280244,128,-2.7971320152282715
1778421975.087602,129,-2.878358840942383
1778421990.8504527,130,-2.9852986335754395
1778422007.0080113,131,-2.943453311920166
1778422022.7409992,132,-2.9395742416381836
1778422038.4893923,133,-2.9387526512145996
1778422054.4220943,134,-2.869741439819336
1778422070.2058234,135,-2.918038845062256
1778422086.2169738,136,-3.003666877746582
1778422102.0358891,137,-2.8590757846832275
1778422118.0871003,138,-2.8632349967956543
1778422133.800516,139,-2.9343976974487305
1778422149.663789,140,-2.811655044555664
1778422165.647822,141,-2.9904568195343018
1778422181.416458,142,-2.9746716022491455
1778422197.3603296,143,-3.041825294494629
1778422213.1369605,144,-2.925692558288574
1778422228.9482424,145,-2.8264005184173584
1778422244.6762092,146,-2.9345710277557373
1778422260.4757025,147,-2.943291664123535
1778422276.4513307,148,-2.913968801498413
1778422292.5151892,149,-2.978848457336426
1778422308.6306412,150,-2.9429032802581787
1778422324.5627525,151,-2.9419496059417725
1778422340.6261845,152,-2.9280197620391846
1778422356.5418894,153,-2.85626220703125
1778422372.4119205,154,-2.7843546867370605
1778422388.3182588,155,-2.9982123374938965
1778422404.5886607,156,-2.921799898147583
