wall_time,step,value
1778853305.3162045,0,-0.003049897262826562
1778853338.362144,1,-0.004251500125974417
1778853371.5329041,2,-0.004049250856041908
1778853405.064851,3,-0.0038227878976613283
1778853438.8515546,4,-0.0036786096170544624
1778853470.8965673,5,-0.004478768911212683
1778853503.1696556,6,-0.004587044008076191
1778853535.060789,7,-0.004861950874328613
1778853567.1617742,8,-0.0040052211843431
1778853599.7909963,9,-0.0038602803833782673
1778853633.4074118,10,-0.004447643645107746
1778853666.6677878,11,-0.004949960857629776
1778853700.2300584,12,-0.004120199009776115
1778853733.6635747,13,-0.002899961778894067
1778853766.4018538,14,-0.0036352225579321384
1778853798.8222926,15,-0.0028954441659152508
1778853831.394655,16,-0.0035986534785479307
1778853863.8662274,17,-0.0030441894195973873
1778853896.910536,18,-0.002809785073623061
1778853929.6023545,19,-0.0029468610882759094
1778853962.1299663,20,-0.0024367638397961855
1778853994.77702,21,-0.002880129497498274
1778854027.944504,22,-0.002772031119093299
1778854060.5077674,23,-0.002348583657294512
1778854093.0798585,24,-0.002899870974943042
1778854125.6732628,25,-0.0030228623654693365
1778854158.4213805,26,-0.00273307878524065
1778854191.2022743,27,-0.002311874181032181
1778854223.8688664,28,-0.003065750002861023
1778854256.519535,29,-0.0026486199349164963
1778854288.9998682,30,-0.002911481074988842
1778854321.3323982,31,-0.003270620945841074
1778854354.7394457,32,-0.0033898474648594856
1778854387.4048786,33,-0.0035728593356907368
1778854420.0698695,34,-0.0038759217131882906
1778854452.8973427,35,-0.0030445829033851624
1778854485.3865278,36,-0.002849284093827009
1778854517.9785032,37,-0.0037696463987231255
1778854550.4811888,38,-0.0032391934655606747
1778854583.3776267,39,-0.003142853733152151
1778854616.0561836,40,-0.003640962764620781
1778854648.6674263,41,-0.0034520402550697327
1778854681.2544265,42,-0.004365726374089718
1778854714.115311,43,-0.004023339133709669
1778854746.9305785,44,-0.0034352922812104225
1778854779.4469168,45,-0.003409451339393854
1778854812.0855246,46,-0.0026282998733222485
1778854844.634586,47,-0.0031548815313726664
1778854877.5824373,48,-0.003049158491194248
1778854910.272824,49,-0.003244685474783182
1778854942.7410061,50,-0.003695864463225007
1778854975.4480915,51,-0.003793678479269147
1778855007.7403538,52,-0.0036042125429958105
1778855040.1561325,53,-0.003926287405192852
1778855072.7351787,54,-0.0038494402542710304
1778855105.3017714,55,-0.0035597914829850197
1778855137.8561974,56,-0.0037727002054452896
1778855170.579548,57,-0.00409358274191618
1778855203.6255114,58,-0.002592533826828003
1778855236.1465604,59,-0.0037086820229887962
1778855268.6988287,60,-0.0037879645824432373
1778855301.079919,61,-0.0037492760457098484
1778855333.812,62,-0.0037750930059701204
1778855366.7650783,63,-0.0038135494105517864
1778855399.1060252,64,-0.003685734700411558
1778855431.7642617,65,-0.0031262370757758617
1778855464.1547737,66,-0.004217141307890415
1778855496.7593026,67,-0.0033654100261628628
1778855529.6032155,68,-0.003878937568515539
1778855562.1278543,69,-0.0034029418602585793
1778855594.60454,70,-0.0032683631870895624
1778855626.9952419,71,-0.0037734615616500378
1778855659.742471,72,-0.003486537840217352
1778855692.434072,73,-0.004289638716727495
1778855725.26635,74,-0.0034272735938429832
1778855757.6805081,75,-0.0037629222497344017
1778855790.2218425,76,-0.004147484432905912
1778855822.8193083,77,-0.003956283908337355
1778855855.44527,78,-0.0033748256973922253
1778855888.4953723,79,-0.0032543302513659
1778855921.092985,80,-0.003829222172498703
1778855953.9430442,81,-0.0032945009879767895
1778855986.499958,82,-0.0031257090158760548
1778856019.2316341,83,-0.003963313065469265
1778856052.171975,84,-0.0028496047016233206
1778856084.9702766,85,-0.003716680221259594
1778856117.9065487,86,-0.003424605820327997
1778856150.6043813,87,-0.0035701245069503784
1778856183.4604757,88,-0.003404141403734684
1778856215.8762164,89,-0.002944793552160263
1778856248.5581083,90,-0.0036743562668561935
1778856282.0943766,91,-0.003094723215326667
1778856314.6484263,92,-0.003787723369896412
1778856347.1849344,93,-0.0029082426335662603
1778856379.789486,94,-0.003876855131238699
1778856412.4006865,95,-0.0040488578379154205
1778856445.1522994,96,-0.0033874057698994875
1778856478.150995,97,-0.004101388156414032
1778856510.8593767,98,-0.003210595343261957
1778856543.4886343,99,-0.0035546289291232824
1778856576.446032,100,-0.003911291714757681
1778856609.0974202,101,-0.003882861463353038
1778856641.8696,102,-0.003907323814928532
1778856674.5938234,103,-0.004356269259005785
1778856707.0973682,104,-0.0037865638732910156
1778856739.7754948,105,-0.0034756194800138474
1778856772.1883798,106,-0.003490673378109932
1778856804.7664542,107,-0.003834798699244857
1778856837.3180232,108,-0.003919692710042
1778856869.6754253,109,-0.004290570504963398
1778856902.3950558,110,-0.0034673847258090973
1778856934.7703202,111,-0.004096215590834618
1778856967.4154844,112,-0.00351405399851501
1778856999.8127863,113,-0.0034956573508679867
1778857033.7356777,114,-0.003858789801597595
1778857066.1083443,115,-0.004749435931444168
1778857098.8158772,116,-0.004944635555148125
1778857132.3163135,117,-0.003548311535269022
1778857165.0863147,118,-0.003887227736413479
1778857197.658692,119,-0.0035643759183585644
1778857230.259322,120,-0.003400420071557164
1778857263.0497296,121,-0.0031928732059895992
1778857295.6173873,122,-0.003138893051072955
1778857328.6169393,123,-0.003194838762283325
1778857361.6326482,124,-0.0036351880989968777
1778857394.2330906,125,-0.0035967265721410513
1778857427.226667,126,-0.0032481150701642036
1778857460.3000238,127,-0.0033774771727621555
1778857493.3614435,128,-0.003375845495611429
1778857526.6203017,129,-0.003742252942174673
1778857559.6499317,130,-0.003400962334126234
1778857592.6192033,131,-0.003172120079398155
1778857625.774697,132,-0.0032002960797399282
1778857658.7826817,133,-0.003945322707295418
1778857691.6418457,134,-0.002836185973137617
1778857724.4661913,135,-0.0036299126222729683
1778857757.551863,136,-0.0028570378199219704
1778857790.3345497,137,-0.0032082917168736458
1778857823.7910523,138,-0.0030592288821935654
1778857856.5210521,139,-0.0036818156950175762
1778857889.6173503,140,-0.0029440694488584995
1778857923.742236,141,-0.003881779033690691
1778857958.2775831,142,-0.0038155801594257355
1778857991.468182,143,-0.003781148698180914
1778858024.1751518,144,-0.0041435095481574535
1778858056.5863378,145,-0.0033420929685235023
1778858089.2562957,146,-0.0037931676488369703
1778858122.1366632,147,-0.003675843123346567
1778858156.0859373,148,-0.0029252921231091022
1778858188.8911188,149,-0.0032959748059511185
1778858223.3968678,150,-0.0034962457139045
