wall_time,step,value
1778853305.3190408,0,1.0
1778853338.3644204,1,1.0
1778853371.535231,2,1.0
1778853405.0671043,3,1.0
1778853438.853711,4,1.0
1778853470.899759,5,1.0
1778853503.1750023,6,1.0
1778853535.0631814,7,1.0
1778853567.1640968,8,1.0
1778853599.7934473,9,1.0
1778853633.4098372,10,1.0
1778853666.6713796,11,1.0
1778853700.2323298,12,1.0
1778853733.6657917,13,1.0
1778853766.4041593,14,1.0
1778853798.8253903,15,1.0
1778853831.3974566,16,1.0
1778853863.8684387,17,1.0
1778853896.9128587,18,1.0
1778853929.604865,19,1.0
1778853962.132321,20,1.0
1778853994.7792938,21,1.0
1778854027.9472697,22,1.0
1778854060.510023,23,1.0
1778854093.0826094,24,1.0
1778854125.6754405,25,1.0
1778854158.4236357,26,1.0
1778854191.2054472,27,1.0
1778854223.871837,28,1.0
1778854256.5218375,29,1.0
1778854289.0025408,30,1.0
1778854321.33472,31,1.0
1778854354.7430606,32,1.0
1778854387.4072025,33,1.0
1778854420.0721521,34,1.0
1778854452.900557,35,1.0
1778854485.3887768,36,1.0
1778854517.9808354,37,1.0
1778854550.4835756,38,1.0
1778854583.38003,39,1.0
1778854616.058629,40,1.0
1778854648.669774,41,1.0
1778854681.257027,42,1.0
1778854714.1176112,43,1.0
1778854746.93292,44,1.0
1778854779.450189,45,1.0
1778854812.0877242,46,1.0
1778854844.6368468,47,1.0
1778854877.5855074,48,1.0
1778854910.275124,49,1.0
1778854942.7433193,50,1.0
1778854975.451314,51,1.0
1778855007.742537,52,1.0
1778855040.1589742,53,1.0
1778855072.7373955,54,1.0
1778855105.3041592,55,1.0
1778855137.8583574,56,1.0
1778855170.581805,57,1.0
1778855203.6282692,58,1.0
1778855236.1489127,59,1.0
1778855268.7014017,60,1.0
1778855301.082238,61,1.0
1778855333.8168592,62,1.0
1778855366.7675815,63,1.0
1778855399.108326,64,1.0
1778855431.7664685,65,1.0
1778855464.160197,66,1.0
1778855496.761881,67,1.0
1778855529.605463,68,1.0
1778855562.1301835,69,1.0
1778855594.607745,70,1.0
1778855626.9985406,71,1.0
1778855659.7447476,72,1.0
1778855692.4362974,73,1.0
1778855725.2686932,74,1.0
1778855757.682789,75,1.0
1778855790.2241933,76,1.0
1778855822.822413,77,1.0
1778855855.4475038,78,1.0
1778855888.497639,79,1.0
1778855921.0960038,80,1.0
1778855953.9463031,81,1.0
1778855986.5031621,82,1.0
1778856019.2339244,83,1.0
1778856052.1744237,84,1.0
1778856084.9725642,85,1.0
1778856117.908904,86,1.0
1778856150.6067617,87,1.0
1778856183.462694,88,1.0
1778856215.8784301,89,1.0
1778856248.560349,90,1.0
1778856282.0966833,91,1.0
1778856314.6506815,92,1.0
1778856347.1875412,93,1.0
1778856379.791745,94,1.0
1778856412.403051,95,1.0
1778856445.1545792,96,1.0
1778856478.1533473,97,1.0
1778856510.8640506,98,1.0
1778856543.4909937,99,1.0
1778856576.448339,100,1.0
1778856609.0997477,101,1.0
1778856641.8719316,102,1.0
1778856674.5961266,103,1.0
1778856707.0996158,104,1.0
1778856739.7789173,105,1.0
1778856772.1906228,106,1.0
1778856804.7693796,107,1.0
1778856837.3203437,108,1.0
1778856869.6777918,109,1.0
1778856902.3976479,110,1.0
1778856934.7726293,111,1.0
1778856967.4181306,112,1.0
1778856999.8154304,113,1.0
1778857033.7383204,114,1.0
1778857066.110616,115,1.0
1778857098.8181565,116,1.0
1778857132.3186345,117,1.0
1778857165.088893,118,1.0
1778857197.6611001,119,1.0
1778857230.2617047,120,1.0
1778857263.052113,121,1.0
1778857295.6197443,122,1.0
1778857328.6192424,123,1.0
1778857361.6350555,124,1.0
1778857394.2356641,125,1.0
1778857427.2289586,126,1.0
1778857460.3023596,127,1.0
1778857493.3637705,128,1.0
1778857526.6226645,129,1.0
1778857559.6522872,130,1.0
1778857592.6215873,131,1.0
1778857625.7769492,132,1.0
1778857658.7850053,133,1.0
1778857691.6441455,134,1.0
1778857724.4687815,135,1.0
1778857757.55423,136,1.0
1778857790.3369725,137,1.0
1778857823.7933521,138,1.0
1778857856.5235474,139,1.0
1778857889.6209984,140,1.0
1778857923.7450542,141,1.0
1778857958.280489,142,0.875
1778857991.4712565,143,0.75
1778858024.1774576,144,1.0
1778858056.5892491,145,1.0
1778858089.2585976,146,1.0
1778858122.1389594,147,1.0
1778858156.088243,148,1.0
1778858188.8933954,149,1.0
1778858223.4026744,150,1.0
