wall_time,step,value
1778853305.3193026,0,1.0
1778853338.3646166,1,1.0
1778853371.5354455,2,1.0
1778853405.0673018,3,1.0
1778853438.8539104,4,1.0
1778853470.9000149,5,1.0
1778853503.1755455,6,1.0
1778853535.0634048,7,1.0
1778853567.1643016,8,1.0
1778853599.7936544,9,1.0
1778853633.410049,10,1.0
1778853666.6719255,11,1.0
1778853700.2325277,12,1.0
1778853733.6659846,13,1.0
1778853766.4043624,14,1.0
1778853798.8256958,15,1.0
1778853831.3977065,16,1.0
1778853863.8686361,17,1.0
1778853896.913063,18,1.0
1778853929.6050804,19,1.0
1778853962.1325333,20,1.0
1778853994.7794936,21,1.0
1778854027.9475303,22,1.0
1778854060.5103393,23,1.0
1778854093.0828922,24,1.0
1778854125.675637,25,1.0
1778854158.4238303,26,1.0
1778854191.205713,27,1.0
1778854223.8720481,28,1.0
1778854256.5220423,29,1.0
1778854289.0027564,30,1.0
1778854321.3349214,31,1.0
1778854354.7433267,32,1.0
1778854387.4073992,33,1.0
1778854420.0723524,34,1.0
1778854452.9008346,35,1.0
1778854485.3889773,36,1.0
1778854517.981043,37,1.0
1778854550.4837878,38,1.0
1778854583.3802283,39,1.0
1778854616.0588355,40,1.0
1778854648.669976,41,1.0
1778854681.2572248,42,1.0
1778854714.117807,43,1.0
1778854746.9331236,44,1.0
1778854779.4504526,45,1.0
1778854812.0879242,46,1.0
1778854844.6370518,47,1.0
1778854877.5857792,48,1.0
1778854910.2753158,49,1.0
1778854942.7435246,50,1.0
1778854975.4515722,51,1.0
1778855007.7427344,52,1.0
1778855040.1592176,53,1.0
1778855072.737589,54,1.0
1778855105.3043735,55,1.0
1778855137.858547,56,1.0
1778855170.5820034,57,1.0
1778855203.6284957,58,1.0
1778855236.1491134,59,1.0
1778855268.7016406,60,1.0
1778855301.082442,61,1.0
1778855333.8174016,62,1.0
1778855366.7677937,63,1.0
1778855399.108525,64,1.0
1778855431.7666621,65,1.0
1778855464.160742,66,1.0
1778855496.7620697,67,1.0
1778855529.605664,68,1.0
1778855562.1303854,69,1.0
1778855594.6080644,70,1.0
1778855626.9988155,71,1.0
1778855659.7449439,72,1.0
1778855692.4364924,73,1.0
1778855725.2688985,74,1.0
1778855757.6829967,75,1.0
1778855790.2243993,76,1.0
1778855822.822685,77,1.0
1778855855.447702,78,1.0
1778855888.497834,79,1.0
1778855921.0962625,80,1.0
1778855953.9465642,81,1.0
1778855986.5034254,82,1.0
1778856019.2341166,83,1.0
1778856052.1746368,84,1.0
1778856084.9727669,85,1.0
1778856117.9091046,86,1.0
1778856150.606968,87,1.0
1778856183.462889,88,1.0
1778856215.8786225,89,1.0
1778856248.5605443,90,1.0
1778856282.0968945,91,1.0
1778856314.650892,92,1.0
1778856347.1877449,93,1.0
1778856379.7919438,94,1.0
1778856412.4032562,95,1.0
1778856445.1547766,96,1.0
1778856478.1535506,97,1.0
1778856510.8642612,98,1.0
1778856543.491196,99,1.0
1778856576.448549,100,1.0
1778856609.099946,101,1.0
1778856641.8721285,102,1.0
1778856674.5963259,103,1.0
1778856707.0998073,104,1.0
1778856739.779201,105,1.0
1778856772.1908221,106,1.0
1778856804.7696278,107,1.0
1778856837.3205416,108,1.0
1778856869.677995,109,1.0
1778856902.397868,110,1.0
1778856934.7728317,111,1.0
1778856967.4183388,112,1.0
1778856999.8156264,113,1.0
1778857033.7385511,114,1.0
1778857066.1108046,115,1.0
1778857098.8183513,116,1.0
1778857132.3188293,117,1.0
1778857165.0891197,118,1.0
1778857197.6613092,119,1.0
1778857230.261912,120,1.0
1778857263.0523212,121,1.0
1778857295.6199496,122,1.0
1778857328.6194456,123,1.0
1778857361.6352618,124,1.0
1778857394.235882,125,1.0
1778857427.2291586,126,1.0
1778857460.3025672,127,1.0
1778857493.3639677,128,1.0
1778857526.6228774,129,1.0
1778857559.652491,130,1.0
1778857592.621791,131,1.0
1778857625.7771482,132,1.0
1778857658.7851994,133,1.0
1778857691.6443467,134,1.0
1778857724.468997,135,1.0
1778857757.5544364,136,1.0
1778857790.3371778,137,1.0
1778857823.7935553,138,1.0
1778857856.5237427,139,1.0
1778857889.6211903,140,1.0
1778857923.7452517,141,1.0
1778857958.2806928,142,0.875
1778857991.4715204,143,0.75
1778858024.1776612,144,1.0
1778858056.5894935,145,1.0
1778858089.2587993,146,1.0
1778858122.1391568,147,1.0
1778858156.088446,148,1.0
1778858188.8935935,149,1.0
1778858223.402948,150,1.0
