wall_time,step,value
1778853305.3209476,0,4.199999809265137
1778853338.3665707,1,8.287500381469727
1778853371.5366483,2,12.225000381469727
1778853405.0686276,3,15.8125
1778853438.8550763,4,14.413888931274414
1778853470.9014952,5,5.0416669845581055
1778853503.1776152,6,9.5
1778853535.0646749,7,4.864583492279053
1778853567.1654894,8,6.34375
1778853599.7948437,9,7.09375
1778853633.4113047,10,6.65625
1778853666.6746848,11,9.84375
1778853700.2337277,12,4.4375
1778853733.6671195,13,8.90625
1778853766.4055202,14,5.25
1778853798.827182,15,7.0625
1778853831.39922,16,7.125
1778853863.8698008,17,5.5625
1778853896.9143374,18,9.0
1778853929.606368,19,4.34375
1778853962.1337912,20,8.4375
1778853994.780658,21,5.71875
1778854027.9490895,22,7.53125
1778854060.5131712,23,7.5625
1778854093.0845175,24,5.46875
1778854125.676773,25,9.03125
1778854158.4249825,26,6.40625
1778854191.2072027,27,10.625
1778854223.8732781,28,5.8125
1778854256.5231864,29,6.21875
1778854289.0039883,30,6.9375
1778854321.336113,31,5.03125
1778854354.7447379,32,9.34375
1778854387.4085586,33,5.375
1778854420.0734992,34,9.28125
1778854452.9024763,35,5.46875
1778854485.3901603,36,6.0
1778854517.9822543,37,7.25
1778854550.4850276,38,4.78125
1778854583.3813622,39,8.8125
1778854616.060137,40,3.65625
1778854648.6711354,41,7.6875
1778854681.2583413,42,6.84375
1778854714.1189709,43,7.96875
1778854746.9343317,44,9.46875
1778854779.4519842,45,7.4375
1778854812.0890982,46,11.8125
1778854844.6382093,47,4.71875
1778854877.58728,48,8.53125
1778854910.2764874,49,6.78125
1778854942.7447152,50,7.5
1778854975.4529433,51,8.9375
1778855007.744014,52,4.9375
1778855040.1606905,53,9.46875
1778855072.738722,54,5.21875
1778855105.3055935,55,8.8125
1778855137.8596315,56,5.84375
1778855170.5831788,57,5.3125
1778855203.6297827,58,7.875
1778855236.1502903,59,6.5
1778855268.702864,60,10.65625
1778855301.0836277,61,4.40625
1778855333.820146,62,7.6875
1778855366.7690709,63,7.0625
1778855399.109691,64,7.375
1778855431.767797,65,9.1875
1778855464.162729,66,6.0625
1778855496.7632425,67,10.53125
1778855529.6068301,68,4.71875
1778855562.131574,69,7.75
1778855594.6095157,70,7.375
1778855627.0003932,71,7.875
1778855659.7460926,72,9.71875
1778855692.437631,73,4.34375
1778855725.2700882,74,8.53125
1778855757.684174,75,5.8125
1778855790.2255867,76,9.15625
1778855822.8242924,77,7.96875
1778855855.448834,78,6.625
1778855888.4989583,79,9.125
1778855921.097758,80,4.875
1778855953.948127,81,9.28125
1778855986.5049274,82,6.125
1778856019.235253,83,9.15625
1778856052.1758938,84,7.59375
1778856084.9739368,85,6.09375
1778856117.9103074,86,9.21875
1778856150.6081555,87,5.03125
1778856183.463996,88,9.40625
1778856215.8797734,89,6.4375
1778856248.5616648,90,8.96875
1778856282.09807,91,7.40625
1778856314.6520479,92,5.25
1778856347.1889324,93,8.625
1778856379.7931125,94,6.0
1778856412.4044333,95,10.25
1778856445.155992,96,5.53125
1778856478.1547554,97,7.6875
1778856510.8654587,98,7.0625
1778856543.4923627,99,5.53125
1778856576.4497197,100,9.1875
1778856609.1011229,101,4.625
1778856641.8733122,102,9.125
1778856674.5974865,103,4.375
1778856707.1009324,104,5.96875
1778856739.7807562,105,6.78125
1778856772.1922777,106,5.90625
1778856804.771154,107,9.34375
1778856837.3217156,108,6.0
1778856869.6792068,109,10.1875
1778856902.3991642,110,6.15625
1778856934.7740357,111,7.65625
1778856967.4195843,112,8.677083969116211
1778856999.816822,113,7.583333969116211
1778857033.7398956,114,9.916666984558105
1778857066.1120923,115,0.0
1778857098.8223913,116,1.8333333730697632
1778857132.3199947,117,6.125
1778857165.0904627,118,7.0416669845581055
1778857197.6625214,119,1.6875
1778857230.2631338,120,5.395833492279053
1778857263.0535622,121,7.125
1778857295.6211774,122,6.5625
1778857328.6206942,123,5.833333492279053
1778857361.636553,124,6.083333492279053
1778857394.2371962,125,4.125
1778857427.230303,126,6.583333492279053
1778857460.303763,127,6.9375
1778857493.3651478,128,4.2291669845581055
1778857526.6241148,129,8.3125
1778857559.6536982,130,9.4375
1778857592.6229746,131,7.875
1778857625.7787008,132,8.625
1778857658.7863626,133,8.083333969116211
1778857691.6455297,134,7.4375
1778857724.4702787,135,5.6875
1778857757.5556638,136,6.333333492279053
1778857790.3384187,137,9.125
1778857823.7947643,138,5.083333492279053
1778857856.524922,139,8.833333969116211
1778857889.6223578,140,6.208333492279053
1778857923.7464345,141,3.6666669845581055
1778857958.2819514,142,8.0
1778857991.4731002,143,2.25
1778858024.178859,144,6.3125
1778858056.5910356,145,9.291666984558105
1778858089.260042,146,5.75
1778858122.1403375,147,9.716667175292969
1778858156.0896096,148,13.177083969116211
1778858188.8948202,149,16.66805648803711
1778858223.4042103,150,18.0
