wall_time,step,value
1778853305.3210745,0,10.0
1778853338.3666604,1,10.0
1778853371.5367265,2,10.0
1778853405.0687137,3,9.5
1778853438.8551507,4,7.5
1778853470.901596,5,6.0
1778853503.1776965,6,6.0
1778853535.0647697,7,4.25
1778853567.165568,8,4.0
1778853599.7949245,9,4.0
1778853633.4113882,10,4.0
1778853666.674873,11,4.0
1778853700.2338061,12,4.0
1778853733.6671991,13,4.0
1778853766.4055967,14,4.0
1778853798.8272834,15,4.0
1778853831.3993175,16,4.0
1778853863.8698752,17,4.0
1778853896.9144232,18,4.0
1778853929.6064517,19,4.0
1778853962.1339605,20,4.0
1778853994.7807353,21,4.0
1778854027.9491925,22,4.0
1778854060.5133626,23,4.0
1778854093.0846257,24,4.0
1778854125.6768472,25,4.0
1778854158.4250607,26,4.0
1778854191.2072818,27,4.0
1778854223.873357,28,4.0
1778854256.523263,29,4.0
1778854289.0040932,30,4.0
1778854321.336197,31,4.0
1778854354.7448676,32,4.0
1778854387.4086394,33,4.0
1778854420.0735743,34,4.0
1778854452.9025924,35,4.0
1778854485.390239,36,4.0
1778854517.9823318,37,4.0
1778854550.4851136,38,4.0
1778854583.3814368,39,4.0
1778854616.0602174,40,4.0
1778854648.6712117,41,4.0
1778854681.2584205,42,4.0
1778854714.1190495,43,4.0
1778854746.934413,44,4.0
1778854779.4520898,45,4.0
1778854812.0891721,46,4.0
1778854844.6382887,47,4.0
1778854877.5873585,48,4.0
1778854910.276566,49,4.0
1778854942.744793,50,4.0
1778854975.4530377,51,4.0
1778855007.7441142,52,4.0
1778855040.1607842,53,4.0
1778855072.7387996,54,4.0
1778855105.3056767,55,4.0
1778855137.8597043,56,4.0
1778855170.5832558,57,4.0
1778855203.6298969,58,4.0
1778855236.1503701,59,4.0
1778855268.7030022,60,4.0
1778855301.083709,61,4.0
1778855333.8203392,62,4.0
1778855366.7691574,63,4.0
1778855399.109771,64,4.0
1778855431.767873,65,4.0
1778855464.1628063,66,4.0
1778855496.7633195,67,4.0
1778855529.6069124,68,4.0
1778855562.1316533,69,4.0
1778855594.6096683,70,4.0
1778855627.0005,71,4.0
1778855659.7461717,72,4.0
1778855692.4377089,73,4.0
1778855725.2701657,74,4.0
1778855757.6842506,75,4.0
1778855790.2256682,76,4.0
1778855822.8244069,77,4.0
1778855855.4489102,78,4.0
1778855888.499032,79,4.0
1778855921.0978942,80,4.0
1778855953.9482017,81,4.0
1778855986.5050387,82,4.0
1778856019.2353299,83,4.0
1778856052.175983,84,4.0
1778856084.9740148,85,4.0
1778856117.9103897,86,4.0
1778856150.608236,87,4.0
1778856183.4640694,88,4.0
1778856215.8798509,89,4.0
1778856248.5617354,90,4.0
1778856282.0981505,91,4.0
1778856314.6521308,92,4.0
1778856347.1890154,93,4.0
1778856379.7931907,94,4.0
1778856412.4045115,95,4.0
1778856445.156072,96,4.0
1778856478.1548333,97,4.0
1778856510.8655386,98,4.0
1778856543.4924414,99,4.0
1778856576.449797,100,4.0
1778856609.1012022,101,4.0
1778856641.8733945,102,4.0
1778856674.5975683,103,4.0
1778856707.101006,104,4.0
1778856739.7808642,105,4.0
1778856772.1923583,106,4.0
1778856804.771249,107,4.0
1778856837.3217993,108,4.0
1778856869.679286,109,4.0
1778856902.3992527,110,4.0
1778856934.7741156,111,4.0
1778856967.4196649,112,3.75
1778856999.8169022,113,3.0
1778857033.7399828,114,2.625
1778857066.112206,115,0.0
1778857098.822528,116,2.375
1778857132.320072,117,3.0
1778857165.0905511,118,1.625
1778857197.6626015,119,1.125
1778857230.2632143,120,2.375
1778857263.0536366,121,2.875
1778857295.6212595,122,2.25
1778857328.6207807,123,3.0
1778857361.6366413,124,2.75
1778857394.2372806,125,2.75
1778857427.2303834,126,2.75
1778857460.3038468,127,2.0
1778857493.3652296,128,2.375
1778857526.624195,129,2.875
1778857559.65378,130,2.125
1778857592.6230571,131,2.5
1778857625.7787762,132,3.0
1778857658.7864425,133,2.5
1778857691.645611,134,2.0
1778857724.4703624,135,2.25
1778857757.5557432,136,3.0
1778857790.3385031,137,2.5
1778857823.794848,138,2.875
1778857856.524995,139,3.0
1778857889.6224368,140,2.375
1778857923.7465193,141,3.0
1778857958.2821283,142,2.75
1778857991.4732049,143,1.0
1778858024.1789386,144,2.0
1778858056.5911496,145,2.125
1778858089.26012,146,2.625
1778858122.140415,147,3.375
1778858156.0896907,148,6.375
1778858188.8949091,149,9.5
1778858223.4042926,150,9.0
