wall_time,step,value
1778857098.8311484,0,0.0
1778857098.8311546,1,0.0
1778857098.8311863,2,0.0
1778857098.8312068,3,0.0
1778857098.831231,4,0.0
1778857098.8312552,5,0.0
1778857098.8312788,6,0.0
1778857098.8313022,7,0.0
1778857098.8313258,8,0.0
1778857098.8313498,9,0.0
1778857098.831373,10,0.0
1778857098.8313975,11,0.0
1778857098.8314214,12,0.0
1778857098.8314579,13,0.0
1778857098.8314817,14,0.0
1778857098.8315048,15,0.0
1778857098.8315282,16,0.0
1778857098.8315513,17,0.0
1778857098.8315747,18,0.0
1778857098.8316011,19,0.0
1778857098.8316224,20,0.0
1778857098.8316457,21,0.0
1778857098.8316689,22,0.0
1778857098.8316922,23,0.0
1778857098.8317158,24,0.0
1778857098.8317394,25,0.0
1778857098.8317635,26,0.0
1778857098.8317876,27,0.0
1778857098.8318107,28,0.0
1778857098.8318346,29,0.0
1778857098.83186,30,0.0
1778857098.831883,31,0.0
1778857098.8319063,32,0.0
1778857098.8319306,33,0.0
1778857098.8319538,34,0.0
1778857098.831978,35,0.0
1778857098.8320014,36,0.0
1778857098.8320248,37,0.0
1778857098.8320482,38,0.0
1778857098.832072,39,0.0
1778857098.8320951,40,0.0
1778857098.832119,41,0.0
1778857098.832143,42,0.0
1778857098.832167,43,0.0
1778857098.832191,44,0.0
1778857098.8322148,45,0.0
1778857098.8322377,46,0.0
1778857098.832261,47,0.0
1778857098.8322845,48,0.0
1778857098.8323085,49,0.0
1778857098.8323321,50,0.0
1778857098.8323557,51,0.0
1778857098.8323793,52,0.0
1778857098.8324025,53,0.0
1778857098.8324263,54,0.0
1778857098.8324506,55,0.0
1778857098.8324735,56,0.0
1778857098.832498,57,0.0
1778857098.8325212,58,0.0
1778857098.8325443,59,0.0
1778857098.8325675,60,0.0
1778857098.832591,61,0.0
1778857098.832615,62,0.0
1778857098.8326385,63,0.0
1778857098.8326628,64,0.0
1778857098.8326862,65,0.0
1778857098.832709,66,0.0
1778857098.8327322,67,0.0
1778857098.8327556,68,0.0
1778857098.832779,69,0.0
1778857098.8328023,70,0.0
1778857098.8328264,71,0.0
1778857098.8328516,72,0.0
1778857098.8328755,73,0.0
1778857098.832899,74,0.0
1778857098.832923,75,0.0
1778857098.8329475,76,0.0
1778857098.8329704,77,0.0
1778857098.8329935,78,0.0
1778857098.8330164,79,0.0
1778857098.8330402,80,0.0
1778857098.8330636,81,0.0
1778857098.8330894,82,0.0
1778857098.8331103,83,0.0
1778857098.833133,84,0.0
1778857098.8331568,85,0.0
1778857098.8331804,86,0.0
1778857098.8332038,87,0.0
1778857098.833227,88,0.0
1778857098.8332498,89,0.0
1778857098.8332734,90,0.0
1778857098.8332975,91,0.0
1778857098.8333204,92,0.0
1778857098.8333437,93,0.0
1778857098.8333666,94,0.0
1778857098.833391,95,0.0
1778857098.833414,96,0.0
1778857098.833438,97,0.0
1778857098.8334641,98,0.0
1778857098.8334851,99,0.0
1778857098.8335094,100,0.0
1778857098.8335342,101,0.0
1778857098.8335576,102,0.0
1778857098.8335812,103,0.0
1778857098.8336048,104,0.0
1778857098.8336291,105,0.0
1778857098.8336558,106,0.0
1778857098.8336782,107,0.0
1778857098.8337018,108,0.0
1778857098.8337252,109,0.0
1778857098.8337483,110,0.0
1778857098.8337715,111,0.0
1778857098.833795,112,0.0
1778857098.8338187,113,0.0
1778857098.8338444,114,0.0
1778857098.833868,115,0.0
1778857098.8338947,116,0.1666666716337204
1778857132.320491,117,0.0
1778857165.0910184,118,0.0
1778857197.6630414,119,0.0
1778857230.2636445,120,0.0
1778857263.0540774,121,0.0
1778857295.6216881,122,0.0
1778857328.6212149,123,0.0
1778857361.6370966,124,0.0
1778857394.2377274,125,0.0
1778857427.230797,126,0.0
1778857460.3042543,127,0.0
1778857493.3656454,128,0.0
1778857526.624621,129,0.0
1778857559.654181,130,0.0
1778857592.6234815,131,0.0
1778857625.779199,132,0.0
1778857658.7868578,133,0.0
1778857691.6460261,134,0.0
1778857724.470803,135,0.0
1778857757.55617,136,0.0
1778857790.3389523,137,0.0
1778857823.795261,138,0.0
1778857856.5253863,139,0.0
1778857889.6228318,140,0.0
1778857923.7469265,141,0.0
1778857958.2825954,142,0.0
1778857991.473745,143,0.0
1778858024.1793532,144,0.0
1778858056.5916872,145,0.0
1778858089.2605321,146,0.0
1778858122.1408172,147,0.0
1778858156.0901995,148,0.0
1778858188.8953385,149,0.0
1778858223.4047298,150,0.0
