wall_time,step,value
1778853305.321612,0,1.0
1778853338.367089,1,1.0
1778853371.5371315,2,1.0
1778853405.0691845,3,1.0
1778853438.8555608,4,1.0
1778853470.9021297,5,1.0
1778853503.1781347,6,1.0
1778853535.0652199,7,1.0
1778853567.165986,8,1.0
1778853599.7953467,9,1.0
1778853633.411821,10,1.0
1778853666.6758928,11,1.0
1778853700.2342274,12,1.0
1778853733.6676047,13,1.0
1778853766.40601,14,1.0
1778853798.827862,15,1.0
1778853831.3998528,16,1.0
1778853863.8704016,17,1.0
1778853896.9148426,18,1.0
1778853929.6069074,19,1.0
1778853962.1344628,20,1.0
1778853994.7811525,21,1.0
1778854027.9497342,22,1.0
1778854060.514387,23,1.0
1778854093.085189,24,1.0
1778854125.6772535,25,1.0
1778854158.4254677,26,1.0
1778854191.2076895,27,1.0
1778854223.8737783,28,1.0
1778854256.5236733,29,1.0
1778854289.004556,30,1.0
1778854321.336624,31,1.0
1778854354.7455158,32,1.0
1778854387.4090412,33,1.0
1778854420.0739763,34,1.0
1778854452.9031823,35,1.0
1778854485.3906515,36,1.0
1778854517.9827569,37,1.0
1778854550.4855468,38,1.0
1778854583.3818436,39,1.0
1778854616.0606558,40,1.0
1778854648.6716137,41,1.0
1778854681.2588117,42,1.0
1778854714.1194606,43,1.0
1778854746.934835,44,1.0
1778854779.4526222,45,1.0
1778854812.0895739,46,1.0
1778854844.6386914,47,1.0
1778854877.5877945,48,1.0
1778854910.2770276,49,1.0
1778854942.7452002,50,1.0
1778854975.45347,51,1.0
1778855007.7445316,52,1.0
1778855040.1612802,53,1.0
1778855072.7391334,54,1.0
1778855105.3061173,55,1.0
1778855137.8601117,56,1.0
1778855170.583664,57,1.0
1778855203.630373,58,1.0
1778855236.1507885,59,1.0
1778855268.7034805,60,1.0
1778855301.0841327,61,1.0
1778855333.8213592,62,1.0
1778855366.7696083,63,1.0
1778855399.1101942,64,1.0
1778855431.7682667,65,1.0
1778855464.1632392,66,1.0
1778855496.7637463,67,1.0
1778855529.6073267,68,1.0
1778855562.1320796,69,1.0
1778855594.6102421,70,1.0
1778855627.0010505,71,1.0
1778855659.7465975,72,1.0
1778855692.4381351,73,1.0
1778855725.2705855,74,1.0
1778855757.6846578,75,1.0
1778855790.2260988,76,1.0
1778855822.824975,77,1.0
1778855855.449306,78,1.0
1778855888.4994454,79,1.0
1778855921.0984445,80,1.0
1778855953.9487617,81,1.0
1778855986.5055707,82,1.0
1778856019.235751,83,1.0
1778856052.176428,84,1.0
1778856084.9744284,85,1.0
1778856117.9108047,86,1.0
1778856150.6086583,87,1.0
1778856183.4644635,88,1.0
1778856215.8802557,89,1.0
1778856248.5621438,90,1.0
1778856282.0985894,91,1.0
1778856314.65255,92,1.0
1778856347.1894474,93,1.0
1778856379.7936008,94,1.0
1778856412.404936,95,1.0
1778856445.1564994,96,1.0
1778856478.1552465,97,1.0
1778856510.8659775,98,1.0
1778856543.4928596,99,1.0
1778856576.4502115,100,1.0
1778856609.1016102,101,1.0
1778856641.8738134,102,1.0
1778856674.5980592,103,1.0
1778856707.1014192,104,1.0
1778856739.7814105,105,1.0
1778856772.1927748,106,1.0
1778856804.7717562,107,1.0
1778856837.322211,108,1.0
1778856869.679703,109,1.0
1778856902.3997133,110,1.0
1778856934.7745323,111,1.0
1778856967.420116,112,1.0
1778856999.8173177,113,1.0
1778857033.7404513,114,0.875
1778857066.1127632,115,0.0
1778857098.834062,116,0.8333333730697632
1778857132.320597,117,1.0
1778857165.0911455,118,0.75
1778857197.6631498,119,0.625
1778857230.263752,120,1.0
1778857263.0541823,121,1.0
1778857295.6217961,122,1.0
1778857328.6213243,123,1.0
1778857361.6372085,124,1.0
1778857394.2378442,125,1.0
1778857427.2309,126,1.0
1778857460.3043597,127,1.0
1778857493.3657525,128,1.0
1778857526.6247244,129,1.0
1778857559.65429,130,1.0
1778857592.623585,131,1.0
1778857625.779303,132,1.0
1778857658.7869678,133,1.0
1778857691.6461332,134,1.0
1778857724.4709132,135,1.0
1778857757.556275,136,1.0
1778857790.339057,137,1.0
1778857823.7953632,138,1.0
1778857856.525488,139,1.0
1778857889.622929,140,1.0
1778857923.7470329,141,1.0
1778857958.2827106,142,1.0
1778857991.4738913,143,0.625
1778858024.1794574,144,1.0
1778858056.5918198,145,1.0
1778858089.2606494,146,1.0
1778858122.1409245,147,1.0
1778858156.0903094,148,1.0
1778858188.8954506,149,1.0
1778858223.4048338,150,1.0
