wall_time,step,value
1778853305.3218868,0,1.0
1778853338.3672981,1,1.0
1778853371.537343,2,1.0
1778853405.0693927,3,1.0
1778853438.855763,4,1.0
1778853470.902369,5,1.0
1778853503.1783419,6,1.0
1778853535.0654519,7,1.0
1778853567.1661978,8,1.0
1778853599.7955406,9,1.0
1778853633.4120352,10,1.0
1778853666.6764243,11,1.0
1778853700.2344294,12,1.0
1778853733.6677916,13,1.0
1778853766.4062052,14,1.0
1778853798.8281214,15,1.0
1778853831.4000936,16,1.0
1778853863.870621,17,1.0
1778853896.9150536,18,1.0
1778853929.6071236,19,1.0
1778853962.13468,20,1.0
1778853994.7813492,21,1.0
1778854027.9499953,22,1.0
1778854060.514938,23,1.0
1778854093.0854552,24,1.0
1778854125.677455,25,1.0
1778854158.4256692,26,1.0
1778854191.2078962,27,1.0
1778854223.873995,28,1.0
1778854256.5241933,29,1.0
1778854289.0047722,30,1.0
1778854321.3368254,31,1.0
1778854354.7457714,32,1.0
1778854387.409247,33,1.0
1778854420.0741785,34,1.0
1778854452.9034646,35,1.0
1778854485.3908563,36,1.0
1778854517.982966,37,1.0
1778854550.4857564,38,1.0
1778854583.3820465,39,1.0
1778854616.0608642,40,1.0
1778854648.6718142,41,1.0
1778854681.2590058,42,1.0
1778854714.119661,43,1.0
1778854746.9350462,44,1.0
1778854779.4528818,45,1.0
1778854812.0897684,46,1.0
1778854844.6388848,47,1.0
1778854877.5880117,48,1.0
1778854910.27723,49,1.0
1778854942.7453957,50,1.0
1778854975.4536695,51,1.0
1778855007.744725,52,1.0
1778855040.1614816,53,1.0
1778855072.7393703,54,1.0
1778855105.3063307,55,1.0
1778855137.8602977,56,1.0
1778855170.5838678,57,1.0
1778855203.6306407,58,1.0
1778855236.1509917,59,1.0
1778855268.7037113,60,1.0
1778855301.0843372,61,1.0
1778855333.821909,62,1.0
1778855366.7698312,63,1.0
1778855399.110401,64,1.0
1778855431.7684631,65,1.0
1778855464.1634417,66,1.0
1778855496.7639892,67,1.0
1778855529.6075304,68,1.0
1778855562.132285,69,1.0
1778855594.6104908,70,1.0
1778855627.0013447,71,1.0
1778855659.7468002,72,1.0
1778855692.4383461,73,1.0
1778855725.2707922,74,1.0
1778855757.68486,75,1.0
1778855790.2263117,76,1.0
1778855822.8252451,77,1.0
1778855855.4495037,78,1.0
1778855888.4996388,79,1.0
1778855921.0987058,80,1.0
1778855953.9490383,81,1.0
1778855986.5058417,82,1.0
1778856019.23595,83,1.0
1778856052.176657,84,1.0
1778856084.9746237,85,1.0
1778856117.9110103,86,1.0
1778856150.6088705,87,1.0
1778856183.4646595,88,1.0
1778856215.8804493,89,1.0
1778856248.5626338,90,1.0
1778856282.098789,91,1.0
1778856314.6527467,92,1.0
1778856347.1896482,93,1.0
1778856379.7937958,94,1.0
1778856412.4051385,95,1.0
1778856445.1567025,96,1.0
1778856478.1554484,97,1.0
1778856510.8661833,98,1.0
1778856543.4930604,99,1.0
1778856576.4504066,100,1.0
1778856609.1018102,101,1.0
1778856641.8740256,102,1.0
1778856674.5982563,103,1.0
1778856707.1016176,104,1.0
1778856739.7816863,105,1.0
1778856772.1929753,106,1.0
1778856804.7720115,107,1.0
1778856837.322411,108,1.0
1778856869.6799133,109,1.0
1778856902.3999386,110,1.0
1778856934.7747326,111,1.0
1778856967.4203274,112,1.0
1778856999.8175228,113,1.0
1778857033.7406764,114,0.875
1778857066.1130307,115,0.0
1778857098.8400862,116,0.8333333730697632
1778857132.3208585,117,1.0
1778857165.091426,118,0.75
1778857197.663415,119,0.625
1778857230.2640204,120,1.0
1778857263.0544357,121,1.0
1778857295.6220613,122,1.0
1778857328.6215892,123,1.0
1778857361.6374679,124,1.0
1778857394.2381191,125,1.0
1778857427.231152,126,1.0
1778857460.3046143,127,1.0
1778857493.3660047,128,1.0
1778857526.6249924,129,1.0
1778857559.6545482,130,1.0
1778857592.6238363,131,1.0
1778857625.7795572,132,1.0
1778857658.787222,133,1.0
1778857691.646388,134,1.0
1778857724.4711907,135,1.0
1778857757.556545,136,1.0
1778857790.339317,137,1.0
1778857823.7956238,138,1.0
1778857856.5257306,139,1.0
1778857889.623183,140,1.0
1778857923.7472868,141,1.0
1778857958.2829928,142,1.0
1778857991.4742165,143,0.625
1778858024.1797116,144,1.0
1778858056.5921705,145,1.0
1778858089.2609131,146,1.0
1778858122.1411738,147,1.0
1778858156.0905755,148,1.0
1778858188.8957043,149,1.0
1778858223.405104,150,1.0
