wall_time,step,value
1778853305.3237476,0,1.0
1778853338.369188,1,1.0
1778853371.5392475,2,1.0
1778853405.0713818,3,1.0
1778853438.857569,4,1.0
1778853470.904644,5,1.0
1778853503.1801996,6,1.0
1778853535.0674965,7,1.0
1778853567.1680973,8,1.0
1778853599.7974255,9,1.0
1778853633.414007,10,1.0
1778853666.6808782,11,1.0
1778853700.236295,12,1.0
1778853733.669586,13,1.0
1778853766.408108,14,1.0
1778853798.8305323,15,1.0
1778853831.4024632,16,1.0
1778853863.8725195,17,1.0
1778853896.9168448,18,1.0
1778853929.609145,19,1.0
1778853962.1366668,20,1.0
1778853994.7831824,21,1.0
1778854027.952414,22,1.0
1778854060.517621,23,1.0
1778854093.0879605,24,1.0
1778854125.679259,25,1.0
1778854158.4275022,26,1.0
1778854191.2097151,27,1.0
1778854223.8758953,28,1.0
1778854256.526034,29,1.0
1778854289.0067704,30,1.0
1778854321.3387,31,1.0
1778854354.7482705,32,1.0
1778854387.411087,33,1.0
1778854420.0759532,34,1.0
1778854452.9060023,35,1.0
1778854485.392687,36,1.0
1778854517.9856775,37,1.0
1778854550.4877207,38,1.0
1778854583.3838725,39,1.0
1778854616.0628572,40,1.0
1778854648.6736417,41,1.0
1778854681.260828,42,1.0
1778854714.1215343,43,1.0
1778854746.936957,44,1.0
1778854779.4549966,45,1.0
1778854812.0915604,46,1.0
1778854844.6407282,47,1.0
1778854877.589934,48,1.0
1778854910.279168,49,1.0
1778854942.7477038,50,1.0
1778854975.455537,51,1.0
1778855007.7465732,52,1.0
1778855040.163371,53,1.0
1778855072.7412996,54,1.0
1778855105.3082469,55,1.0
1778855137.8620517,56,1.0
1778855170.585725,57,1.0
1778855203.6327753,58,1.0
1778855236.1528459,59,1.0
1778855268.7057993,60,1.0
1778855301.0862167,61,1.0
1778855333.8244505,62,1.0
1778855366.7719026,63,1.0
1778855399.1128974,64,1.0
1778855431.7702813,65,1.0
1778855464.1653314,66,1.0
1778855496.7660725,67,1.0
1778855529.6093915,68,1.0
1778855562.1341956,69,1.0
1778855594.6129408,70,1.0
1778855627.0038745,71,1.0
1778855659.7486744,72,1.0
1778855692.4402444,73,1.0
1778855725.2727315,74,1.0
1778855757.6867487,75,1.0
1778855790.228236,76,1.0
1778855822.8278139,77,1.0
1778855855.4513602,78,1.0
1778855888.5014756,79,1.0
1778855921.1011806,80,1.0
1778855953.9515414,81,1.0
1778855986.5083377,82,1.0
1778856019.2377656,83,1.0
1778856052.1786833,84,1.0
1778856084.9764502,85,1.0
1778856117.9129076,86,1.0
1778856150.610809,87,1.0
1778856183.46649,88,1.0
1778856215.8822627,89,1.0
1778856248.5644715,90,1.0
1778856282.1006267,91,1.0
1778856314.6545758,92,1.0
1778856347.1915019,93,1.0
1778856379.7957559,94,1.0
1778856412.4070156,95,1.0
1778856445.1585422,96,1.0
1778856478.1572998,97,1.0
1778856510.8681343,98,1.0
1778856543.4949815,99,1.0
1778856576.452369,100,1.0
1778856609.103639,101,1.0
1778856641.8759408,102,1.0
1778856674.6001363,103,1.0
1778856707.1034505,104,1.0
1778856739.7841396,105,1.0
1778856772.1948178,106,1.0
1778856804.7741299,107,1.0
1778856837.324269,108,1.0
1778856869.6818285,109,1.0
1778856902.4023712,110,1.0
1778856934.7766209,111,1.0
1778856967.4222255,112,1.0
1778856999.8193552,113,1.0
1778857033.7428143,114,1.0
1778857066.1154995,115,1.0
1778857098.8448043,116,1.0
1778857132.3228123,117,1.0
1778857165.0935214,118,1.0
1778857197.665383,119,0.875
1778857230.2659605,120,1.0
1778857263.0563684,121,1.0
1778857295.623995,122,1.0
1778857328.6236455,123,1.0
1778857361.6394699,124,1.0
1778857394.2401834,125,1.0
1778857427.2330253,126,1.0
1778857460.3065104,127,1.0
1778857493.3679101,128,1.0
1778857526.6269517,129,1.0
1778857559.656488,130,1.0
1778857592.6257079,131,1.0
1778857625.7814398,132,1.0
1778857658.7891002,133,1.0
1778857691.6482697,134,1.0
1778857724.4731894,135,1.0
1778857757.558473,136,1.0
1778857790.3413458,137,1.0
1778857823.79754,138,1.0
1778857856.5275586,139,1.0
1778857889.6251502,140,1.0
1778857923.7491508,141,1.0
1778857958.2850714,142,0.875
1778857991.4766853,143,0.375
1778858024.1815877,144,1.0
1778858056.594571,145,1.0
1778858089.2628615,146,1.0
1778858122.1430428,147,1.0
1778858156.092484,148,1.0
1778858188.8976345,149,1.0
1778858223.4070683,150,1.0
