wall_time,step,value
1778853305.3247519,0,0.20000000298023224
1778853338.3702486,1,0.11250000447034836
1778853371.5402772,2,0.10000000149011612
1778853405.072426,3,0.125
1778853438.8585377,4,0.06136363744735718
1778853470.9056597,5,0.047727275639772415
1778853503.1811965,6,0.0625
1778853535.0684843,7,0.09375
1778853567.1692135,8,0.25
1778853599.7984204,9,0.0625
1778853633.4150598,10,0.1875
1778853666.6831794,11,0.15625
1778853700.2372825,12,0.15625
1778853733.6705291,13,0.15625
1778853766.4091275,14,0.25
1778853798.8317878,15,0.0625
1778853831.403674,16,0.1875
1778853863.8735247,17,0.375
1778853896.9178052,18,0.15625
1778853929.6102166,19,0.1875
1778853962.13771,20,0.09375
1778853994.784144,21,0.15625
1778854027.9537067,22,0.03125
1778854060.5186605,23,0.125
1778854093.0891852,24,0.09375
1778854125.6802013,25,0.1875
1778854158.4284708,26,0.15625
1778854191.2106733,27,0.09375
1778854223.8768637,28,0.125
1778854256.527009,29,0.15625
1778854289.0078216,30,0.125
1778854321.3396819,31,0.0625
1778854354.7495394,32,0.15625
1778854387.4120526,33,0.125
1778854420.0768986,34,0.09375
1778854452.9072194,35,0.21875
1778854485.393658,36,0.09375
1778854517.986695,37,0.125
1778854550.488714,38,0.15625
1778854583.3848155,39,0.0625
1778854616.0639727,40,0.15625
1778854648.6746087,41,0.0625
1778854681.2617636,42,0.21875
1778854714.122517,43,0.1875
1778854746.938043,44,0.09375
1778854779.4559693,45,0.21875
1778854812.092486,46,0.0625
1778854844.6416676,47,0.09375
1778854877.5909376,48,0.125
1778854910.2801569,49,0.21875
1778854942.7487164,50,0.125
1778854975.4564931,51,0.1875
1778855007.7474768,52,0.21875
1778855040.1646008,53,0.09375
1778855072.742269,54,0.1875
1778855105.309258,55,0.1875
1778855137.8629825,56,0.1875
1778855170.5866983,57,0.0625
1778855203.6340678,58,0.125
1778855236.1538339,59,0.21875
1778855268.7068038,60,0.15625
1778855301.0874836,61,0.15625
1778855333.8254266,62,0.125
1778855366.7729948,63,0.125
1778855399.1139066,64,0.15625
1778855431.771237,65,0.15625
1778855464.1663299,66,0.1875
1778855496.7671008,67,0.21875
1778855529.610377,68,0.0625
1778855562.1352077,69,0.15625
1778855594.614209,70,0.15625
1778855627.0049107,71,0.1875
1778855659.7496476,72,0.15625
1778855692.4412332,73,0.09375
1778855725.2737079,74,0.15625
1778855757.6876974,75,0.09375
1778855790.2292929,76,0.15625
1778855822.8292224,77,0.09375
1778855855.4522932,78,0.125
1778855888.5024447,79,0.0
1778855921.1024723,80,0.21875
1778855953.952801,81,0.09375
1778855986.50963,82,0.03125
1778856019.2387018,83,0.15625
1778856052.1797378,84,0.21875
1778856084.977398,85,0.0625
1778856117.913912,86,0.15625
1778856150.6121526,87,0.15625
1778856183.4674282,88,0.09375
1778856215.883207,89,0.125
1778856248.5654163,90,0.09375
1778856282.1015851,91,0.03125
1778856314.655542,92,0.09375
1778856347.1924698,93,0.15625
1778856379.7968297,94,0.25
1778856412.4080331,95,0.125
1778856445.15951,96,0.09375
1778856478.1582594,97,0.21875
1778856510.8691726,98,0.125
1778856543.4959915,99,0.09375
1778856576.4533377,100,0.09375
1778856609.1046007,101,0.15625
1778856641.8769445,102,0.25
1778856674.6011062,103,0.0625
1778856707.104404,104,0.1875
1778856739.7853956,105,0.125
1778856772.1957693,106,0.09375
1778856804.775106,107,0.09375
1778856837.3252275,108,0.1875
1778856869.6828303,109,0.09375
1778856902.4034898,110,0.21875
1778856934.7775936,111,0.21875
1778856967.4232087,112,0.21875
1778856999.8202956,113,0.1875
1778857033.7439036,114,0.1875
1778857066.116785,115,0.3125
1778857098.845824,116,0.125
1778857132.3238025,117,0.25
1778857165.09462,118,0.125
1778857197.666396,119,0.1041666716337204
1778857230.2669668,120,0.25
1778857263.057362,121,0.2083333432674408
1778857295.6250083,122,0.125
1778857328.6247554,123,0.1666666716337204
1778857361.6404881,124,0.1666666716337204
1778857394.2412562,125,0.0625
1778857427.2339656,126,0.25
1778857460.307507,127,0.25
1778857493.3688767,128,0.125
1778857526.628546,129,0.25
1778857559.6574926,130,0.1875000149011612
1778857592.626725,131,0.1666666716337204
1778857625.782419,132,0.1875
1778857658.7900808,133,0.1458333432674408
1778857691.6492236,134,0.125
1778857724.47422,135,0.1041666716337204
1778857757.5594597,136,0.2083333432674408
1778857790.3423834,137,0.125
1778857823.798528,138,0.2083333432674408
1778857856.5285063,139,0.2083333432674408
1778857889.6261353,140,0.1875
1778857923.7501206,141,0.0625
1778857958.286158,142,0.2083333432674408
1778857991.4779687,143,0.0833333358168602
1778858024.1825724,144,0.1875
1778858056.5958104,145,0.1875
1778858089.2638602,146,0.2291666716337204
1778858122.144001,147,0.03125
1778858156.093475,148,0.1242559552192688
1778858188.8985739,149,0.06666667014360428
1778858223.4080715,150,0.11666667461395264
