wall_time,step,value
1778853305.3256915,0,0.7749999761581421
1778853338.37124,1,3.0625
1778853371.5412304,2,3.5500001907348633
1778853405.0733507,3,3.0250000953674316
1778853438.8594415,4,3.6136364936828613
1778853470.9065838,5,1.9875000715255737
1778853503.1821127,6,1.024999976158142
1778853535.069567,7,1.5
1778853567.1701603,8,4.90625
1778853599.7993498,9,2.5625
1778853633.4160476,10,3.625
1778853666.685471,11,3.8125
1778853700.2382019,12,2.59375
1778853733.6713943,13,5.53125
1778853766.4100642,14,1.71875
1778853798.8331127,15,4.875
1778853831.4048116,16,2.96875
1778853863.8744445,17,3.71875
1778853896.9186945,18,4.3125
1778853929.6111832,19,2.46875
1778853962.1386867,20,5.3125
1778853994.7850382,21,1.5625
1778854027.954885,22,4.875
1778854060.519611,23,2.9375
1778854093.0903938,24,3.8125
1778854125.6810863,25,4.6875
1778854158.429369,26,2.40625
1778854191.2115812,27,5.65625
1778854223.8783934,28,1.28125
1778854256.5279431,29,3.65625
1778854289.0088916,30,2.15625
1778854321.3406212,31,3.40625
1778854354.7508254,32,4.53125
1778854387.412982,33,2.40625
1778854420.0778015,34,5.875
1778854452.9081397,35,1.65625
1778854485.3945878,36,4.65625
1778854517.9876666,37,2.6875
1778854550.4896839,38,3.34375
1778854583.385704,39,4.375
1778854616.0650258,40,2.1875
1778854648.6755228,41,5.5625
1778854681.2626855,42,1.75
1778854714.1234446,43,4.375
1778854746.939074,44,3.125
1778854779.4568832,45,3.25
1778854812.0933785,46,4.4375
1778854844.64257,47,2.09375
1778854877.5918646,48,5.625
1778854910.2810707,49,1.8125
1778854942.7496407,50,4.375
1778854975.4574304,51,3.46875
1778855007.7483988,52,3.15625
1778855040.1657362,53,4.84375
1778855072.743205,54,2.0
1778855105.31023,55,5.4375
1778855137.8638723,56,1.6875
1778855170.5876322,57,4.375
1778855203.635236,58,3.5
1778855236.154766,59,3.125
1778855268.7078295,60,5.34375
1778855301.0884416,61,1.8125
1778855333.826375,62,5.15625
1778855366.7740185,63,1.71875
1778855399.1148558,64,4.1875
1778855431.7721298,65,3.34375
1778855464.1672578,66,3.0
1778855496.7681594,67,5.25
1778855529.611305,68,1.96875
1778855562.1361754,69,5.4375
1778855594.6153944,70,2.1875
1778855627.0058534,71,4.0
1778855659.7505722,72,3.21875
1778855692.44217,73,2.90625
1778855725.2746549,74,5.15625
1778855757.6886256,75,1.75
1778855790.230297,76,5.21875
1778855822.8304117,77,2.3125
1778855855.4531822,78,4.09375
1778855888.503342,79,3.71875
1778855921.1037183,80,2.78125
1778855953.9540477,81,5.0
1778855986.5108593,82,1.65625
1778856019.2396035,83,5.25
1778856052.1807647,84,2.25
1778856084.9783132,85,4.03125
1778856117.9148412,86,4.125
1778856150.6131234,87,2.8125
1778856183.46831,88,5.5625
1778856215.8841162,89,1.65625
1778856248.5663455,90,5.125
1778856282.1025145,91,2.21875
1778856314.6564817,92,4.0
1778856347.1933985,93,4.125
1778856379.7978425,94,2.65625
1778856412.4090052,95,5.59375
1778856445.1604316,96,1.78125
1778856478.159172,97,5.0625
1778856510.870101,98,2.34375
1778856543.4969332,99,3.75
1778856576.454269,100,3.875
1778856609.1055245,101,2.5
1778856641.8778841,102,5.53125
1778856674.6020353,103,1.6875
1778856707.1053162,104,4.9375
1778856739.786411,105,2.71875
1778856772.19669,106,3.625
1778856804.7764075,107,3.75
1778856837.326138,108,2.40625
1778856869.6847165,109,5.28125
1778856902.4045255,110,1.5
1778856934.7785482,111,4.75
1778856967.4241498,112,2.84375
1778856999.821214,113,3.46875
1778857033.7448547,114,4.2916669845581055
1778857066.117968,115,2.3125
1778857098.8467894,116,4.9166669845581055
1778857132.3247156,117,1.4583333730697632
1778857165.0956528,118,4.9166669845581055
1778857197.6673658,119,2.7708334922790527
1778857230.2679322,120,2.6041667461395264
1778857263.0583239,121,4.75
1778857295.6259484,122,3.25
1778857328.6257615,123,2.6041667461395264
1778857361.6415286,124,3.3333334922790527
1778857394.2422516,125,4.770833492279053
1778857427.234891,126,2.5833334922790527
1778857460.308456,127,3.3958334922790527
1778857493.3698444,128,3.4375
1778857526.6294985,129,3.7083334922790527
1778857559.6584132,130,4.5625
1778857592.62769,131,2.875
1778857625.7833395,132,4.25
1778857658.791007,133,2.875
1778857691.6501653,134,3.2083334922790527
1778857724.4751914,135,5.2916669845581055
1778857757.5604074,136,1.625
1778857790.3433747,137,4.625
1778857823.7994835,138,3.5
1778857856.529406,139,2.5833334922790527
1778857889.6270633,140,5.208333492279053
1778857923.7510443,141,2.8125
1778857958.2871194,142,3.000000238418579
1778857991.479172,143,6.0625
1778858024.1834967,144,1.25
1778858056.5968943,145,4.625
1778858089.2648299,146,2.7291667461395264
1778858122.144907,147,3.59375
1778858156.094431,148,2.151289701461792
1778858188.8996596,149,3.2680554389953613
1778858223.4090173,150,3.8777780532836914
