wall_time,step,value
1778853305.3262477,0,9.0
1778853338.3717954,1,9.0
1778853371.541788,2,9.0
1778853405.0738826,3,9.0
1778853438.860057,4,9.0
1778853470.907154,5,9.0
1778853503.182822,6,9.0
1778853535.0701547,7,9.0
1778853567.1707456,8,9.0
1778853599.7999368,9,9.0
1778853633.4166708,10,9.0
1778853666.686817,11,9.0
1778853700.238771,12,9.0
1778853733.6719646,13,9.0
1778853766.4106495,14,9.0
1778853798.8339186,15,9.0
1778853831.4055533,16,9.0
1778853863.8750234,17,9.0
1778853896.9192753,18,9.0
1778853929.6118207,19,9.0
1778853962.1393187,20,9.0
1778853994.7856116,21,9.0
1778854027.955507,22,9.0
1778854060.520202,23,9.0
1778854093.0911186,24,9.0
1778854125.681643,25,9.0
1778854158.4302769,26,9.0
1778854191.2121646,27,9.0
1778854223.8789704,28,9.0
1778854256.5285249,29,9.0
1778854289.0094752,30,9.0
1778854321.34121,31,9.0
1778854354.7516055,32,9.0
1778854387.413558,33,9.0
1778854420.0783632,34,9.0
1778854452.908701,35,9.0
1778854485.395159,36,9.0
1778854517.988506,37,9.0
1778854550.4902894,38,9.0
1778854583.386266,39,9.0
1778854616.0656683,40,9.0
1778854648.676098,41,9.0
1778854681.263249,42,9.0
1778854714.124023,43,9.0
1778854746.9397137,44,9.0
1778854779.4574454,45,9.0
1778854812.0939288,46,9.0
1778854844.6431372,47,9.0
1778854877.592575,48,9.0
1778854910.2816556,49,9.0
1778854942.7502472,50,9.0
1778854975.4580014,51,9.0
1778855007.7489605,52,9.0
1778855040.1664662,53,9.0
1778855072.7437842,54,9.0
1778855105.3108227,55,9.0
1778855137.8644288,56,9.0
1778855170.5882092,57,9.0
1778855203.6359777,58,9.0
1778855236.1553524,59,9.0
1778855268.7084112,60,9.0
1778855301.0890262,61,9.0
1778855333.826951,62,9.0
1778855366.77464,63,9.0
1778855399.1154408,64,9.0
1778855431.7726865,65,9.0
1778855464.1678276,66,9.0
1778855496.768803,67,9.0
1778855529.611876,68,9.0
1778855562.1367753,69,9.0
1778855594.6161194,70,9.0
1778855627.0064447,71,9.0
1778855659.7511609,72,9.0
1778855692.442745,73,9.0
1778855725.2752492,74,9.0
1778855757.6891959,75,9.0
1778855790.230894,76,9.0
1778855822.8310263,77,9.0
1778855855.453721,78,9.0
1778855888.5039058,79,9.0
1778855921.1044343,80,9.0
1778855953.9547331,81,9.0
1778855986.5116086,82,9.0
1778856019.2401667,83,9.0
1778856052.1814005,84,9.0
1778856084.9788928,85,9.0
1778856117.9154258,86,9.0
1778856150.6137204,87,9.0
1778856183.4688735,88,9.0
1778856215.8846793,89,9.0
1778856248.566923,90,9.0
1778856282.1030984,91,9.0
1778856314.6570532,92,9.0
1778856347.1939747,93,9.0
1778856379.7984786,94,9.0
1778856412.4095962,95,9.0
1778856445.1610034,96,9.0
1778856478.159743,97,9.0
1778856510.8707023,98,9.0
1778856543.4975064,99,9.0
1778856576.454836,100,9.0
1778856609.106101,101,9.0
1778856641.878468,102,9.0
1778856674.6025958,103,9.0
1778856707.105892,104,9.0
1778856739.7870119,105,9.0
1778856772.1972702,106,9.0
1778856804.7769916,107,9.0
1778856837.3267293,108,9.0
1778856869.6861012,109,9.0
1778856902.4051745,110,9.0
1778856934.779131,111,9.0
1778856967.424747,112,9.0
1778856999.8217478,113,9.0
1778857033.7454538,114,9.0
1778857066.1187165,115,9.0
1778857098.8473887,116,9.0
1778857132.3252678,117,9.0
1778857165.0963016,118,9.0
1778857197.6679618,119,9.0
1778857230.268525,120,9.0
1778857263.0589106,121,9.0
1778857295.626531,122,9.0
1778857328.6263707,123,9.0
1778857361.6423047,124,9.0
1778857394.2428977,125,9.0
1778857427.2354648,126,9.0
1778857460.3090475,127,9.0
1778857493.3704147,128,9.0
1778857526.6300883,129,9.0
1778857559.658994,130,9.0
1778857592.6282809,131,9.0
1778857625.7839167,132,9.0
1778857658.7915764,133,9.0
1778857691.6507392,134,9.0
1778857724.4757938,135,9.0
1778857757.5609949,136,9.0
1778857790.344004,137,9.0
1778857823.8000698,138,9.0
1778857856.529963,139,9.0
1778857889.6276329,140,9.0
1778857923.751612,141,9.0
1778857958.2877147,142,9.0
1778857991.479934,143,9.0
1778858024.1840808,144,9.0
1778858056.597599,145,9.0
1778858089.265423,146,9.0
1778858122.1454945,147,9.0
1778858156.0950174,148,9.0
1778858188.900233,149,9.0
1778858223.4096076,150,9.0
