wall_time,step,value
1778853305.326277,0,0.0
1778853338.3718312,1,0.0
1778853371.541822,2,0.0
1778853405.0739167,3,0.0
1778853438.8600917,4,0.5
1778853470.9071872,5,2.75
1778853503.1828573,6,4.5
1778853535.0701873,7,5.0
1778853567.1707807,8,5.0
1778853599.7999747,9,5.0
1778853633.4167109,10,5.0
1778853666.686891,11,5.0
1778853700.2388053,12,5.0
1778853733.6719975,13,5.0
1778853766.4106843,14,5.0
1778853798.8339434,15,5.0
1778853831.4055977,16,5.0
1778853863.8750591,17,5.0
1778853896.9193091,18,5.0
1778853929.611862,19,5.0
1778853962.1393588,20,5.0
1778853994.785645,21,5.0
1778854027.9555464,22,5.0
1778854060.5202358,23,5.0
1778854093.0911517,24,5.0
1778854125.6816761,25,5.0
1778854158.430312,26,5.0
1778854191.2121978,27,5.0
1778854223.8790023,28,5.0
1778854256.5285568,29,5.0
1778854289.0095084,30,5.0
1778854321.3412428,31,5.0
1778854354.7516518,32,5.0
1778854387.4135938,33,5.0
1778854420.0783987,34,5.0
1778854452.9087324,35,5.0
1778854485.3951924,36,5.0
1778854517.9885468,37,5.0
1778854550.4903262,38,5.0
1778854583.386302,39,5.0
1778854616.0657074,40,5.0
1778854648.676133,41,5.0
1778854681.263282,42,5.0
1778854714.1240592,43,5.0
1778854746.939755,44,5.0
1778854779.4574807,45,5.0
1778854812.0939615,46,5.0
1778854844.6431704,47,5.0
1778854877.5926077,48,5.0
1778854910.2816896,49,5.0
1778854942.7502806,50,5.0
1778854975.458036,51,5.0
1778855007.7489953,52,5.0
1778855040.1665113,53,5.0
1778855072.7438183,54,5.0
1778855105.310864,55,5.0
1778855137.8644607,56,5.0
1778855170.588244,57,5.0
1778855203.6360183,58,5.0
1778855236.1553817,59,5.0
1778855268.7084477,60,5.0
1778855301.0890622,61,5.0
1778855333.8269846,62,5.0
1778855366.7746804,63,5.0
1778855399.1154754,64,5.0
1778855431.7727213,65,5.0
1778855464.1678672,66,5.0
1778855496.7688234,67,5.0
1778855529.6119103,68,5.0
1778855562.1368077,69,5.0
1778855594.6161592,70,5.0
1778855627.00648,71,5.0
1778855659.7511957,72,5.0
1778855692.442778,73,5.0
1778855725.2752864,74,5.0
1778855757.689227,75,5.0
1778855790.2309296,76,5.0
1778855822.8310587,77,5.0
1778855855.453754,78,5.0
1778855888.5039392,79,5.0
1778855921.1044838,80,5.0
1778855953.9547806,81,5.0
1778855986.51165,82,5.0
1778856019.2402005,83,5.0
1778856052.181434,84,5.0
1778856084.9789262,85,5.0
1778856117.9154577,86,5.0
1778856150.613756,87,5.0
1778856183.4689074,88,5.0
1778856215.8847117,89,5.0
1778856248.5669563,90,5.0
1778856282.1031337,91,5.0
1778856314.657087,92,5.0
1778856347.1940086,93,5.0
1778856379.798516,94,5.0
1778856412.4096322,95,5.0
1778856445.1610353,96,5.0
1778856478.1597736,97,5.0
1778856510.8707347,98,5.0
1778856543.4975433,99,5.0
1778856576.4548697,100,5.0
1778856609.106133,101,5.0
1778856641.878502,102,5.0
1778856674.6026328,103,5.0
1778856707.105925,104,5.0
1778856739.787044,105,5.0
1778856772.1973035,106,5.0
1778856804.777029,107,5.0
1778856837.3267632,108,5.0
1778856869.68618,109,5.0
1778856902.4052124,110,5.0
1778856934.7791626,111,5.0
1778856967.4247851,112,5.0
1778856999.8217793,113,5.0
1778857033.7454858,114,5.0
1778857066.1187613,115,5.0
1778857098.8474276,116,5.0
1778857132.3253021,117,5.0
1778857165.09634,118,5.0
1778857197.6679978,119,5.0
1778857230.2685575,120,5.0
1778857263.0589461,121,5.0
1778857295.6265643,122,5.0
1778857328.6264079,123,5.0
1778857361.6423533,124,5.0
1778857394.2429352,125,5.0
1778857427.2354987,126,5.0
1778857460.309082,127,5.0
1778857493.3704484,128,5.0
1778857526.6301236,129,5.0
1778857559.6590304,130,5.0
1778857592.628317,131,5.0
1778857625.7839508,132,5.0
1778857658.7916093,133,5.0
1778857691.6507726,134,5.0
1778857724.4758263,135,5.0
1778857757.5610304,136,5.0
1778857790.3440416,137,5.0
1778857823.800104,138,5.0
1778857856.529994,139,5.0
1778857889.6276665,140,5.0
1778857923.751645,141,5.0
1778857958.2877495,142,5.0
1778857991.4799788,143,5.0
1778858024.1841125,144,5.0
1778858056.5976884,145,5.0
1778858089.2654579,146,5.0
1778858122.1455312,147,5.0
1778858156.0950525,148,5.0
1778858188.9002671,149,5.0
1778858223.4096444,150,5.0
