wall_time,step,value
1778853305.3271735,0,0.0694444477558136
1778853338.3727362,1,0.0972222238779068
1778853371.5427136,2,0.222222238779068
1778853405.074771,3,0.2916666865348816
1778853438.8609624,4,0.4037247598171234
1778853470.9080453,5,0.44090908765792847
1778853503.1837165,6,0.2708333432674408
1778853535.0711737,7,0.0625
1778853567.171629,8,0.09375
1778853599.801037,9,0.03125
1778853633.4176683,10,0.125
1778853666.6878333,11,0.1875
1778853700.2396946,12,0.0
1778853733.6728454,13,0.125
1778853766.4115515,14,0.09375
1778853798.8348885,15,0.21875
1778853831.4066975,16,0.125
1778853863.8759663,17,0.03125
1778853896.9201746,18,0.1875
1778853929.612728,19,0.125
1778853962.140306,20,0.1875
1778853994.7865353,21,0.03125
1778854027.9564805,22,0.09375
1778854060.5211403,23,0.03125
1778854093.092058,24,0.15625
1778854125.6825264,25,0.1875
1778854158.431191,26,0.03125
1778854191.213067,27,0.1875
1778854223.8798707,28,0.03125
1778854256.529446,29,0.15625
1778854289.0105038,30,0.15625
1778854321.3421428,31,0.125
1778854354.7528553,32,0.0625
1778854387.414471,33,0.0625
1778854420.079256,34,0.15625
1778854452.9096017,35,0.09375
1778854485.3960602,36,0.3125
1778854517.9894626,37,0.03125
1778854550.4912448,38,0.09375
1778854583.387169,39,0.125
1778854616.066689,40,0.03125
1778854648.677007,41,0.25
1778854681.2641394,42,0.0625
1778854714.1249301,43,0.1875
1778854746.9407463,44,0.09375
1778854779.4583406,45,0.0625
1778854812.094783,46,0.1875
1778854844.6440175,47,0.09375
1778854877.593499,48,0.1875
1778854910.282572,49,0.21875
1778854942.7511685,50,0.21875
1778854975.4589038,51,0.125
1778855007.7498364,52,0.09375
1778855040.1676037,53,0.25
1778855072.7446845,54,0.125
1778855105.3117654,55,0.15625
1778855137.865388,56,0.09375
1778855170.5891395,57,0.15625
1778855203.6374485,58,0.21875
1778855236.1562662,59,0.0625
1778855268.7093403,60,0.09375
1778855301.089942,61,0.09375
1778855333.82788,62,0.15625
1778855366.7756455,63,0.09375
1778855399.1163473,64,0.1875
1778855431.773571,65,0.03125
1778855464.1687462,66,0.1875
1778855496.769816,67,0.09375
1778855529.6127832,68,0.125
1778855562.1377165,69,0.1875
1778855594.617284,70,0.15625
1778855627.0073946,71,0.15625
1778855659.7520697,72,0.21875
1778855692.4436603,73,0.15625
1778855725.276196,74,0.3125
1778855757.690085,75,0.0625
1778855790.2318482,76,0.15625
1778855822.8319857,77,0.125
1778855855.4547038,78,0.09375
1778855888.504795,79,0.09375
1778855921.1056724,80,0.0
1778855953.955992,81,0.03125
1778855986.5128093,82,0.0625
1778856019.2410536,83,0.1875
1778856052.1823747,84,0.125
1778856084.9797819,85,0.1875
1778856117.9163277,86,0.125
1778856150.6146626,87,0.0625
1778856183.4697535,88,0.09375
1778856215.885562,89,0.0625
1778856248.567817,90,0.15625
1778856282.10402,91,0.09375
1778856314.657949,92,0.1875
1778856347.194898,93,0.25
1778856379.799486,94,0.125
1778856412.4106774,95,0.21875
1778856445.1619043,96,0.0625
1778856478.160635,97,0.25
1778856510.8716702,98,0.125
1778856543.498434,99,0.125
1778856576.455746,100,0.09375
1778856609.1069963,101,0.0625
1778856641.8793938,102,0.15625
1778856674.6035218,103,0.0
1778856707.1067882,104,0.21875
1778856739.7879717,105,0.125
1778856772.1981754,106,0.09375
1778856804.777908,107,0.09375
1778856837.3276584,108,0.1875
1778856869.6882768,109,0.15625
1778856902.4061887,110,0.03125
1778856934.7800517,111,0.125
1778856967.425667,112,0.0625
1778856999.8226278,113,0.25
1778857033.7463918,114,0.2916666567325592
1778857066.1198769,115,0.0833333358168602
1778857098.8483272,116,0.2083333432674408
1778857132.326159,117,0.0833333358168602
1778857165.0973284,118,0.3750000298023224
1778857197.6689308,119,0.1666666716337204
1778857230.2694747,120,0.0625
1778857263.059843,121,0.1458333432674408
1778857295.6274636,122,0.2083333432674408
1778857328.627323,123,0.1041666716337204
1778857361.6436412,124,0.2291666716337204
1778857394.2439127,125,0.2083333432674408
1778857427.2363632,126,0.125
1778857460.3099802,127,0.125
1778857493.37133,128,0.2291666716337204
1778857526.6310282,129,0.125
1778857559.6599033,130,0.2083333432674408
1778857592.6292286,131,0.1458333432674408
1778857625.7848282,132,0.0416666679084301
1778857658.7924778,133,0.2083333432674408
1778857691.6516447,134,0.125
1778857724.4767413,135,0.1875
1778857757.561932,136,0.375
1778857790.344991,137,0.0
1778857823.8010051,138,0.1666666716337204
1778857856.5308347,139,0.1666666716337204
1778857889.62852,140,0.1458333432674408
1778857923.7525153,141,0.125
1778857958.2886984,142,0.125
1778857991.481135,143,0.1875
1778858024.1850016,144,0.125
1778858056.5989149,145,0.0625
1778858089.2663167,146,0.0
1778858122.1532252,147,0.3541666865348816
1778858156.096017,148,0.24613095819950104
1778858188.9011958,149,0.2847222089767456
1778858223.4106007,150,0.34166666865348816
