wall_time,step,value
1778853305.3275359,0,1.0
1778853338.3731036,1,1.0
1778853371.5430863,2,1.0
1778853405.075133,3,1.0
1778853438.8613067,4,1.0
1778853470.908404,5,1.0
1778853503.1840734,6,0.625
1778853535.0715675,7,1.0
1778853567.171981,8,1.0
1778853599.8013918,9,1.0
1778853633.4180577,10,1.0
1778853666.6882033,11,1.0
1778853700.240055,12,1.0
1778853733.6731808,13,1.0
1778853766.4119055,14,1.0
1778853798.8352478,15,1.0
1778853831.4071145,16,1.0
1778853863.8763266,17,1.0
1778853896.920513,18,1.0
1778853929.6130714,19,1.0
1778853962.1406791,20,1.0
1778853994.7868843,21,1.0
1778854027.956853,22,1.0
1778854060.5214975,23,1.0
1778854093.0924273,24,1.0
1778854125.682867,25,1.0
1778854158.4315379,26,1.0
1778854191.213416,27,1.0
1778854223.88022,28,1.0
1778854256.529787,29,1.0
1778854289.0108936,30,1.0
1778854321.3425019,31,1.0
1778854354.7533226,32,1.0
1778854387.414818,33,1.0
1778854420.0796003,34,1.0
1778854452.9099412,35,1.0
1778854485.3964133,36,1.0
1778854517.9898205,37,1.0
1778854550.4916093,38,1.0
1778854583.3875098,39,1.0
1778854616.0670779,40,1.0
1778854648.6773636,41,1.0
1778854681.2644818,42,1.0
1778854714.1252801,43,1.0
1778854746.941136,44,1.0
1778854779.4586887,45,1.0
1778854812.0951183,46,1.0
1778854844.6443608,47,1.0
1778854877.5938458,48,1.0
1778854910.2829187,49,1.0
1778854942.7515318,50,1.0
1778854975.4592435,51,1.0
1778855007.7501671,52,1.0
1778855040.168048,53,1.0
1778855072.7450378,54,1.0
1778855105.3121355,55,1.0
1778855137.8657396,56,1.0
1778855170.589479,57,1.0
1778855203.637907,58,1.0
1778855236.1566248,59,1.0
1778855268.7096937,60,1.0
1778855301.090297,61,1.0
1778855333.8282366,62,1.0
1778855366.776028,63,1.0
1778855399.1167073,64,1.0
1778855431.7739096,65,1.0
1778855464.1691074,66,1.0
1778855496.7702014,67,1.0
1778855529.6131277,68,1.0
1778855562.1380756,69,1.0
1778855594.6177337,70,1.0
1778855627.007757,71,1.0
1778855659.7524254,72,1.0
1778855692.4440145,73,1.0
1778855725.2765577,74,1.0
1778855757.690434,75,1.0
1778855790.2322001,76,1.0
1778855822.8323524,77,1.0
1778855855.455058,78,1.0
1778855888.5051394,79,1.0
1778855921.1061409,80,1.0
1778855953.9563556,81,1.0
1778855986.5132716,82,1.0
1778856019.241392,83,1.0
1778856052.1827657,84,1.0
1778856084.9801283,85,1.0
1778856117.9166741,86,1.0
1778856150.6150267,87,1.0
1778856183.4700885,88,1.0
1778856215.8858936,89,1.0
1778856248.568172,90,1.0
1778856282.1043718,91,1.0
1778856314.658298,92,1.0
1778856347.1952376,93,1.0
1778856379.7998672,94,1.0
1778856412.4110649,95,1.0
1778856445.1622438,96,1.0
1778856478.1609805,97,1.0
1778856510.8720298,98,1.0
1778856543.4987962,99,1.0
1778856576.4560926,100,1.0
1778856609.107347,101,1.0
1778856641.8797522,102,1.0
1778856674.6038845,103,1.0
1778856707.107135,104,1.0
1778856739.7883482,105,1.0
1778856772.1985264,106,1.0
1778856804.7782514,107,1.0
1778856837.328,108,1.0
1778856869.689166,109,1.0
1778856902.406572,110,1.0
1778856934.7804043,111,1.0
1778856967.4260309,112,1.0
1778856999.8229685,113,1.0
1778857033.7467475,114,1.0
1778857066.1203096,115,1.0
1778857098.8486938,116,1.0
1778857132.3264985,117,1.0
1778857165.0977135,118,1.0
1778857197.6692839,119,1.0
1778857230.2698457,120,1.0
1778857263.0602112,121,1.0
1778857295.6278236,122,1.0
1778857328.627696,123,1.0
1778857361.6441257,124,1.0
1778857394.2443054,125,1.0
1778857427.2367027,126,1.0
1778857460.3103378,127,1.0
1778857493.3716733,128,1.0
1778857526.6313896,129,1.0
1778857559.660261,130,1.0
1778857592.6295872,131,1.0
1778857625.785183,132,1.0
1778857658.7928226,133,1.0
1778857691.6520014,134,1.0
1778857724.4771075,135,1.0
1778857757.5622919,136,1.0
1778857790.3453627,137,1.0
1778857823.8013635,138,1.0
1778857856.53117,139,1.0
1778857889.6288579,140,1.0
1778857923.7528625,141,1.0
1778857958.2890975,142,1.0
1778857991.4815836,143,1.0
1778858024.185353,144,1.0
1778858056.5993807,145,1.0
1778858089.2669923,146,1.0
1778858122.157039,147,0.9757829904556274
1778858156.0963895,148,1.0
1778858188.9017324,149,1.0
1778858223.4109814,150,1.0
