wall_time,step,value
1778853305.3328087,0,9.0
1778853338.378806,1,9.0
1778853371.548613,2,9.0
1778853405.0806544,3,9.125
1778853438.8669302,4,10.25
1778853470.9139333,5,11.0
1778853503.1899126,6,14.875
1778853535.0776603,7,16.0
1778853567.1782064,8,16.0
1778853599.8073568,9,16.0
1778853633.4242117,10,16.0
1778853666.6942558,11,16.0
1778853700.245787,12,16.0
1778853733.6788504,13,16.0
1778853766.4178927,14,16.0
1778853798.8414805,15,16.0
1778853831.414746,16,16.0
1778853863.8825035,17,16.0
1778853896.926178,18,16.0
1778853929.6187196,19,16.0
1778853962.1471965,20,16.0
1778853994.7925785,21,15.125
1778854027.9628608,22,15.0
1778854060.527958,23,15.0
1778854093.0981925,24,15.0
1778854125.688479,25,15.0
1778854158.4372869,26,15.0
1778854191.2190025,27,15.0
1778854223.8858862,28,15.0
1778854256.5354562,29,15.0
1778854289.0172954,30,15.0
1778854321.3483636,31,15.5
1778854354.7603147,32,15.625
1778854387.420486,33,15.0
1778854420.0851815,34,15.0
1778854452.9155288,35,15.0
1778854485.4020212,36,15.0
1778854517.9957287,37,15.0
1778854550.4975634,38,15.0
1778854583.3933275,39,15.0
1778854616.0734935,40,15.0
1778854648.6830845,41,15.375
1778854681.2700734,42,15.0
1778854714.1309922,43,15.25
1778854746.9476352,44,15.0
1778854779.4643755,45,15.25
1778854812.100571,46,16.0
1778854844.6499462,47,15.875
1778854877.6016083,48,16.0
1778854910.2886257,49,15.875
1778854942.7573586,50,15.0
1778854975.4649303,51,15.0
1778855007.75624,52,15.0
1778855040.1751764,53,15.75
1778855072.7506516,54,15.0
1778855105.3184555,55,15.0
1778855137.8714683,56,15.125
1778855170.5953906,57,15.125
1778855203.6443694,58,16.0
1778855236.1622717,59,16.0
1778855268.7155538,60,15.875
1778855301.09602,61,15.0
1778855333.8339636,62,15.0
1778855366.7822955,63,15.0
1778855399.1223805,64,15.0
1778855431.7794435,65,15.0
1778855464.174819,66,15.125
1778855496.776403,67,15.0
1778855529.6188781,68,15.0
1778855562.1438608,69,15.0
1778855594.6236892,70,15.0
1778855627.0135574,71,15.0
1778855659.7582066,72,15.0
1778855692.4497845,73,15.0
1778855725.282708,74,15.0
1778855757.6959767,75,15.375
1778855790.2379165,76,15.375
1778855822.8385148,77,15.0
1778855855.460876,78,15.0
1778855888.5106413,79,15.0
1778855921.1131585,80,15.0
1778855953.962432,81,15.25
1778855986.5207584,82,15.0
1778856019.2468736,83,15.0
1778856052.1893296,84,15.0
1778856084.9859576,85,15.0
1778856117.9224093,86,16.0
1778856150.6208384,87,16.0
1778856183.4755979,88,16.0
1778856215.891409,89,16.0
1778856248.5737858,90,15.125
1778856282.1139882,91,15.0
1778856314.663887,92,15.0
1778856347.2009563,93,15.5
1778856379.806117,94,15.0
1778856412.4171934,95,15.0
1778856445.1678884,96,15.0
1778856478.168902,97,15.0
1778856510.8777025,98,15.0
1778856543.5044727,99,15.0
1778856576.4617188,100,15.0
1778856609.113032,101,15.0
1778856641.885625,102,15.0
1778856674.6096122,103,15.0
1778856707.1131022,104,15.0
1778856739.7968318,105,15.0
1778856772.2041924,106,15.0
1778856804.7840762,107,15.0
1778856837.3339438,108,15.125
1778856869.6957247,109,16.0
1778856902.4130933,110,15.0
1778856934.7861233,111,15.0
1778856967.4319482,112,15.375
1778856999.8285747,113,16.875
1778857033.7525663,114,18.625
1778857066.126333,115,13.0
1778857098.8550594,116,4.75
1778857132.3322413,117,3.0
1778857165.104207,118,3.0
1778857197.6751523,119,1.5
1778857230.2758229,120,2.0
1778857263.0661335,121,2.0
1778857295.6337352,122,2.0
1778857328.6341,123,3.0
1778857361.652052,124,2.0
1778857394.2502246,125,2.0
1778857427.242835,126,2.0
1778857460.3161674,127,2.25
1778857493.377427,128,2.75
1778857526.6373365,129,2.0
1778857559.6662664,130,2.0
1778857592.6355078,131,2.875
1778857625.7908359,132,2.375
1778857658.7985444,133,2.25
1778857691.657657,134,2.25
1778857724.4831166,135,2.75
1778857757.568182,136,2.25
1778857790.3517222,137,2.0
1778857823.8071408,138,2.0
1778857856.5368626,139,2.0
1778857889.6345372,140,2.0
1778857923.758569,141,2.0
1778857958.2951128,142,1.0
1778857991.489232,143,0.625
1778858024.1912234,144,2.0
1778858056.6059766,145,2.0
1778858089.2727618,146,2.0
1778858122.1631808,147,2.5
1778858156.1020958,148,6.25
1778858188.9081378,149,9.5
1778858223.4169502,150,9.75
