wall_time,step,value
1778853305.3377295,0,0.930555522441864
1778853338.3839335,1,0.875
1778853371.553986,2,0.9722222089767456
1778853405.085904,3,0.855555534362793
1778853438.8721483,4,0.7977272868156433
1778853470.9193456,5,0.7272727489471436
1778853503.1954074,6,0.7394231557846069
1778853535.083655,7,0.7000000476837158
1778853567.1835184,8,0.6666666865348816
1778853599.8133945,9,0.45000001788139343
1778853633.4297597,10,0.5750000476837158
1778853666.6997046,11,0.6333333253860474
1778853700.2513819,12,0.533333420753479
1778853733.684305,13,0.5916666984558105
1778853766.4241402,14,0.5166666507720947
1778853798.850646,15,0.5750000476837158
1778853831.4219189,16,0.5833333730697632
1778853863.8879595,17,0.6583333611488342
1778853896.9315186,18,0.7250000238418579
1778853929.624052,19,0.7333333492279053
1778853962.152863,20,0.6666667461395264
1778853994.7979178,21,0.7166666984558105
1778854027.9685583,22,0.75
1778854060.5334952,23,0.6083333492279053
1778854093.1036532,24,0.5833333730697632
1778854125.6937587,25,0.6692708730697632
1778854158.442633,26,0.7375000715255737
1778854191.2242663,27,0.6916667222976685
1778854223.891185,28,0.7166666984558105
1778854256.5409074,29,0.7250000238418579
1778854289.0231836,30,0.75
1778854321.3538263,31,0.7083333730697632
1778854354.7658486,32,0.7166666984558105
1778854387.4258552,33,0.6416667103767395
1778854420.0904179,34,0.6166666746139526
1778854452.9210222,35,0.675000011920929
1778854485.4072907,36,0.7333333492279053
1778854518.0013301,37,0.7833333611488342
1778854550.503235,38,0.7166666984558105
1778854583.3985293,39,0.7083333730697632
1778854616.07949,40,0.7666667103767395
1778854648.6884706,41,0.7666667103767395
1778854681.2753315,42,0.7416666746139526
1778854714.1363232,43,0.6833333969116211
1778854746.9537275,44,0.65625
1778854779.4695976,45,0.6854166984558105
1778854812.1060655,46,0.7333333492279053
1778854844.655156,47,0.7250000238418579
1778854877.6112368,48,0.7500000596046448
1778854910.2944062,49,0.75
1778854942.7629924,50,0.75
1778854975.4701715,51,0.6666666865348816
1778855007.7614148,52,0.6833333969116211
1778855040.1815836,53,0.6968750357627869
1778855072.7559323,54,0.7802083492279053
1778855105.32401,55,0.7916666865348816
1778855137.8768258,56,0.7666667103767395
1778855170.6014254,57,0.7416666746139526
1778855203.6498098,58,0.7333333492279053
1778855236.167661,59,0.625
1778855268.7210603,60,0.5333333611488342
1778855301.1014614,61,0.5249999761581421
1778855333.839315,62,0.6166666746139526
1778855366.788233,63,0.4833333492279053
1778855399.1277595,64,0.5083333253860474
1778855431.7846973,65,0.6083333492279053
1778855464.1807601,66,0.7296875715255737
1778855496.7823727,67,0.5328124761581421
1778855529.6242754,68,0.6354166865348816
1778855562.1509593,69,0.609375
1778855594.6289313,70,0.59375
1778855627.0191214,71,0.7421875
1778855659.7636447,72,0.6953125
1778855692.464447,73,0.7265625
1778855725.2886162,74,0.7088541984558105
1778855757.7017338,75,0.7166666984558105
1778855790.243528,76,0.7770833969116211
1778855822.8444598,77,0.6953125
1778855855.4688914,78,0.6953125
1778855888.516714,79,0.6328125
1778855921.1186619,80,0.7098958492279053
1778855953.9679646,81,0.6765625476837158
1778855986.5276358,82,0.7333333492279053
1778856019.2521453,83,0.7083333730697632
1778856052.1952436,84,0.6583333611488342
1778856084.9915595,85,0.6833333969116211
1778856117.927987,86,0.625
1778856150.6263974,87,0.5083333253860474
1778856183.480858,88,0.5750000476837158
1778856215.8966684,89,0.625
1778856248.5791337,90,0.5916666984558105
1778856282.1196985,91,0.6916667222976685
1778856314.6691694,92,0.6510417461395264
1778856347.2064285,93,0.7578125
1778856379.8121345,94,0.7750000953674316
1778856412.42275,95,0.7333333492279053
1778856445.173267,96,0.6750000715255737
1778856478.17427,97,0.6750000715255737
1778856510.8833942,98,0.7000000476837158
1778856543.509877,99,0.7083333730697632
1778856576.4672608,100,0.7421875
1778856609.1189709,101,0.765625
1778856641.8910651,102,0.7109375
1778856674.6151006,103,0.734375
1778856707.1184824,104,0.6796875
