wall_time,step,value
1778853438.8740332,0,0.0
1778853438.87404,1,0.0
1778853438.874045,2,0.0
1778853438.87405,3,0.0
1778853438.874055,4,9.25
1778853470.9212017,5,20.0
1778853503.1972616,6,23.875
1778853535.0858343,7,20.0
1778853567.1853855,8,20.0
1778853599.8152456,9,20.0
1778853633.4316282,10,20.0
1778853666.7016096,11,20.0
1778853700.2532141,12,20.0
1778853733.6860821,13,20.0
1778853766.4259708,14,20.0
1778853798.852583,15,20.0
1778853831.4243116,16,20.0
1778853863.8898265,17,20.0
1778853896.933354,18,20.0
1778853929.6258523,19,20.0
1778853962.1548052,20,20.0
1778853994.799756,21,20.0
1778854027.970507,22,20.0
1778854060.5354018,23,20.0
1778854093.1054893,24,20.0
1778854125.6955369,25,20.0
1778854158.4444442,26,20.0
1778854191.226056,27,20.0
1778854223.8929958,28,20.0
1778854256.5433586,29,20.0
1778854289.0251546,30,20.0
1778854321.3556917,31,20.0
1778854354.76778,32,20.0
1778854387.4277246,33,20.0
1778854420.0922167,34,20.0
1778854452.9230518,35,20.0
1778854485.4091167,36,20.0
1778854518.00323,37,20.0
1778854550.5051653,38,20.0
1778854583.4002943,39,20.0
1778854616.0815148,40,20.0
1778854648.6903176,41,20.0
1778854681.2771287,42,20.0
1778854714.1381707,43,20.0
1778854746.9557827,44,20.0
1778854779.4714067,45,20.0
1778854812.10781,46,20.0
1778854844.6569254,47,20.0
1778854877.6130843,48,20.0
1778854910.2962377,49,20.0
1778854942.7648747,50,20.0
1778854975.4719667,51,20.0
1778855007.7631807,52,20.0
1778855040.1834457,53,20.0
1778855072.7576804,54,20.0
1778855105.325939,55,20.0
1778855137.878633,56,20.0
1778855170.6034203,57,20.0
1778855203.6516633,58,20.0
1778855236.1694815,59,20.0
1778855268.7229292,60,20.0
1778855301.103289,61,20.0
1778855333.8411393,62,20.0
1778855366.7902308,63,20.0
1778855399.129603,64,20.0
1778855431.7864995,65,20.0
1778855464.1828375,66,20.0
1778855496.784451,67,20.0
1778855529.6260965,68,20.0
1778855562.1528234,69,20.0
1778855594.63069,70,20.0
1778855627.0209892,71,20.0
1778855659.7654827,72,20.0
1778855692.4683175,73,20.0
1778855725.2904527,74,20.0
1778855757.703579,75,20.0
1778855790.2453861,76,20.0
1778855822.8464608,77,20.0
1778855855.470817,78,20.0
1778855888.5191274,79,20.0
1778855921.1204836,80,20.0
1778855953.9698017,81,20.0
1778855986.529439,82,20.0
1778856019.2539132,83,20.0
1778856052.1972206,84,20.0
1778856084.9934359,85,20.0
1778856117.9298625,86,20.0
1778856150.6282675,87,20.0
1778856183.4826243,88,20.0
1778856215.8984194,89,20.0
1778856248.5809352,90,20.0
1778856282.121529,91,20.0
1778856314.6709635,92,20.0
1778856347.208265,93,20.0
1778856379.8141103,94,20.0
1778856412.4246032,95,20.0
1778856445.1750305,96,20.0
1778856478.1760752,97,20.0
1778856510.8851938,98,20.0
1778856543.5117035,99,20.0
1778856576.4692326,100,20.0
1778856609.120776,101,20.0
1778856641.8929284,102,20.0
1778856674.6169448,103,20.0
1778856707.120242,104,20.0
1778856739.8045013,105,20.0
1778856772.2113824,106,20.0
1778856804.7913806,107,20.0
1778856837.3414872,108,20.0
1778856869.7032166,109,20.0
1778856902.4212434,110,20.0
1778856934.7933033,111,20.0
1778856967.4393792,112,24.375
1778856999.8356829,113,27.625
1778857033.759929,114,24.25
1778857066.133557,115,24.0
1778857098.8625846,116,20.0
1778857132.339885,117,20.0
1778857165.1124196,118,31.0
1778857197.6826031,119,23.875
1778857230.2837446,120,20.0
1778857263.0738966,121,20.0
1778857295.6411695,122,20.0
1778857328.6415124,123,20.0
1778857361.6606343,124,20.0
1778857394.2584007,125,20.0
1778857427.25008,126,20.0
1778857460.323598,127,20.0
1778857493.387045,128,20.0
1778857526.6447985,129,20.0
1778857559.673664,130,20.0
1778857592.6430275,131,20.0
1778857625.7980902,132,20.0
1778857658.805821,133,20.0
1778857691.6649678,134,20.0
1778857724.490706,135,20.0
1778857757.575633,136,20.0
1778857790.366006,137,20.0
1778857823.8145084,138,20.0
1778857856.5441036,139,20.0
1778857889.6455922,140,20.0
1778857923.76585,141,20.0
1778857958.3027148,142,35.625
1778857991.4969037,143,20.125
1778858024.1986961,144,20.0
1778858056.6136374,145,20.0
1778858089.2800467,146,20.0
1778858122.171172,147,48.5
1778858156.109668,148,96.0
1778858188.9157095,149,96.0
1778858223.4280508,150,96.0
