wall_time,step,value
1778853305.340984,0,1.0
1778853338.38744,1,1.0
1778853371.5574198,2,1.0
1778853405.089513,3,1.0
1778853438.87601,4,1.0
1778853470.9229965,5,1.0
1778853503.19897,6,1.0
1778853535.0878198,7,1.0
1778853567.1870868,8,1.0
1778853599.817058,9,1.0
1778853633.433506,10,1.0
1778853666.7042904,11,1.0
1778853700.2549615,12,1.0
1778853733.6878572,13,1.0
1778853766.4276621,14,1.0
1778853798.8543026,15,1.0
1778853831.4260244,16,1.0
1778853863.8915484,17,1.0
1778853896.9350219,18,1.0
1778853929.6274858,19,1.0
1778853962.1565654,20,1.0
1778853994.8014312,21,1.0
1778854027.9722784,22,1.0
1778854060.5371363,23,1.0
1778854093.107163,24,1.0
1778854125.6971455,25,1.0
1778854158.4461155,26,1.0
1778854191.2276971,27,1.0
1778854223.8946433,28,1.0
1778854256.5455525,29,1.0
1778854289.026932,30,1.0
1778854321.357413,31,1.0
1778854354.7695568,32,1.0
1778854387.4294426,33,1.0
1778854420.0938594,34,1.0
1778854452.9248323,35,1.0
1778854485.4107492,36,1.0
1778854518.0049753,37,1.0
1778854550.5069246,38,1.0
1778854583.401926,39,1.0
1778854616.0833812,40,1.0
1778854648.6919923,41,1.0
1778854681.2787976,42,1.0
1778854714.1402507,43,1.0
1778854746.9574873,44,1.0
1778854779.4730537,45,1.0
1778854812.1093857,46,1.0
1778854844.6585574,47,1.0
1778854877.614775,48,1.0
1778854910.2979188,49,1.0
1778854942.7666113,50,1.0
1778854975.4736204,51,1.0
1778855007.76478,52,1.0
1778855040.1851435,53,1.0
1778855072.759314,54,1.0
1778855105.3276412,55,1.0
1778855137.8802636,56,1.0
1778855170.60512,57,1.0
1778855203.6533744,58,1.0
1778855236.17116,59,1.0
1778855268.7246475,60,1.0
1778855301.1049416,61,1.0
1778855333.8428028,62,1.0
1778855366.792092,63,1.0
1778855399.1312454,64,1.0
1778855431.788147,65,1.0
1778855464.1849961,66,1.0
1778855496.7863257,67,1.0
1778855529.6277838,68,1.0
1778855562.1545181,69,1.0
1778855594.6322832,70,1.0
1778855627.022723,71,1.0
1778855659.767238,72,1.0
1778855692.4701433,73,1.0
1778855725.2921174,74,1.0
1778855757.7052486,75,1.0
1778855790.2471113,76,1.0
1778855822.8482864,77,1.0
1778855855.4725788,78,1.0
1778855888.5213616,79,1.0
1778855921.1221857,80,1.0
1778855953.971505,81,1.0
1778855986.5310833,82,1.0
1778856019.255527,83,1.0
1778856052.1989443,84,1.0
1778856084.995122,85,1.0
1778856117.9316137,86,1.0
1778856150.6299686,87,1.0
1778856183.4842448,88,1.0
1778856215.9000502,89,1.0
1778856248.5825505,90,1.0
1778856282.1232305,91,1.0
1778856314.672628,92,1.0
1778856347.2099345,93,1.0
1778856379.8159566,94,1.0
1778856412.4262896,95,1.0
1778856445.1767197,96,1.0
1778856478.177716,97,1.0
1778856510.8868222,98,1.0
1778856543.5133796,99,1.0
1778856576.471059,100,1.0
1778856609.1224349,101,1.0
1778856641.8946297,102,1.0
1778856674.6185913,103,1.0
1778856707.121888,104,1.0
1778856739.806232,105,1.0
1778856772.2130084,106,1.0
1778856804.793034,107,1.0
1778856837.3431509,108,1.0
1778856869.7050672,109,1.0
1778856902.4230952,110,1.0
1778856934.7949402,111,1.0
1778856967.441059,112,1.0
1778856999.8373249,113,1.0
1778857033.7615912,114,1.0
1778857066.135201,115,1.0
1778857098.864341,116,1.0
1778857132.3415854,117,1.0
1778857165.1142983,118,1.0
1778857197.6842923,119,1.0
1778857230.2855577,120,1.0
1778857263.0756526,121,1.0
1778857295.6428764,122,1.0
1778857328.6432073,123,1.0
1778857361.6624038,124,1.0
1778857394.2605207,125,1.0
1778857427.2517488,126,1.0
1778857460.3252854,127,1.0
1778857493.3893018,128,1.0
1778857526.6465054,129,1.0
1778857559.6753738,130,1.0
1778857592.6447747,131,1.0
1778857625.7997367,132,1.0
1778857658.8074532,133,1.0
1778857691.6666484,134,1.0
1778857724.4924452,135,1.0
1778857757.577323,136,1.0
1778857790.3701482,137,1.0
1778857823.8161898,138,1.0
1778857856.5457637,139,1.0
1778857889.6473258,140,1.0
1778857923.7675095,141,1.0
1778857958.3043997,142,1.0
1778857991.4986377,143,1.0
1778858024.2004077,144,1.0
1778858056.6153286,145,1.0
1778858089.2817247,146,1.0
1778858122.1729853,147,1.0
1778858156.1113493,148,1.0
1778858188.9174461,149,1.0
1778858223.4297607,150,1.0
