Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_car_chassis,-1.07379532544583E-05,0.00614478162640499,0.0707826442012615,0,0,0,6.95519132903594,0.0732473205493804,9.89605428643221E-07,2.08550810988766E-06,0.0884815109705229,-7.969031910468E-05,0.141541814514047,0,0,0,0,0,0,package://complete_car/meshes/body_car_chassis.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/body_car_chassis.STL,,body_car_asm-2/box-2/body_cover-1;body_car_asm-2/box-2/body-1;body_car_asm-2/axle-2;body_car_asm-2/mirrorrocker_motor_prt-2;body_car_asm-2/rocker_motor_prt-1;body_car_asm-2/axle-1,C_body_car_chassis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body_car_wheel_left,-1.42112973111619E-06,-7.66681307592942E-07,-0.0458401618070401,0,0,0,1.55682391481766,0.0196620727842836,-8.95629138786983E-07,4.85678374968992E-09,0.0196631942351112,-1.44805774304693E-08,0.0351217717900437,0,0,0,0,0,0,package://complete_car/meshes/body_car_wheel_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://complete_car/meshes/body_car_wheel_left.STL,,body_car_asm-2/wheel-1,C_body_car_wheel_left,A_body_car_wheel_left,body_car_wheel_left_joint,continuous,0,0.26953,0.0450000000000001,-1.5707963267949,0,0,body_car_chassis,0,0,1,,,,,,,,,,,,
body_car_wheel_right,-1.42113010159761E-06,-7.66681504390382E-07,0.0450001618070568,0,0,0,1.55682350721719,0.0196619814383464,-8.95629139076653E-07,-4.85678350322813E-09,0.0196631028891759,1.44805774353369E-08,0.0351215520940663,0,0,0,0,0,0,package://complete_car/meshes/body_car_wheel_right.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://complete_car/meshes/body_car_wheel_right.STL,,body_car_asm-2/mirror_wheel-3,C_body_car_wheel_right,A_body_car_wheel_right,body_car_wheel_right_joint,continuous,0,-0.26869,0.0450000000000001,-1.5707963267949,0,0,body_car_chassis,0,0,-1,,,,,,,,,,,,
spm1_base,0.00921106157110019,4.1087247092575E-13,-9.67686411345193E-06,0,0,0,0.383954508133489,0.000538960992417046,-1.42953746961171E-16,1.56341370937259E-17,0.000277354645392898,1.83682765060878E-16,0.000284349626167672,0,0,0,0,0,0,package://complete_car/meshes/spm1_base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_base.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/10-底座-0.5X-3;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-3/07-底座支架-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-3/DM 4340 电机 3D-231108-0.5X-1/4310 减速电机驱动板盖 Ver.B-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-3/DM 4340 电机 3D-231108-0.5X-1/DM 4340 3D-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-2/07-底座支架-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-2/DM 4340 电机 3D-231108-0.5X-1/4310 减速电机驱动板盖 Ver.B-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-2/DM 4340 电机 3D-231108-0.5X-1/DM 4340 3D-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-1/07-底座支架-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-1/DM 4340 电机 3D-231108-0.5X-1/4310 减速电机驱动板盖 Ver.B-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合03-底座支架+电机-1/DM 4340 电机 3D-231108-0.5X-1/DM 4340 3D-0.5X-1,C_body_car_spm1_base,Axis of symmetry,spm1_base_joint,fixed,0.18,0,0.0820210428191438,0,0,0,body_car_chassis,0,0,0,,,,,,,,,,,,
spm1_leg2_proximal,0.0415052979813347,0.01333176218438,0.0471311944316244,0,0,0,0.0687464361626338,5.33567522465317E-05,1.56730810847073E-05,-2.64879755980296E-05,7.72845954586288E-05,-1.04694439328454E-08,6.79134566695116E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg2_proximal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg2_proximal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-3/06-外连杆-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-3/08-垫块-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-3/05-中连杆-0.5X-1,S1_Leg2_c_base_proximal,S1_Leg2_axis_base_proximal,spm1_leg2_base_proximal_joint,revolute,0.0372072256031853,0,-0.0553386861731434,0.463647609000806,0.420534335283964,0.886077123792613,spm1_base,0,0,-1,0,0,0,0,,,,,,,,
spm1_leg2_distal,0.0276162169494416,-2.21033935599024E-09,0.016604279242538,0,0,0,0.0249434660620519,1.23287454032943E-05,-3.16358162251771E-13,-1.02513914563366E-05,2.31995059108402E-05,-1.0378760415523E-12,1.41903412871279E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg2_distal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg2_distal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/04-内连杆-0.5X-3,S1_Leg2_c_intermediate_distal,S1_Leg2_axis_intermediate_distal,spm1_leg2_intermediate_distal,revolute,0,0.0515,0.06775,1.5707963267949,0,0,spm1_leg2_proximal,0,0,1,0,0,0,0,,,,,,,,
spm1_leg3_proximal,0.0415053055437404,0.0133317628046084,0.0471311813949753,0,0,0,0.0687463808037662,5.3356747339633E-05,1.56730710204048E-05,-2.64879777611081E-05,7.72845935501277E-05,-1.0459670308656E-08,6.79134450678061E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg3_proximal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg3_proximal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-1/06-外连杆-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-1/08-垫块-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-1/05-中连杆-0.5X-1,S1_Leg3_c_base_proximal,S1_Leg3_axis_base_proximal,spm1_leg3_base_proximal,revolute,0.0372072256031854,0.0479064844253887,0.027637778863637,2.35619449019235,-0.955316618124513,0,spm1_base,0,0,-1,0,0,0,0,,,,,,,,
spm1_leg3_distal,0.0276162724495207,-2.56363466566434E-09,0.0166042770917791,0,0,0,0.0249434008867255,1.23287424080632E-05,1.00356954165703E-12,-1.02513872579272E-05,2.31995048527673E-05,-1.19413555024922E-12,1.41903461233211E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg3_distal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg3_distal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/04-内连杆-0.5X-1,S1_Leg3_c_intermediate_distal,S1_Leg3_axis_intermediate_distal,spm1_leg3_intermediate_distal,revolute,0,0.0515,0.06775,1.5707963267949,0,0,spm1_leg3_proximal,0,0,1,0,0,0,0,,,,,,,,
spm1_leg1_proximal,0.0415052942667445,0.0133317355767673,0.0471311806974584,0,0,0,0.0687465305096129,5.33568514503992E-05,1.56730722644498E-05,-2.64880476589501E-05,7.72847460891809E-05,-1.04670720805216E-08,6.79135058414467E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg1_proximal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg1_proximal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-2/06-外连杆-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-2/08-垫块-0.5X-1;body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/整合02-外连杆+垫块+中连杆+整合01-2/05-中连杆-0.5X-1,S1_Leg1_c_base_proximal,S1_Leg1_axis_base_proximal,spm1_leg1_base_proximal_joint,revolute,0.0372072256031851,-0.0479064844253887,0.0276377788636364,-2.03444393579569,0.420534335283973,-0.886077123792616,spm1_base,0,0,-1,0,0,0,0,,,,,,,,
spm1_leg1_distal,0.0276162699864968,-5.7590341384639E-09,0.0166042723305424,0,0,0,0.0249434138951248,1.2328741879394E-05,-1.74451379438342E-12,-1.02513859626617E-05,2.31995018577348E-05,-1.15965213148222E-12,1.41903422898733E-05,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg1_distal.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://complete_car/meshes/spm1_leg1_distal.STL,,body_car_asm-2/3DOF-ModifieIntegrated_head_body-4/04-内连杆-0.5X-2,S1_Leg1_c_intermediate_distal,S1_Leg1_axis_intermediate_distal,spm1_leg1_intermediate_distal_joint,revolute,0,0.0515,0.06775,1.5707963267949,0,0,spm1_leg1_proximal,0,0,1,0,0,0,0,,,,,,,,
