step,front_roll_des_deg,front_pitch_des_deg,front_yaw_des_deg,rear_roll_des_deg,rear_pitch_des_deg,rear_yaw_des_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112033,0.00854,-0.044849,-0.032979,-0.015285,-0.02386,-0.0,0.0,0.0,-0.0,0.0,0.0,
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11175,0.008278,-0.044908,-0.033223,-0.015274,-0.023924,-0.0,0.0,0.0,-0.0,0.0,0.0,
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112222,0.008419,-0.045032,-0.033128,-0.015133,-0.024038,-0.0,0.0,0.0,-0.0,0.0,0.0,
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112824,0.008519,-0.045082,-0.032999,-0.01496,-0.02408,-0.0,0.0,0.0,-0.0,0.0,0.0,
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.113453,0.008727,-0.045233,-0.032964,-0.014848,-0.024196,-0.0,0.0,0.0,-0.0,0.0,0.0,
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11422,0.009002,-0.045485,-0.03296,-0.014742,-0.024372,-0.0,0.0,0.0,-0.0,0.0,0.0,
210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.115029,0.009311,-0.045738,-0.032918,-0.014581,-0.024602,-0.0,0.0,0.0,-0.0,0.0,0.0,
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.115876,0.009745,-0.046097,-0.032852,-0.014384,-0.024892,-0.0,0.0,0.0,-0.0,0.0,0.0,
270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.116742,0.010205,-0.046566,-0.032665,-0.014142,-0.025254,-0.0,0.0,0.0,-0.0,0.0,0.0,
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119018,0.010963,-0.046495,-0.032525,-0.013973,-0.026151,-0.0,0.0,0.0,-0.0,0.0,0.0,
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121458,0.012652,-0.047776,-0.032359,-0.01355,-0.02697,-0.0,0.0,0.0,-0.0,0.0,0.0,
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12003,0.010205,-0.04679,-0.03325,-0.013382,-0.027098,-0.0,0.0,0.0,-0.0,0.0,0.0,
390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.117175,0.008336,-0.046033,-0.033281,-0.013181,-0.026575,-0.0,0.0,0.0,-0.0,0.0,0.0,
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.113201,0.005756,-0.045185,-0.033555,-0.013143,-0.025797,-0.0,0.0,0.0,-0.0,0.0,0.0,
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.099141,-0.004482,-0.04874,-0.042902,-0.017446,-0.027677,-0.0,0.0,0.0,-0.0,0.0,0.0,
480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.090326,-0.003713,-0.049435,-0.040342,-0.018322,-0.02766,-0.0,0.0,0.0,-0.0,0.0,0.0,
510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.087044,-0.024184,-0.052782,-0.045496,-0.019789,-0.029971,-0.0,0.0,0.0,-0.0,0.0,0.0,
540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.097283,-0.007823,-0.04896,-0.034515,-0.015935,-0.02606,-0.0,0.0,0.0,-0.0,0.0,0.0,
570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.101573,0.000601,-0.04639,-0.030471,-0.014285,-0.024622,-0.0,0.0,0.0,-0.0,0.0,0.0,
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102362,0.004007,-0.046353,-0.030296,-0.014157,-0.02437,-0.0,0.0,0.0,-0.0,0.0,0.0,
630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102613,0.004718,-0.04639,-0.030426,-0.01424,-0.024425,-0.0,0.0,0.0,-0.0,0.0,0.0,
660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102702,0.005288,-0.046449,-0.030582,-0.014318,-0.024454,-0.0,0.0,0.0,-0.0,0.0,0.0,
690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102718,0.005623,-0.046515,-0.030719,-0.01437,-0.024499,-0.0,0.0,0.0,-0.0,0.0,0.0,
720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102824,0.005985,-0.046495,-0.030742,-0.014418,-0.024511,-0.0,0.0,0.0,-0.0,0.0,0.0,
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102846,0.006058,-0.046464,-0.030733,-0.01444,-0.024524,-0.0,0.0,0.0,-0.0,0.0,0.0,
780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102837,0.00609,-0.046461,-0.030758,-0.01443,-0.024525,-0.0,0.0,0.0,-0.0,0.0,0.0,
810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102873,0.006169,-0.046443,-0.030753,-0.014439,-0.024535,-0.0,0.0,0.0,-0.0,0.0,0.0,
840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.102863,0.006183,-0.046467,-0.030744,-0.014442,-0.024533,-0.0,0.0,0.0,-0.0,0.0,0.0,
870,13.0,0.0,0.0,0.0,0.0,0.0,-0.740409,-9.273809,9.151756,0.0,0.0,0.0,-0.843423,-9.265035,9.106216,-0.040329,-0.009035,-0.028613,0.0,-0.0,0.0,-0.0,0.0,0.0,
900,16.0,0.0,0.0,0.0,0.0,0.0,-1.127412,-11.46467,11.239368,0.0,0.0,0.0,-1.236094,-11.281961,11.030271,-0.056415,-0.010466,-0.027526,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
930,23.0,0.0,0.0,0.0,0.0,0.0,-2.36416,-16.711562,16.049147,0.0,0.0,0.0,-2.475955,-16.684661,16.009478,-0.038284,-0.01221,-0.025133,-0.0,0.0,0.0,-0.0,0.0,0.0,
960,34.0,0.0,0.0,0.0,0.0,0.0,-5.330279,-25.506514,23.378429,0.0,0.0,0.0,-5.281609,-25.465098,23.398785,0.019521,0.020101,0.014285,-0.0,0.0,-0.0,-0.0,0.0,0.0,
990,34.0,0.0,0.0,0.0,0.0,0.0,-5.330279,-25.506514,23.378429,0.0,0.0,0.0,-5.285521,-25.466044,23.400098,0.019205,0.019264,0.014254,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1020,34.0,0.0,0.0,0.0,0.0,0.0,-5.330279,-25.506514,23.378429,0.0,0.0,0.0,-5.283396,-25.466118,23.401613,0.022332,0.021807,0.012839,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1050,34.0,0.0,0.0,0.0,0.0,0.0,-5.330279,-25.506514,23.378429,0.0,0.0,0.0,-5.281218,-25.465641,23.406794,0.026169,0.023488,0.015194,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1080,24.0,0.0,0.0,0.0,0.0,0.0,-2.580459,-17.480016,16.727993,0.0,0.0,0.0,-2.684066,-17.467218,16.693206,-0.031589,-0.008449,-0.028047,0.0,0.0,-0.0,-0.0,0.0,0.0,
1110,24.0,0.0,0.0,0.0,0.0,0.0,-2.580459,-17.480016,16.727993,0.0,0.0,0.0,-2.691431,-17.45776,16.695523,-0.032645,-0.01099,-0.025378,0.0,0.0,-0.0,-0.0,0.0,0.0,
1140,15.0,0.0,0.0,0.0,0.0,0.0,-0.989113,-10.73115,10.545009,0.0,0.0,0.0,-1.097569,-10.908539,10.66459,-0.026545,-0.021222,-0.027623,0.0,0.0,0.0,-0.0,0.0,0.0,
1170,6.0,0.0,0.0,0.0,0.0,0.0,-0.155854,-4.251268,4.238022,0.0,0.0,0.0,-0.274281,-4.251877,4.191079,-0.050062,-0.016668,-0.024991,-0.0,0.0,0.0,-0.0,0.0,0.0,
1200,-5.0,0.0,0.0,0.0,0.0,0.0,-0.110481,3.540575,-3.532668,0.0,0.0,0.0,-0.0791,3.493467,-3.532251,-0.014371,-0.001424,2.5e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,
1230,-11.0,0.0,0.0,0.0,0.0,0.0,-0.534002,7.827128,-7.753098,0.0,0.0,0.0,-0.498458,7.779358,-7.751303,-0.01598,-0.0024,-0.000962,0.0,0.0,-0.0,-0.0,0.0,0.0,
1260,-11.0,0.0,0.0,0.0,0.0,0.0,-0.534002,7.827128,-7.753098,0.0,0.0,0.0,-0.496164,7.780667,-7.751242,-0.016323,-0.000991,-0.000511,0.0,0.0,-0.0,-0.0,0.0,0.0,
1290,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.046059,0.651792,-0.706103,-0.018584,-0.00287,0.0006,0.0,0.0,-0.0,-0.0,0.0,0.0,
1320,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.042551,0.648842,-0.704577,-0.014602,0.000952,0.003011,0.0,0.0,-0.0,-0.0,0.0,0.0,
1350,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.038498,0.646832,-0.704661,-0.015156,0.000649,0.001274,0.0,0.0,-0.0,-0.0,0.0,0.0,
1380,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.052811,0.643053,-0.700021,-0.014434,0.001011,0.003597,0.0,0.0,-0.0,-0.0,0.0,0.0,
1410,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.046365,0.648381,-0.705844,-0.018589,-0.003797,0.000359,0.0,0.0,-0.0,-0.0,0.0,0.0,
1440,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.044818,0.649831,-0.705588,-0.0197,-0.002494,-0.000234,0.0,0.0,-0.0,-0.0,0.0,0.0,
1470,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004615,0.707265,-0.706963,0.0,0.0,0.0,0.044524,0.64502,-0.701037,-0.013976,0.001505,0.002619,0.0,0.0,-0.0,-0.0,0.0,0.0,
1500,-1.0,11.0,0.0,0.0,0.0,0.0,9.099924,-4.242002,-5.592856,0.0,0.0,0.0,9.143739,-4.16358,-5.52506,0.055648,0.029408,0.031195,-0.0,-0.0,0.0,-0.0,0.0,0.0,
1530,-1.0,20.0,0.0,0.0,0.0,0.0,16.822014,-8.778674,-10.27645,0.0,0.0,0.0,16.857645,-8.712798,-10.202364,0.04943,0.031103,0.030542,0.0,-0.0,0.0,-0.0,0.0,0.0,
1560,-1.0,31.0,0.0,0.0,0.0,0.0,26.571766,-14.824571,-17.06404,0.0,0.0,0.0,26.59615,-14.788968,-17.00156,0.029204,0.019975,0.028679,0.0,-0.0,-0.0,-0.0,0.0,0.0,
1590,-1.0,35.0,0.0,0.0,0.0,0.0,30.188695,-17.131949,-19.8749,0.0,0.0,0.0,30.210979,-17.099587,-19.813974,0.024967,0.01897,0.028971,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1620,-1.0,28.0,0.0,0.0,0.0,0.0,23.882063,-13.128441,-15.082086,0.0,0.0,0.0,24.137632,-13.254099,-15.1871,0.038891,-0.008605,0.036476,0.0,0.0,0.0,-0.0,0.0,0.0,
1650,-1.0,22.0,0.0,0.0,0.0,0.0,18.5706,-9.840336,-11.416482,0.0,0.0,0.0,18.602498,-9.773159,-11.348996,0.043302,0.027143,0.028899,-0.0,0.0,0.0,-0.0,0.0,0.0,
1680,-1.0,14.0,0.0,0.0,0.0,0.0,11.646725,-5.708357,-7.077738,0.0,0.0,0.0,11.685777,-5.63035,-7.013069,0.05065,0.029398,0.029122,-0.0,-0.0,-0.0,-0.0,0.0,0.0,
1710,-1.0,6.0,0.0,0.0,0.0,0.0,4.916471,-1.906798,-3.269986,0.0,0.0,0.0,5.101222,-1.972686,-3.33144,0.028631,-0.010872,0.019089,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1740,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.621929,1.531385,0.09837,0.0,0.0,0.0,-1.591171,1.480273,0.098853,-0.015549,-0.002486,-0.000984,0.0,-0.0,-0.0,-0.0,0.0,0.0,
1770,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.621929,1.531385,0.09837,0.0,0.0,0.0,-1.591179,1.480297,0.098861,-0.015545,-0.002477,-0.00098,0.0,-0.0,-0.0,-0.0,0.0,0.0,
1800,-1.0,6.0,0.0,0.0,0.0,0.0,4.916471,-1.906798,-3.269986,0.0,0.0,0.0,4.901435,-1.849649,-3.247597,0.015883,0.021264,0.006469,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1830,-1.0,6.0,0.0,0.0,0.0,0.0,4.916471,-1.906798,-3.269986,0.0,0.0,0.0,4.907137,-1.847821,-3.246117,0.017827,0.019567,0.00898,-0.0,0.0,-0.0,-0.0,0.0,0.0,
1860,-1.0,4.0,0.0,0.0,0.0,0.0,3.26431,-1.012165,-2.389947,0.0,0.0,0.0,3.217173,-1.00143,-2.418086,-0.018141,-0.011383,-0.01017,0.0,0.0,0.0,-0.0,0.0,0.0,
1890,-1.0,4.0,0.0,0.0,0.0,0.0,3.26431,-1.012165,-2.389947,0.0,0.0,0.0,3.192963,-1.006213,-2.420183,-0.026225,-0.008091,-0.016223,0.0,0.0,0.0,-0.0,0.0,0.0,
1920,-1.0,4.0,0.0,0.0,0.0,0.0,3.26431,-1.012165,-2.389947,0.0,0.0,0.0,3.192579,-1.000908,-2.419968,-0.026676,-0.008063,-0.016226,0.0,0.0,0.0,-0.0,0.0,0.0,
1950,-1.0,4.0,0.0,0.0,0.0,0.0,3.26431,-1.012165,-2.389947,0.0,0.0,0.0,3.197173,-0.998609,-2.418779,-0.024653,-0.006604,-0.01412,0.0,0.0,0.0,-0.0,0.0,0.0,
1980,-1.0,4.0,0.0,0.0,0.0,0.0,3.26431,-1.012165,-2.389947,0.0,0.0,0.0,3.201776,-0.989861,-2.413438,-0.019899,-0.002701,-0.011849,0.0,0.0,0.0,-0.0,0.0,0.0,
2010,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.721961,0.285341,-1.164113,-0.040059,-0.011269,-0.022249,0.0,0.0,-0.0,-0.0,0.0,0.0,
2040,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.720455,0.281713,-1.165451,-0.041454,-0.01238,-0.02319,0.0,0.0,-0.0,-0.0,0.0,0.0,
2070,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.709188,0.284565,-1.169113,-0.045534,-0.014703,-0.023796,0.0,0.0,-0.0,-0.0,0.0,0.0,
2100,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.709833,0.285221,-1.168818,-0.0454,-0.014727,-0.0234,0.0,0.0,-0.0,-0.0,0.0,0.0,
2130,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.710036,0.285332,-1.168546,-0.045268,-0.01469,-0.023223,0.0,0.0,-0.0,-0.0,0.0,0.0,
2160,-1.0,1.0,10.0,0.0,0.0,0.0,-4.713357,-5.097472,-6.689109,0.0,0.0,0.0,-4.67195,-5.007199,-6.644464,0.047529,0.030113,0.024882,0.0,0.0,-0.0,-0.0,0.0,0.0,
2190,-1.0,1.0,25.0,0.0,0.0,0.0,-12.036681,-12.233811,-14.10351,0.0,0.0,0.0,-12.033909,-12.172609,-14.087349,0.007973,0.011477,0.002878,-0.0,0.0,0.0,-0.0,0.0,0.0,
2220,-1.0,1.0,25.0,0.0,0.0,0.0,-12.036681,-12.233811,-14.10351,0.0,0.0,0.0,-12.008877,-12.149179,-14.079696,0.037305,0.024304,0.02178,-0.0,0.0,0.0,-0.0,0.0,0.0,
2250,-1.0,1.0,25.0,0.0,0.0,0.0,-12.036681,-12.233811,-14.10351,0.0,0.0,0.0,-12.009129,-12.149887,-14.07938,0.037217,0.024019,0.021739,-0.0,0.0,0.0,-0.0,0.0,0.0,
2280,-1.0,1.0,14.0,0.0,0.0,0.0,-6.771908,-7.104215,-8.768647,0.0,0.0,0.0,-6.803601,-7.154119,-8.824107,0.069944,0.015754,0.040454,-0.0,0.0,0.0,-0.0,0.0,0.0,
2310,-1.0,1.0,14.0,0.0,0.0,0.0,-6.771908,-7.104215,-8.768647,0.0,0.0,0.0,-6.729159,-7.012171,-8.731542,0.044601,0.029553,0.024644,-0.0,0.0,0.0,-0.0,0.0,0.0,
2340,-1.0,1.0,5.0,0.0,0.0,0.0,-2.021964,-2.473428,-3.973057,0.0,0.0,0.0,-1.923809,-2.484029,-3.954861,-0.017895,0.007367,0.001335,-0.0,0.0,-0.0,-0.0,0.0,0.0,
2370,-1.0,1.0,-7.0,0.0,0.0,0.0,5.017558,4.390979,3.127622,0.0,0.0,0.0,4.933334,4.384279,3.075782,-0.038505,-0.014413,-0.032257,0.0,0.0,0.0,-0.0,0.0,0.0,
2400,-1.0,1.0,-14.0,0.0,0.0,0.0,9.528808,8.791022,7.6832,0.0,0.0,0.0,9.450683,8.789569,7.634144,-0.035466,-0.005186,-0.023592,0.0,-0.0,0.0,-0.0,0.0,0.0,
2430,-1.0,1.0,-14.0,0.0,0.0,0.0,9.528808,8.791022,7.6832,0.0,0.0,0.0,9.428295,8.795575,7.637426,-0.043784,-0.008873,-0.024727,0.0,-0.0,0.0,-0.0,0.0,0.0,
2460,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.69254,0.271503,-1.176571,-0.052999,-0.020494,-0.029552,0.0,0.0,-0.0,-0.0,0.0,0.0,
2490,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.69234,0.272952,-1.176127,-0.053585,-0.01992,-0.029782,0.0,0.0,-0.0,-0.0,0.0,0.0,
2520,-1.0,1.0,0.0,0.0,0.0,0.0,0.808271,0.286247,-1.118452,0.0,0.0,0.0,0.694638,0.270606,-1.175865,-0.052232,-0.019745,-0.028635,0.0,0.0,-0.0,-0.0,0.0,0.0,
2550,-1.0,1.0,14.0,0.0,0.0,0.0,-6.771908,-7.104215,-8.768647,0.0,0.0,0.0,-6.734647,-7.017552,-8.725124,0.046932,0.031383,0.021588,-0.0,0.0,0.0,-0.0,0.0,0.0,
2580,-1.0,1.0,7.0,0.0,0.0,0.0,-3.114743,-3.5389,-5.075576,0.0,0.0,0.0,-3.160694,-3.581541,-5.135889,0.06902,0.008894,0.043072,0.0,0.0,0.0,-0.0,0.0,0.0,
2610,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.865784,-1.295805,-2.800833,0.049783,0.02307,0.027057,-0.0,0.0,0.0,-0.0,0.0,0.0,
2640,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.858176,-1.295296,-2.801093,0.054441,0.028236,0.027503,-0.0,0.0,0.0,-0.0,0.0,0.0,
2670,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.85823,-1.295298,-2.801164,0.054379,0.02826,0.027465,-0.0,0.0,0.0,-0.0,0.0,0.0,
2700,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.858225,-1.295303,-2.801167,0.054373,0.028256,0.027462,-0.0,0.0,0.0,-0.0,0.0,0.0,
2730,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.858213,-1.2953,-2.801166,0.054386,0.028267,0.027479,-0.0,0.0,0.0,-0.0,0.0,0.0,
2760,-1.0,1.0,3.0,0.0,0.0,0.0,-0.906962,-1.386249,-2.848362,0.0,0.0,0.0,-0.858225,-1.295295,-2.801158,0.054377,0.028268,0.02747,-0.0,0.0,0.0,-0.0,0.0,0.0,
2790,-1.0,1.0,3.0,13.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-0.740409,-9.273809,9.151756,-0.833906,-1.248533,-2.803136,-0.653113,-9.043264,9.008027,-0.0,0.0,0.0,0.0,-0.0,0.0,
2820,-1.0,1.0,3.0,28.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-3.549513,-20.610897,19.419615,-0.858852,-1.326399,-2.794029,-3.485702,-20.599815,19.440093,-0.0,0.0,0.0,0.0,0.0,-0.0,
2850,-1.0,1.0,3.0,35.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-5.667233,-26.349056,24.028301,-0.861268,-1.336684,-2.794833,-5.594273,-26.350057,24.04495,-0.0,0.0,0.0,0.0,-0.0,0.0,
2880,-1.0,1.0,3.0,35.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-5.667233,-26.349056,24.028301,-0.861255,-1.336704,-2.794837,-5.594275,-26.350057,24.044936,-0.0,0.0,0.0,0.0,-0.0,0.0,
2910,-1.0,1.0,3.0,26.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-3.043949,-19.033541,18.0787,-0.875961,-1.374718,-2.787242,-3.049926,-19.232189,18.265604,-0.0,0.0,0.0,-0.0,0.0,0.0,
2940,-1.0,1.0,3.0,15.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-0.989113,-10.73115,10.545009,-0.875947,-1.354413,-2.809697,-0.973012,-10.88341,10.701315,-0.0,0.0,0.0,-0.0,0.0,0.0,
2970,-1.0,1.0,3.0,-4.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-0.070876,2.831178,-2.826778,-0.850671,-1.307581,-2.785973,-0.015678,2.853256,-2.788457,-0.0,0.0,0.0,0.0,0.0,0.0,
3000,-1.0,1.0,3.0,-19.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-1.608998,13.68512,-13.312273,-0.938013,-1.396329,-2.821226,-1.536898,13.510216,-13.1456,-0.0,0.0,0.0,-0.0,0.0,-0.0,
3030,-1.0,1.0,3.0,-24.0,0.0,0.0,-0.906962,-1.386249,-2.848362,-2.593221,17.476346,-16.727993,-0.871927,-1.44467,-2.843017,-2.596821,17.47572,-16.728228,-0.0,0.0,0.0,-0.0,0.0,0.0,
