step,completed_column_rate,unfinished_column_count,col00_flat__current_level_mean,col00_flat__rows_advanced_mean,col00_flat__row_advance_rate,col01_slope_down__current_level_mean,col01_slope_down__rows_advanced_mean,col01_slope_down__row_advance_rate,col02_slope_up__current_level_mean,col02_slope_up__rows_advanced_mean,col02_slope_up__row_advance_rate,col03_rough__current_level_mean,col03_rough__rows_advanced_mean,col03_rough__row_advance_rate,col04_rough__current_level_mean,col04_rough__rows_advanced_mean,col04_rough__row_advance_rate,col05_stairs_down__current_level_mean,col05_stairs_down__rows_advanced_mean,col05_stairs_down__row_advance_rate,col06_stairs_down__current_level_mean,col06_stairs_down__rows_advanced_mean,col06_stairs_down__row_advance_rate,col07_stairs_down__current_level_mean,col07_stairs_down__rows_advanced_mean,col07_stairs_down__row_advance_rate,col08_obstacles__current_level_mean,col08_obstacles__rows_advanced_mean,col08_obstacles__row_advance_rate,col09_obstacles__current_level_mean,col09_obstacles__rows_advanced_mean,col09_obstacles__row_advance_rate
0,0.000000,10.000000,4.150000,1.337500,0.662500,4.112500,1.325000,0.687500,3.541667,1.194444,0.638889,3.012500,0.825000,0.537500,2.152778,0.861111,0.555556,1.787500,0.750000,0.562500,1.812500,0.675000,0.512500,1.722222,0.638889,0.486111,1.987500,0.337500,0.337500,1.472222,0.250000,0.250000
1,0.000000,10.000000,8.437500,4.062500,0.912500,8.025000,3.375000,0.812500,7.666667,4.333333,0.958333,6.162500,3.300000,0.962500,5.319445,3.319445,0.902778,4.100000,2.700000,0.937500,3.925000,1.675000,0.787500,3.902778,1.958333,0.833333,3.475000,1.425000,0.800000,2.458333,1.041667,0.833333
2,0.000000,10.000000,12.812500,4.750000,0.887500,11.712501,3.925000,0.937500,11.694445,4.305556,0.847222,9.187500,3.537500,0.812500,8.500000,3.152778,0.833333,5.800000,1.737500,0.587500,5.750000,2.200000,0.825000,5.680555,2.472222,0.819444,5.012500,1.287500,0.712500,3.444445,1.069444,0.541667
3,0.000000,10.000000,15.300000,3.043056,0.783333,15.290277,4.450000,0.900000,15.269444,3.629167,0.887500,12.125000,2.762500,0.862500,11.504168,3.463889,0.947222,7.312500,1.562500,0.862500,7.175000,1.525000,0.625000,7.250000,1.472222,0.694444,6.162500,1.387500,0.750000,4.291667,0.750000,0.500000
4,0.125000,8.750000,11.754419,2.234848,0.729482,16.809723,1.817708,0.699653,15.116320,2.392361,0.644097,14.828409,3.528409,0.821591,14.225000,2.859091,0.731818,8.515909,1.502273,0.652273,8.362501,1.312500,0.787500,8.462500,1.300000,0.742045,7.025000,0.812500,0.525000,5.294445,1.052778,0.488889
5,0.300000,7.000000,7.025000,3.825000,1.000000,7.950000,1.650000,0.775000,6.625000,2.550000,0.900000,16.669319,2.293182,0.718182,16.376137,2.268182,0.814773,9.534091,0.863636,0.625000,9.522728,1.204545,0.636364,9.590910,1.113636,0.625000,7.886364,0.784091,0.670455,5.886364,0.295455,0.238636
6,0.425000,5.750000,10.383333,7.416667,0.916667,7.325000,4.725000,1.000000,9.875000,6.475000,1.000000,15.047349,0.339299,0.196402,16.471727,1.363745,0.580763,10.675396,1.248017,0.742420,10.540639,0.818588,0.583983,10.635711,0.860115,0.566417,9.017033,1.157319,0.631108,6.465731,0.694938,0.426998
7,0.500000,5.000000,2.968750,1.968750,0.843750,8.237500,5.887500,0.812500,5.187500,2.968750,0.750000,4.927083,1.395833,0.802083,4.531250,1.375000,0.750000,11.508334,0.516667,0.383333,11.416667,0.858333,0.616667,11.475000,0.741667,0.583333,9.859375,0.742188,0.492188,6.941667,0.300000,0.225000
8,0.500000,5.000000,7.500000,6.500000,1.000000,6.125000,2.875000,0.937500,7.062500,5.062500,1.000000,7.906250,4.656250,1.000000,7.343750,4.593750,1.000000,12.366668,0.950000,0.775000,12.200001,0.916667,0.650000,12.325001,0.925000,0.666667,10.492188,0.695312,0.507812,7.250000,0.333333,0.283333
9,0.500000,5.000000,4.968750,3.468750,0.781250,9.656250,6.468750,0.937500,6.500000,4.812500,0.750000,6.343750,2.906250,0.718750,5.687500,2.718750,0.687500,13.083334,0.566667,0.408333,12.858334,0.591667,0.416667,12.891667,0.633333,0.491667,10.882812,0.281250,0.218750,7.750000,0.383333,0.333333
