Kp,Kd,J_axis,B_axis,tau_load,tau_v,old_gap_mean,old_error_mean,old_relative_error_mean,new_error_mean,rms_target_error_new,new_relative_error_mean,rms_relative_error_new,error_reduction_ratio,relative_error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score,max_abs_qdot_new_case_max,max_abs_tau_new_case_max,risk_score_case_max,compatibility_pass
120.0,24.0,0.1,0.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.09514624575099478,0.12630541975624104,0.7586251658144793,1.0421879716973852,0.18888662319705832,0.155120925749122,2.0,0.08232455660689643,6.947533438359126e-05,54.02457085112529,2.9669168751737565,0.11815659800458031,0.2352973555448505,0.030858182085334543,0.8879891707459998,1.1613229455247887,1.321419253462518,0.8119256541671332,2.0,60.0,0.9079154917212314,True
120.0,24.0,0.1,0.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.09514624575099478,0.12630541975624104,0.7586251658144793,1.0421879716973852,0.18888662319705832,0.155120925749122,2.0,0.08232455660689643,6.947533438359126e-05,54.02457085112529,2.9669168751737565,0.11815659800458031,0.28867974815753716,0.022488691853265227,0.8879891707459998,1.1613229455247887,1.321419253462518,0.8119256541671332,2.0,60.0,0.9079154917212314,True
120.0,24.0,0.1,0.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.09514624575099478,0.12630541975624104,0.7586251658144793,1.0421879716973852,0.18888662319705832,0.155120925749122,2.0,0.08232455660689643,6.947533438359126e-05,54.02457085112529,2.9669168751737565,0.11815659800458031,0.33100059531126,0.017319733107519424,0.8879891707459998,1.1613229455247887,1.321419253462518,0.8119256541671332,2.0,60.0,0.9079154917212314,True
220.0,32.0,0.15,2.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.08974207481052975,0.1211977391070075,0.7280943979753716,1.019347273573548,0.2337090625427928,0.1869272200010637,2.0,0.028349090818586994,0.0018483076052113131,59.82266470506557,4.78787878787879,0.1859319633329252,0.2853946905859869,0.04585732263844333,0.8879891707459998,0.6650856710312018,0.7457380191756674,0.8131595785207445,2.0,60.0,0.8767721732768127,True
220.0,32.0,0.15,2.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.08974207481052975,0.1211977391070075,0.7280943979753716,1.019347273573548,0.2337090625427928,0.1869272200010637,2.0,0.028349090818586994,0.0018483076052113131,59.82266470506557,4.78787878787879,0.1859319633329252,0.34456722678759727,0.03235526046976651,0.8879891707459998,0.6650856710312018,0.7457380191756674,0.8131595785207445,2.0,60.0,0.8767721732768127,True
220.0,32.0,0.15,2.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.08974207481052975,0.1211977391070075,0.7280943979753716,1.019347273573548,0.2337090625427928,0.1869272200010637,2.0,0.028349090818586994,0.0018483076052113131,59.82266470506557,4.78787878787879,0.1859319633329252,0.3887856986129113,0.024111872679910076,0.8879891707459998,0.6650856710312018,0.7457380191756674,0.8131595785207445,2.0,60.0,0.8767721732768127,True
120.0,16.0,0.08,2.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.0891638861242086,0.1206306179700899,0.7242019397710122,1.0156060518367724,0.2385047434148932,0.19108578223724185,2.0,0.03153514509917191,0.00026867686813353134,54.44416404181183,5.525159855435087,0.19485776192183127,0.29467983765561817,0.0489600583691976,0.8879891707459998,0.6804828231442642,0.7629537653184697,0.818425090709729,2.0,60.0,0.880470192403208,True
120.0,16.0,0.08,2.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.0891638861242086,0.1206306179700899,0.7242019397710122,1.0156060518367724,0.2385047434148932,0.19108578223724185,2.0,0.03153514509917191,0.00026867686813353134,54.44416404181183,5.525159855435087,0.19485776192183127,0.3559526417072472,0.03457091232290031,0.8879891707459998,0.6804828231442642,0.7629537653184697,0.818425090709729,2.0,60.0,0.880470192403208,True
120.0,16.0,0.08,2.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.0891638861242086,0.1206306179700899,0.7242019397710122,1.0156060518367724,0.2385047434148932,0.19108578223724185,2.0,0.03153514509917191,0.00026867686813353134,54.44416404181183,5.525159855435087,0.19485776192183127,0.40164764271378733,0.025759203481452667,0.8879891707459998,0.6804828231442642,0.7629537653184697,0.818425090709729,2.0,60.0,0.880470192403208,True
160.0,32.0,0.15,2.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.0948920217506344,0.12658572056976927,0.7591583119467025,1.046917734427036,0.191219799997739,0.15388885101036137,2.0,0.0076195066768422965,0.0002455055460848756,57.58410875240544,5.322768974145119,0.06070063339575486,0.16640986000845948,0.015594525830144769,0.8879891707459998,0.4198650878114221,0.47068100837544397,0.8245261283673048,2.0,60.0,0.9024031786126143,True
160.0,32.0,0.15,2.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.0948920217506344,0.12658572056976927,0.7591583119467025,1.046917734427036,0.191219799997739,0.15388885101036137,2.0,0.0076195066768422965,0.0002455055460848756,57.58410875240544,5.322768974145119,0.06070063339575486,0.20260851272732508,0.011199814061483678,0.8879891707459998,0.4198650878114221,0.47068100837544397,0.8245261283673048,2.0,60.0,0.9024031786126143,True
160.0,32.0,0.15,2.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.0948920217506344,0.12658572056976927,0.7591583119467025,1.046917734427036,0.191219799997739,0.15388885101036137,2.0,0.0076195066768422965,0.0002455055460848756,57.58410875240544,5.322768974145119,0.06070063339575486,0.23034451983731677,0.00848549926517852,0.8879891707459998,0.4198650878114221,0.47068100837544397,0.8245261283673048,2.0,60.0,0.9024031786126143,True
220.0,32.0,0.15,2.0,-5.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.09102108210816182,0.12347499869563912,0.7396708877461146,1.0261969119274548,0.2220721711999416,0.17449131925945047,2.0,0.028367620940171135,0.004506499038208998,60.0,4.785098693355577,0.18572092113895672,0.28500844606276143,0.04573737232194672,0.8879891707459998,0.6667365569877869,0.7476640211901826,0.8246660589074615,2.0,60.0,0.8932916839458044,True
220.0,32.0,0.15,2.0,-5.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.09102108210816182,0.12347499869563912,0.7396708877461146,1.0261969119274548,0.2220721711999416,0.17449131925945047,2.0,0.028367620940171135,0.004506499038208998,60.0,4.785098693355577,0.18572092113895672,0.3440300119109955,0.03225691382754789,0.8879891707459998,0.6667365569877869,0.7476640211901826,0.8246660589074615,2.0,60.0,0.8932916839458044,True
220.0,32.0,0.15,2.0,-5.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.09102108210816182,0.12347499869563912,0.7396708877461146,1.0261969119274548,0.2220721711999416,0.17449131925945047,2.0,0.028367620940171135,0.004506499038208998,60.0,4.785098693355577,0.18572092113895672,0.3881300515631237,0.024032088256867694,0.8879891707459998,0.6667365569877869,0.7476640211901826,0.8246660589074615,2.0,60.0,0.8932916839458044,True
160.0,32.0,0.15,5.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.09876942064837388,0.12959746326851657,0.7764851655229882,1.05077242860923,0.15876185615194424,0.13684670352083247,2.0,0.21315851239313124,0.18000545625780914,60.0,2.1201000834028365,0.12501104075961791,0.24014098732466296,0.0320019155760231,0.8879891707459998,1.4675518194750068,1.670667459752812,0.8246933533586142,2.0,60.0,0.93130921854726,True
160.0,32.0,0.15,5.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.09876942064837388,0.12959746326851657,0.7764851655229882,1.05077242860923,0.15876185615194424,0.13684670352083247,2.0,0.21315851239313124,0.18000545625780914,60.0,2.1201000834028365,0.12501104075961791,0.2948096663883643,0.023353258691213297,0.8879891707459998,1.4675518194750068,1.670667459752812,0.8246933533586142,2.0,60.0,0.93130921854726,True
160.0,32.0,0.15,5.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.09876942064837388,0.12959746326851657,0.7764851655229882,1.05077242860923,0.15876185615194424,0.13684670352083247,2.0,0.21315851239313124,0.18000545625780914,60.0,2.1201000834028365,0.12501104075961791,0.3387157121379364,0.0180603251973444,0.8879891707459998,1.4675518194750068,1.670667459752812,0.8246933533586142,2.0,60.0,0.93130921854726,True
120.0,24.0,0.1,0.5,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.09636221517381613,0.1271726034125694,0.7654602850271736,1.0451295455821392,0.17869532194470197,0.14820546499320697,2.0,0.22014158234074266,6.484184351156829e-05,54.50724630678601,2.777314428690576,0.15156655312945863,0.26633260578830037,0.039403485265485934,0.8879891707459998,1.3675856873295027,1.558713889266198,0.8292371189667439,2.0,60.0,0.9223582493381333,True
120.0,24.0,0.1,0.5,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.09636221517381613,0.1271726034125694,0.7654602850271736,1.0451295455821392,0.17869532194470197,0.14820546499320697,2.0,0.22014158234074266,6.484184351156829e-05,54.50724630678601,2.777314428690576,0.15156655312945863,0.32698596255739487,0.02875454534063782,0.8879891707459998,1.3675856873295027,1.558713889266198,0.8292371189667439,2.0,60.0,0.9223582493381333,True
120.0,24.0,0.1,0.5,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.09636221517381613,0.1271726034125694,0.7654602850271736,1.0451295455821392,0.17869532194470197,0.14820546499320697,2.0,0.22014158234074266,6.484184351156829e-05,54.50724630678601,2.777314428690576,0.15156655312945863,0.37539592716647635,0.022200136127919375,0.8879891707459998,1.3675856873295027,1.558713889266198,0.8292371189667439,2.0,60.0,0.9223582493381333,True
220.0,32.0,0.15,1.0,0.0,0.03,0.0,0.11750810432653913,0.9127935388315898,0.0889328377865695,0.12041888773940151,0.7221733336195516,1.0132429583711438,0.2404720993015369,0.19331390354884645,2.0,0.031618509322444394,0.0018529295059100085,59.71239902680812,7.172087850986933,0.19842543015582073,0.29355593403640484,0.04846574078834161,0.8879891707459998,0.6516930766719706,0.7298513097259852,0.8335792981605848,2.0,60.0,0.90057371324831,True
220.0,32.0,0.15,1.0,0.0,0.04,0.0,0.11750810432653913,0.9127935388315898,0.0889328377865695,0.12041888773940151,0.7221733336195516,1.0132429583711438,0.2404720993015369,0.19331390354884645,2.0,0.031618509322444394,0.0018529295059100085,59.71239902680812,7.172087850986933,0.19842543015582073,0.35363173971147344,0.03403942652777667,0.8879891707459998,0.6516930766719706,0.7298513097259852,0.8335792981605848,2.0,60.0,0.90057371324831,True
220.0,32.0,0.15,1.0,0.0,0.05,0.0,0.11750810432653913,0.9127935388315898,0.0889328377865695,0.12041888773940151,0.7221733336195516,1.0132429583711438,0.2404720993015369,0.19331390354884645,2.0,0.031618509322444394,0.0018529295059100085,59.71239902680812,7.172087850986933,0.19842543015582073,0.3981900916890723,0.02525979376304695,0.8879891707459998,0.6516930766719706,0.7298513097259852,0.8335792981605848,2.0,60.0,0.90057371324831,True
